form	label	definition	cross_reference	headword	homograph	format	root_marker	etymology	sense	inferred	entry_page	sense_page
a		future marker		a	1	A					280	280
a		(PAN *a `linking particle, lig-		a		A					280	280
a		ature') linking particle, ligature, mark of lexical, phrasal, or clausal attribution or modification		a		A			2		280	280
Abish		male name (husband of Kaluzut)		Abish		A					280	280
Abus		female name (wife of Atun)		Abus		A					280	280
acan		kind, type, variety		acan		A					280	280
mia–aca–acan	[IT]	have everything, be replete		acan		A			2		280	280
an–m–aca–acay	[IT]	be dying, be on the verge of death		acay		B	bars	(PAN *aCay `die; death')	2		280	280
k–acay		a curse expressing anger toward someone: drop dead!, go to Hell!		acay		B	bars	(PAN *aCay `die; death')	3		280	280
k–acay–an		lose someone through death, be bereaved		acay		B	bars	(PAN *aCay `die; death')	4		280	280
ka–ma–p–acay		kill		acay		B	bars	(PAN *aCay `die; death')	5		280	280
ka–ma–p–acay–ak	[LF1s]	I killed		acay		B	bars	(PAN *aCay `die; death')	6		280	280
ka–ma–p–acay–an		be killed		acay		B	bars	(PAN *aCay `die; death')	7		280	281
ka–p–acay–an		lose someone through death; be bereaved		acay		B	bars	(PAN *aCay `die; death')	8		280	281
ka–p–acay–an a ayuzi/ka–p–acay–an a binanau'az		widow/ widower		acay		B	bars	(PAN *aCay `die; death')	9		280	281
k–in–a–p–acay–an	[c]	was bereaved		acay		B	bars	(PAN *aCay `die; death')	10		280	281
k–in–a–p–acay–an a ayuzi, k–in–a–p–acay–an a binanau'az		widow/widower		acay		B	bars	(PAN *aCay `die; death')	10a		280	281
kum–p–acay	[AB]	die suddenly		acay		B	bars	(PAN *aCay `die; death')	11		280	281
m–aca–acay		die (in		acay		B	bars	(PAN *aCay `die; death')			280	281
acay	[S/IT]	large numbers), will die (in large numbers)		acay		B	bars	(PAN *aCay `die; death')	12		280	281
m–acay	[S]	die, be dead		acay		B	bars	(PAN *aCay `die; death')	13		280	281
m–acay a caw		dead person, corpse		acay		B	bars	(PAN *aCay `die; death')	13a		280	281
maka–p–acay		fight, quarrel		acay		B	bars	(PAN *aCay `die; death')	14		280	281
makit–p–acay		die gradually, one after the other, as in an epidemic		acay		B	bars	(PAN *aCay `die; death')	15		280	281
ma–p–acay	[R]	fight with each other		acay		B	bars	(PAN *aCay `die; death')	16		280	281
matim–p–acay		die, die off		acay		B	bars	(PAN *aCay `die; death')	17		280	281
m–in–acay	[c]	grave, burial place		acay		B	bars	(PAN *aCay `die; death')	18		280	281
m–in–acay a buqan		cemetery (modern; lit. `burial meadow')		acay		B	bars	(PAN *aCay `die; death')	18a		280	281
m–in–aka–p–acay	[c]	fought, got into a fight		acay		B	bars	(PAN *aCay `die; death')	19		280	281
m–in–a–p–acay	[c]	fought, got into a fight		acay		B	bars	(PAN *aCay `die; death')	20		280	282
p–aca–p–acay	[C/IT]	fight with others		acay		B	bars	(PAN *aCay `die; death')	21		280	282
(kay) p–acay	[C]	beat, kill		acay		B	bars	(PAN *aCay `die; death')	22		280	282
(kay) p–acay–an	[C/LF]	be beaten, be killed		acay		B	bars	(PAN *aCay `die; death')	23		280	282
p–acay–i	[C/I]	(don't) kill it		acay		B	bars	(PAN *aCay `die; death')	24		280	282
