headword	printed_page	signature
ama	289	HEAD SENSE+ SUB TR SENSE+ NUM
ana	290	HEADBAR SENSE+ SUB TR BODY SUB TR SENSE TR SUB TR SENSE TR SENSE TR SUB TR BODY SUB TR BODY SUB TR BODY SUB TR BODY SUB TR BODY SUB TR BODY SUB TR BODY SENSE+
Aw	309	HEAD SENSE NUM
azaz	310	HEAD SENSE NUM BODY SENSE+
bahba	314	HEAD
bala	316	HEADBAR SENSE+ TR SENSE+
balis	317	HEAD SENSE+ NUM LBL BODY SENSE+
bariz	320	HEAD
bubu	327	HEADBAR SENSE+ NUM LBL NOTE
Bula	329	HEAD SUB SENSE
cupish	350	HEAD SENSE+ TR BODY SENSE+
dah	353	HEADBAR SENSE+ NUM LBL BODY SENSE+
danshir	358	HEAD SENSE+ EX SENSE+
dumdum	368	HEAD
falh	372	HEAD SENSE NUM NOTE
fariw	375	HEAD SENSE+ EX LBL TR EX LBL TR EX LBL TR EX LBL TR EX LBL TR EX LBL TR SENSE+
filhaq	381	HEAD SENSE+ NUM SUB NUM SUB SENSE+
filhaq	382	HEAD SENSE+ NUM LBL SENSE+
hala	395	HEAD SENSE+ NUM LBL BODY SENSE+
haraqhaq	397	HEAD
hiri	402	HEAD
ifaz	411	HEAD SENSE+ TR SENSE TR SENSE+ NUM
igqca	413	HEAD SENSE+ NUM TR SENSE+ NUM
~	414	HEAD
ik	415	HEAD SENSE NUM BODY SENSE+
k	438	HEAD SENSE+ NUM LBL BODY SENSE+ NUM
k	444	HEAD SENSE NUM BODY SENSE+
k	446	HEAD SENSE NUM BODY SENSE+ NUM
k	458	HEAD SENSE+ TR SENSE+
k	463	HEAD SUB SENSE+
kirac	472	HEAD SENSE+ NUM LBL BODY SENSE+
kurin	498	HEAD SENSE+ EX
kurkur	499	HEAD SENSE NUM BODY SENSE+
kuza	504	HEAD SENSE+ NUM BODY SENSE+
lalas	509	HEAD
laun	512	HEAD SENSE+ NUM LBL BODY NOTE
lhanaz	525	HEAD SENSE NUM BODY SENSE+ NUM
lharu	526	HEAD SENSE EX
lh	529	HEADBAR SENSE TR SENSE+
lhfaz	533	HEAD SENSE+ NUM BODY NOTE
lh	551	HEAD SUB
lh	553	HEAD SENSE NUM BODY SENSE+ NUM
Mak	566	HEAD SENSE+ NUM SUB LBL SENSE+ NUM
maza	600	HEADBAR SENSE+ TR SENSE+
na	637	HEADBAR SENSE+ NUM BODY SENSE+
n	644	HEADBAR SENSE+ TR SENSE TR SENSE+
palhalhiqash	659	HEAD SENSE+ NUM LBL BODY SENSE+
P	677	HEAD SENSE NUM BODY
pash'am	684	HEAD SENSE EX
pintamar	718	HEAD SENSE+ NUM LBL BODY SENSE+ NUM
pish'as	720	HEAD SENSE NUM
Pita	725	HEAD SENSE NUM
puqitan	748	HEAD SENSE NUM BODY SENSE+ NUM
qalh	766	HEADBAR SENSE+ NUM LBL SENSE+
qatum	780	HEAD SENSE NUM BODY
qca	784	HEADBAR SENSE+ NUM TR
qurup	815	HEAD SENSE EX
rana	821	HEAD SUB SENSE+ NUM
rapac	821	HEAD
rima	832	HEAD SENSE+ NUM SUB BODY SENSE+ NUM SUB TR SENSE+
riqaz	835	HEAD SENSE+ EX SENSE+
rizit	843	HEAD SENSE+ NUM TR
run	845	HEAD
sah	855	HEAD SENSE+ NUM LBL BODY SENSE+
sakup	860	HEAD SENSE+ NUM LBL BODY SENSE+
sazum	868	HEAD SENSE+ NUM LBL SENSE+
sub	875	HEAD SENSE SUB TR
shagqabis	888	HEADBAR SENSE+ NUM LBL BODY SENSE+ NUM
shampula	892	HEAD
shapalh	897	HEADBAR SENSE+ NUM LBL BODY SENSE+
shdu	905	HEAD SENSE+ TR SENSE+
shk	923	HEAD SENSE+ SUB SENSE+
sh	946	HEAD SENSE NUM BODY SENSE+
tahamish	952	HEAD SENSE+ EX NOTE
tal	954	HEADBAR SENSE+ NUM BODY SENSE+
tan	963	HEAD
T	964	HEAD SENSE NUM
T	966	HEAD SUB SENSE
taqa	969	HEAD SENSE+ EX
tarac	971	HEAD SENSE+ NUM LBL SENSE+ NUM
tata	975	HEAD SENSE NUM BODY SENSE+
tatn	977	HEAD SENSE NUM BODY SENSE
tatn	977	HEAD SUB SENSE
tici	985	HEADBAR SENSE+ EX SENSE
tmaza	999	HEAD SENSE+ NUM LBL BODY SENSE+ NUM
tn	1004	HEADBAR SENSE+ EX SENSE
tuful	1010	HEADBAR SENSE+ NUM LBL BODY SENSE
tutu	1028	HEAD SENSE NUM BODY SENSE+
uan	1031	HEAD SENSE NUM BODY
Uan	1031	HEAD SENSE NUM
ua	1031	HEAD
utu	1045	HEAD
w	1051	HEAD SENSE NUM BODY
y	1057	HEAD SENSE NUM BODY
y	1058	HEAD SENSE NUM BODY EX SENSE+
y	1058	HEAD SENSE NUM BODY
zamzam	1061	HEADBAR SENSE+ NUM BODY
Ziw	1066	HEAD SENSE NUM
