headword	printed_page	format	root_marker	rules	n	details
acay	280	B	bars	E03	1	k–in–a–p–acay–an a ayuzi, k–in–a–p–acay–an a binanau'az repeats 'kinapacayan' - two forms set as one
filhaq	381	A		E03,S03	4	'filhaq a rima rima a filhaq finger' repeats 'filhaq' - two forms set as one | 'filhaq a kuskus kuskus a filhaq toe' repeats 'filhaq' - two forms set as one | 'filhaq a rima rima a filhaq finger' has no definition | 'filhaq a kuskus kuskus a filhaq toe' has no definition
rima	832	A		E03,S03,S08	3	'masa–rima masay rima use the hand for some purpose' has a definition run into it | 'masa–rima masay rima use the hand for some purpose' has no definition | sense 1 appears 2 times with the same label
shaba	887	A		E07,S03,S07	3	"Thao with no translation: ""tata wa shaba `100'; tusha wa shaba"" | 'shaba' has no definition | sense numbering starts at 200"
bahba	314	A		S02	1	no senses
bariz	320	A		S02	1	no senses
dumdum	368	A		S02	1	no senses
haraqhaq	397	A		S02	1	no senses
hiri	402	A		S02	1	no senses
lalas	509	A		S02	1	no senses
lhugqu	551	A		S02	1	no senses
rapac	821	A		S02	1	no senses
run	845	A		S02	1	no senses
shampula	892	A		S02	1	no senses
tan	963	A		S02	1	no senses
utu	1045	A		S02	1	no senses
balis	317	A		S03	1	'balis' has no definition
bubu	327	B	bars	S03	1	'bubu' has no definition
dahun	353	B	bars	S03	1	'dahun' has no definition
hala	395	B	colon	S03,S04	2	'hala' has no definition | a bound root carries a sense of its own
ituiza	427	B	bars	S03,S04,S05	3	'ituiza' has no definition | a bound root carries a sense of its own | a bound root with no derived forms
kalawa	438	A		S03	1	'kalawa' has no definition
kay	461	A		S03	1	'kay' has no definition
kirac	472	A		S03	1	'kirac' has no definition
kuza	504	B	colon	S03	1	'kuza' has no definition
laun	512	A		S03	1	'laun' has no definition
lhfaz	533	A		S03	1	'lhfaz' has no definition
maka–sia–siaq	565	A		S03	1	'siaq' has no definition
ma–kimzi	567	A		S03	1	'makin–ã–ĩhĩh continuously moan or groan' has no definition
nay	637	B	bars	S03,S04	2	'nay' has no definition | a bound root carries a sense of its own
palhalhiqash	659	A		S03	1	'palhalhiqash' has no definition
pintamar	718	A		S03	1	'pintamar' has no definition
saháy	855	A		S03	1	'saháy' has no definition
sakup	860	A		S03	1	'sakup' has no definition
shagqabis	888	B	bars	S03,S04	2	'shagqabis' has no definition | a bound root carries a sense of its own
shapalh	897	B	bars	S03	1	'shapalh' has no definition
shkash	923	A		S03	1	'sh–m–i–shka–shkash' has no definition
tal	954	B	bars	S03,S04	2	'tal' has no definition | a bound root carries a sense of its own
tmaza	999	A		S03	1	'tmaza' has no definition
tuful	1010	B	bars	S03	1	'tuful' has no definition
zamzam	1061	B	bars	S03	1	'zamzam' has no definition
ara	304	B	bars	S04	1	a bound root carries a sense of its own
bair	315	B	bars	S04	1	a bound root carries a sense of its own
baraybay	319	B	bars	S04	1	a bound root carries a sense of its own
baun	322	B	bars	S04	1	a bound root carries a sense of its own
biskaw	324	B	bars	S04	1	a bound root carries a sense of its own
cput	348	B	bars	S04	1	a bound root carries a sense of its own
damat	355	B	bars	S04	1	a bound root carries a sense of its own
danshir	357	B	bars	S04	1	a bound root carries a sense of its own
dazumdum	361	B	bars	S04	1	a bound root carries a sense of its own
dazumdum	362	B	bars	S04	1	a bound root carries a sense of its own
du	365	B	bars	S04	1	a bound root carries a sense of its own
kashamuan	454	B	bars	S04,S05	2	a bound root carries a sense of its own | a bound root with no derived forms
kashnasáy	455	B	bars	S04	1	a bound root carries a sense of its own
kazash	463	A		S04	2	a bound root carries a sense of its own | a bound root carries a sense of its own
kazash	464	B	bars	S04	1	a bound root carries a sense of its own
(k)	479	B	colon	S04,S05	2	a bound root carries a sense of its own | a bound root with no derived forms
kushkush	501	B	bars	S04	1	a bound root carries a sense of its own
