printed_page	headword	header	etymology	senses	sense_numbers
296	antua	HEADWORD:		2	2 3
304	arara	HEADWORD:		1	2
341	cap	HEADWORD:		7	2 3 4 5 6 7 8
364	dishlum	HEADWORD:		7	2 3 4 5 6 7 8
384	firiz	HEADWORD:		2	2 3
395	hala	HEADWORD:		15	None 2 3 4 5 6 7 8
400	haziwhiw	HEADWORD:		4	2 3 4 5
422	irariu'	HEADWORD:		2	2 3
431	kadadu'u	HEADWORD:		2	2 3
443	kamun	HEADWORD:		9	2 3 4 5 6 7 8 9
473	kiri	HEADWORD:		5	2 None 3 4 5
479	(k)	HEADWORD:		1	None
490	kuini	HEADWORD:		1	2
502	kushrac	HEADWORD:		2	2 3
504	kuza	HEADWORD (PAN *…):	(PAN *kuja `how?')	15	2 3 4 5 None 6 7 8
526	lhashkay	HEADWORD:		1	2
527	lhaush	HEADWORD:		3	2 3 4
555	lhupish–in	HEADWORD:		1	None
595	Matansún	HEADWORD:		1	1a
635	nashnash	HEADWORD:		2	2 3
642	nishir	HEADWORD:		6	2 3 4 5 6 7
659	palhakac	HEADWORD:		5	2 3 4 5 6
660	palhashput	HEADWORD:		6	2 3 4 5 6 7
661	palhaza	HEADWORD:		3	2 3 4
667	pandú	HEADWORD:		3	2 3 4
731	pshiq	HEADWORD (PAN *…):	(PAN *peSiq `squirt or spray out, as juice from a squeezed fruit')	9	2 2a 3 4 5 6 7 8
806	qtit	HEADWORD:		4	2 3 4 5
817	qutqut	HEADWORD:		3	2 3 4
852	rutaw	HEADWORD:		7	2 3 4 5 6 7 8
869	sbut	HEADWORD:		2	2 3
902	shashulhi	HEADWORD:		4	2 3 4 5
1011	tuktuk	HEADWORD:		5	2 3 4 5 6
1021	turtur	HEADWORD:		3	2 3 4
1029	tutu	HEADWORD (PAN *…):	(PAN *tutuh `pound, crush 2 by pounding')	10	2 3 4 5 6 7 8 9
1041	untikuy	HEADWORD:		1	2
1065	ziwan	HEADWORD (PAN *…):	(PAN *Niwa `slender, of 1 people')	7	2 3 4 5 6 7 8
