section	record	s_id	pdf_pages
Welcome	0	0	1
Welcome	1	1	1
Welcome	2	2	1
Welcome	3	3	1
Welcome	4	4	1
Welcome	5	5	1
Welcome	6	6	1
Welcome	7	7	1
Welcome	8	p1_people	1
Welcome	9	8	1-2
FormosanBank	0	0	2
FormosanBank	1	1	2
FormosanBank	2	2	2
FormosanBank	3	3	2
FormosanBank	4	4	2
FormosanBank	5	5	2
FormosanBank	6	6	2
FormosanBank	7	7	2
FormosanBank	8	8	2
FormosanBank	9	9	2-3
FormosanBank	10	10	3
FormosanBank	11	11	3
FormosanBank	12	12	3
FormosanBank	13	13	3
FormosanBank	14	14	3
FormosanBank	15	15	3
FormosanBank	16	16	3
FormosanBank	17	17	3
FormosanBank	18	18	3
FormosanBank	19	19	3
FormosanBank	20	20	3
FormosanBank	21	21	3
FormosanBank	22	22	3-4
FormosanBank	23	23	4
FormosanBank	24	24	4
FormosanBank	25	25	4
FormosanBank	26	26	4
FormosanBank	27	27	4
FormosanBank	28	28	4
Formosan_Languages	0	0	4
Formosan_Languages	1	1	4
Formosan_Languages	2	2	4
Formosan_Languages	3	3	4
Formosan_Languages	4	4	4-5
Formosan_Languages	5	5	5
Formosan_Languages	6	6	5
Formosan_Languages	7	7	5
Formosan_Languages	8	p5_languages	5
Formosan_Languages	9	8	5
Formosan_Languages	10	9	5
Formosan_Languages	11	10	5
Formosan_Languages	12	11	5
Formosan_Languages	13	12	6
Formosan_Languages	14	13	6
Formosan_Languages	15	14	6
Contributors	0	0	6
Contributors	1	1	6
Contributors	2	2	6
Contributors	3	3	6
Contributors	4	4	6
Contributors	5	5	6
Contributors	6	p6_contributors	6
Contributors	7	6	6
Contributors	8	7	6-7
Terms_of_Use	0	0	7
Terms_of_Use	1	1	7
Terms_of_Use	2	2	7
Terms_of_Use	3	3	7
Terms_of_Use	4	4	7
Terms_of_Use	5	5	7
Terms_of_Use	6	6	7
Terms_of_Use	7	7	7
Terms_of_Use	8	8	7
Terms_of_Use	9	9	7-8
Terms_of_Use	10	10	7-8
Terms_of_Use	11	11	8
Terms_of_Use	12	12	8
Contributing_to_FormosanBank	0	0	8
Contributing_to_FormosanBank	1	1	8
Contributing_to_FormosanBank	2	2	8
Contributing_to_FormosanBank	3	3	8
Contributing_to_FormosanBank	4	4	8
Contributing_to_FormosanBank	5	5	8
Contributing_to_FormosanBank	6	6	8
Contributing_to_FormosanBank	7	7	8
Contributing_to_FormosanBank	8	8	8
Contributing_to_FormosanBank	9	9	8
Contributing_to_FormosanBank	10	10	8
Contributing_to_FormosanBank	11	11	8
Contributing_to_FormosanBank	12	12	8
Contributing_to_FormosanBank	13	13	8-9
Contributing_to_FormosanBank	14	14	9
Contributing_to_FormosanBank	15	15	9
Contributing_to_FormosanBank	16	16	9
Contributing_to_FormosanBank	17	17	9
Contributing_to_FormosanBank	18	18	9
Contributing_to_FormosanBank	19	19	9
Contributing_to_FormosanBank	20	20	9
Contributing_to_FormosanBank	21	21	9
Contributing_to_FormosanBank	22	22	9
Contributing_to_FormosanBank	23	23	9
Contributing_to_FormosanBank	24	24	9
Contributing_to_FormosanBank	25	25	9
Contributing_to_FormosanBank	26	26	9
Contributing_to_FormosanBank	27	27	9
