source_id,record,sentence_id
Amis_1,GLOSBE_REVIEWED_ZHO_975e783606906668,GLOSBE_ami_zho_TMEM_U000026
Amis_2,GLOSBE_STATIC_1b1803bb4bd384a8348d,GLOSBE_ami_zho_TMEM_U000002
Amis_3,GLOSBE_REVIEWED_ZHO_8ad27a26267a651e,GLOSBE_ami_zho_TMEM_U000027
Amis_4,GLOSBE_REVIEWED_ZHO_0538cd3944509f27,GLOSBE_ami_zho_TMEM_U000028
Amis_5,GLOSBE_STATIC_5fb93f4f5aa4fe965798,GLOSBE_ami_zho_TMEM_U000003
Amis_6,GLOSBE_REVIEWED_ZHO_78dbf18cc643ceb1,GLOSBE_ami_zho_TMEM_U000029
Amis_7,GLOSBE_REVIEWED_ZHO_0f6035f2bd4e6d97,GLOSBE_ami_zho_TMEM_U000030
Amis_8,GLOSBE_REVIEWED_ZHO_bd1851d0e911cf67,GLOSBE_ami_zho_TMEM_U000031
Amis_9,GLOSBE_REVIEWED_ZHO_f53e0d5e38527050,GLOSBE_ami_zho_TMEM_U000032
Amis_10,GLOSBE_STATIC_bfb19eb5a892e4af5ce1,GLOSBE_ami_zho_TMEM_U000010
Amis_11,GLOSBE_STATIC_1ba1eac920589b2acdd9,GLOSBE_ami_zho_TMEM_U000011
Amis_12,GLOSBE_REVIEWED_ZHO_9710aa16955877bb,GLOSBE_ami_zho_TMEM_U000033
Amis_13,GLOSBE_STATIC_6f56471e1cc8b6d934dd,GLOSBE_ami_zho_TMEM_U000015
Amis_14,GLOSBE_STATIC_75d9fb8d2b80a7133e43,GLOSBE_ami_zho_TMEM_U000016
Amis_15,GLOSBE_STATIC_161f730563921ecb6fff,GLOSBE_ami_zho_TMEM_U000017
Amis_16,GLOSBE_REVIEWED_ZHO_ec43b952e9d6c318,GLOSBE_ami_zho_TMEM_U000034
Amis_17,GLOSBE_STATIC_4d47d68035a4efdd0f7a,GLOSBE_ami_zho_TMEM_U000019
Amis_18,GLOSBE_REVIEWED_ZHO_03bc7c74cfd11145,GLOSBE_ami_zho_TMEM_U000035
Amis_19,GLOSBE_REVIEWED_ZHO_b71c63fb60c33016,GLOSBE_ami_zho_TMEM_U000036
Amis_20,GLOSBE_REVIEWED_ZHO_743ecdac68c68f44,GLOSBE_ami_zho_TMEM_U000037
Amis_21,GLOSBE_REVIEWED_ZHO_5714eebd133d037c,GLOSBE_ami_zho_TMEM_U000024
Amis_22,GLOSBE_REVIEWED_ZHO_e5954edf92f5897e,GLOSBE_ami_zho_TMEM_U000038
Amis_23,GLOSBE_STATIC_cfcca38b2b7636ed3ee2,GLOSBE_ami_zho_TMEM_U000025
Amis_24,GLOSBE_REVIEWED_ZHO_dc5c338648af711a,GLOSBE_ami_zho_TMEM_U000039
Amis_25,GLOSBE_REVIEWED_ZHO_60ece95668ee7f59,GLOSBE_ami_zho_TMEM_U000040
Amis_26,GLOSBE_REVIEWED_ZHO_975e783606906668,GLOSBE_ami_zho_TMEM_U000026
