record_id,pair,source_phrase_clean,target_phrase_clean,action,reference_status,reason,ildrf_source_found,ildrf_reference_files,ildrf_chinese_glosses,glosbe_targets_for_source,mapping_evidence,xml_record_id,xml_target_text,xml_translation_ver,source_url,raw_path
GLOSBE_DICT_470257051e168578,"ami,en",Cudad,book,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,book,,GLOSBE_DICT_GROUP_8b532e8629ba0386,book,primary,https://glosbe.com/ami/en/Cudad,data/raw/html/static/ami_en/Cudad.html
GLOSBE_DICT_156f8d75580aa495,"ami,en",Itini,here,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,這裡,here,這裡,GLOSBE_DICT_GROUP_3d13f139060962bd,here,primary,https://glosbe.com/ami/en/Itini,data/raw/html/static/ami_en/Itini.html
GLOSBE_DICT_b4f8f8631cec039f,"ami,en",Kawas,God,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,上帝、神、鬼,God; ghost; heaven,上帝; 神; 鬼,GLOSBE_DICT_GROUP_3df19d0f6a73bc75,God,primary,https://glosbe.com/ami/en/Kawas,data/raw/html/static/ami_en/Kawas.html
GLOSBE_DICT_9b67fbb26fd725fb,"ami,en",Kawas,ghost,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,上帝、神、鬼,God; ghost; heaven,上帝; 神; 鬼,GLOSBE_DICT_GROUP_3df19d0f6a73bc75,ghost,alt,https://glosbe.com/ami/en/Kawas,data/raw/html/static/ami_en/Kawas.html
GLOSBE_DICT_4ee61c8535e11b0f,"ami,en",Kawas,heaven,keep_in_xml,different_from_mapping,ildrf_source_attested_target_differs_from_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,上帝、神、鬼,God; ghost; heaven,上帝; 神; 鬼,GLOSBE_DICT_GROUP_3df19d0f6a73bc75,heaven,alt,https://glosbe.com/ami/en/Kawas,data/raw/html/static/ami_en/Kawas.html
GLOSBE_DICT_f01fc254874c9a7c,"ami,en",Yihofa,Jehovah,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,Jehovah,,GLOSBE_DICT_GROUP_eaddb03f1f4d0a38,Jehovah,primary,https://glosbe.com/ami/en/Yihofa,data/raw/html/static/ami_en/Yihofa.html
GLOSBE_DICT_d30dbac6c1180628,"ami,en",a,and,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,1.連接詞; 2.依附詞,and,連接詞,GLOSBE_DICT_GROUP_e89849dad973b703,and,primary,https://glosbe.com/ami/en/a,data/raw/html/static/ami_en/a.html
GLOSBE_DICT_f183525cf99fa1d9,"ami,en",ako,I,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,我（屬格）,I,我（屬格）; 我; 屬格,GLOSBE_DICT_GROUP_2459041479a7a6d7,I,primary,https://glosbe.com/ami/en/ako,data/raw/html/static/ami_en/ako.html
GLOSBE_DICT_06cfd412d0e2aae0,"ami,en",ato,and,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,和（並列結構標記）,and,和,GLOSBE_DICT_GROUP_16ddff9694c6cfbf,and,primary,https://glosbe.com/ami/en/ato,data/raw/html/static/ami_en/ato.html
GLOSBE_DICT_d461f57b5a555472,"ami,en",cecay,one,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,一,one,一,GLOSBE_DICT_GROUP_fae4d19944853869,one,primary,https://glosbe.com/ami/en/cecay,data/raw/html/static/ami_en/cecay.html
