"record","sha256","source_label","target_label"
"GLOSBE_STATIC_9063e1f09b50dd846e95","6a888c2e2e4c68c91bafb0f22a02db0bac4fb673959ef02fd98a0f289219304e","17 ","17 "
"GLOSBE_STATIC_725dd6c648b92f755d0e","6a888c2e2e4c68c91bafb0f22a02db0bac4fb673959ef02fd98a0f289219304e","13 ","13 "
"GLOSBE_STATIC_21c815cccbd5ea747fbb","6a888c2e2e4c68c91bafb0f22a02db0bac4fb673959ef02fd98a0f289219304e","12 ","12 "
"GLOSBE_STATIC_d4716453da4337b7b258","6a888c2e2e4c68c91bafb0f22a02db0bac4fb673959ef02fd98a0f289219304e","2 ","2 "
"GLOSBE_STATIC_b52086990df843bfa12b","6a888c2e2e4c68c91bafb0f22a02db0bac4fb673959ef02fd98a0f289219304e","14 ","14 "
"GLOSBE_STATIC_b57e103680aab9c2369c","6a888c2e2e4c68c91bafb0f22a02db0bac4fb673959ef02fd98a0f289219304e","6, 7. (1) ","6, 7. (a) "
"GLOSBE_STATIC_e8c908687c1cc9f64f07","b8e7646925c1d362fa285093df08e1d808116c277dfd3e4786ccedd73bca6205","16 ","16 "
"GLOSBE_STATIC_e816bff1f34bb479471f","b8e7646925c1d362fa285093df08e1d808116c277dfd3e4786ccedd73bca6205","7 ","7 "
"GLOSBE_STATIC_fb479e8b1bee8e727729","b8e7646925c1d362fa285093df08e1d808116c277dfd3e4786ccedd73bca6205","15 ","15 "
"GLOSBE_STATIC_2b7ca3ff1b0cb52a5537","b8e7646925c1d362fa285093df08e1d808116c277dfd3e4786ccedd73bca6205","17 ","17 "
"GLOSBE_STATIC_88db15d22851103325b7","b8e7646925c1d362fa285093df08e1d808116c277dfd3e4786ccedd73bca6205","14 ","14 "
"GLOSBE_STATIC_ae7252a6d45db4b5b4db","50ce643b83f55fd3d506329e2969bb60bd98264e801c5ac067c7f53d17aa78b7","11 ","11 "
"GLOSBE_STATIC_a075486769f25c1e2091","50ce643b83f55fd3d506329e2969bb60bd98264e801c5ac067c7f53d17aa78b7","7 ","7 "
"GLOSBE_STATIC_ddccad6c6ced16a94adf","50ce643b83f55fd3d506329e2969bb60bd98264e801c5ac067c7f53d17aa78b7","8 ","8 "
"GLOSBE_STATIC_b17666f518331ceaba86","bfd57787561af7a83439072436e932c91f8d7df1a176e8b13d1ad7f10bfcf9c8","12 ","12 "
"GLOSBE_STATIC_e190aa1c2ab50328d8b6","b3a7998f6c6e9fbd9c33c2a43704210490e93554115d7f9cdf023c2410455947","13 ","13 "
"GLOSBE_STATIC_7b086ec87d5a0970591f","b3a7998f6c6e9fbd9c33c2a43704210490e93554115d7f9cdf023c2410455947","20 ","20 "
"GLOSBE_STATIC_f1830213708c71a20fbd","b3a7998f6c6e9fbd9c33c2a43704210490e93554115d7f9cdf023c2410455947","4 ","4 "
"GLOSBE_STATIC_a822dd0c56566ef08761","b3a7998f6c6e9fbd9c33c2a43704210490e93554115d7f9cdf023c2410455947","18 ","18 "
"GLOSBE_STATIC_205598b25cfb03949b40","6f3a65829284e6a13cccf182154c1835064cf48b8eb896b07548695080d3041e","17. (1) ","17. (a) "
"GLOSBE_STATIC_f688cc6a66508feb7480","6f3a65829284e6a13cccf182154c1835064cf48b8eb896b07548695080d3041e","5 ","5 "
"GLOSBE_STATIC_72a18fb3867e794f8fc2","6f3a65829284e6a13cccf182154c1835064cf48b8eb896b07548695080d3041e","16 ","16 "
"GLOSBE_STATIC_e7a6a746337757cd18f6","6f3a65829284e6a13cccf182154c1835064cf48b8eb896b07548695080d3041e","15 ","15 "
"GLOSBE_STATIC_8d03f23c125c8471974c","6f3a65829284e6a13cccf182154c1835064cf48b8eb896b07548695080d3041e","6 ","6 "
"GLOSBE_STATIC_c9f05888f3a57f2ae4b8","6f3a65829284e6a13cccf182154c1835064cf48b8eb896b07548695080d3041e","13 ","13 "
"GLOSBE_STATIC_77d979f0f73524354bc6","6e45489dbdc436627a319a8460ac9056eee5ebc2fd201da62ccbde5966ae96a6","12 ","12 "
"GLOSBE_STATIC_a2e5855d15c47e30f269","6e45489dbdc436627a319a8460ac9056eee5ebc2fd201da62ccbde5966ae96a6","12, 13. (1) ","12, 13. (a) "
"GLOSBE_STATIC_a424277471e48bfe238f","6e45489dbdc436627a319a8460ac9056eee5ebc2fd201da62ccbde5966ae96a6","17 ","17 "
"GLOSBE_STATIC_86b4d68b299fae7a5dc6","1b32bbf099ea8d5ade6bda924608e5cd388c447f1bfe33fecacd39c943d48bab","19 ","19 "
"GLOSBE_STATIC_0a132e7e717eb0422eb4","1b32bbf099ea8d5ade6bda924608e5cd388c447f1bfe33fecacd39c943d48bab","17. (1) ","17. (a) "
"GLOSBE_STATIC_674087498a962a806877","1b32bbf099ea8d5ade6bda924608e5cd388c447f1bfe33fecacd39c943d48bab","14 ","14 "
"GLOSBE_STATIC_e13703a0751495c027c4","1b32bbf099ea8d5ade6bda924608e5cd388c447f1bfe33fecacd39c943d48bab","16 ","16 "
"GLOSBE_STATIC_e1ee0ef2c842b8baee33","1b32bbf099ea8d5ade6bda924608e5cd388c447f1bfe33fecacd39c943d48bab","10 ","10 "
"GLOSBE_STATIC_b2798c8493cb9bf4895e","1b32bbf099ea8d5ade6bda924608e5cd388c447f1bfe33fecacd39c943d48bab","21 ","21 "
"GLOSBE_STATIC_aec78b070c071402b0b6","c0784ad530b051c283099dffc0b42eb33b0f8e9d44107539141353381d44d9df","(2) ","(b) "
"GLOSBE_STATIC_0f930e58fa7d26ac62c9","c0784ad530b051c283099dffc0b42eb33b0f8e9d44107539141353381d44d9df","13 ","13 "
"GLOSBE_STATIC_d72470e36b9291f235b7","c0784ad530b051c283099dffc0b42eb33b0f8e9d44107539141353381d44d9df","5 ","5 "
"GLOSBE_STATIC_f6a74ca1eca0eb6fdf05","c0784ad530b051c283099dffc0b42eb33b0f8e9d44107539141353381d44d9df","13 ","13 "
"GLOSBE_STATIC_dd236509f3b15bcba6da","c0784ad530b051c283099dffc0b42eb33b0f8e9d44107539141353381d44d9df","1, 2. (1) ","1, 2. (a) "
"GLOSBE_STATIC_1554c492cbec371f222b","a3550012418b9189d2c83f63bd039acfc2b22448ac4241021776ea14ef403e08","17 ","17 "
"GLOSBE_STATIC_d32234a8e69d73438bf5","a3550012418b9189d2c83f63bd039acfc2b22448ac4241021776ea14ef403e08","3 ","3 "
"GLOSBE_STATIC_6fe9387c673ca87ee29e","da1690d47e72ac47a688549db621a18ca8b1a5b78d9b5927b4094c9f353781d9","17 ","17 "
"GLOSBE_STATIC_dd212bd446d97f98a7ae","da1690d47e72ac47a688549db621a18ca8b1a5b78d9b5927b4094c9f353781d9","15 ","15 "
"GLOSBE_STATIC_37885b92469d0c4f5cce","da1690d47e72ac47a688549db621a18ca8b1a5b78d9b5927b4094c9f353781d9","4. (1) ","4. (a) "
"GLOSBE_STATIC_58d5cabb72fc9e3962d0","da1690d47e72ac47a688549db621a18ca8b1a5b78d9b5927b4094c9f353781d9","4 ","4 "
"GLOSBE_STATIC_8dcd1b8260b4ef2db8bd","da1690d47e72ac47a688549db621a18ca8b1a5b78d9b5927b4094c9f353781d9","12 ","12 "
"GLOSBE_STATIC_b09bf01b7901b5651f29","da1690d47e72ac47a688549db621a18ca8b1a5b78d9b5927b4094c9f353781d9","15 ","15 "
"GLOSBE_STATIC_2d7456a8e976dbc328db","da1690d47e72ac47a688549db621a18ca8b1a5b78d9b5927b4094c9f353781d9","8 ","8 "
"GLOSBE_STATIC_d11ceb16d6d2c2ee8a63","20fe8a94a5e6e35ad0dc6b455c36950651c1f2f531f0b88991565ad37fc0d606","15 ","15 "
"GLOSBE_STATIC_54f75fd1124c363edb74","20fe8a94a5e6e35ad0dc6b455c36950651c1f2f531f0b88991565ad37fc0d606","18 ","18 "
"GLOSBE_STATIC_ad3f2162b983bbb21f4b","20fe8a94a5e6e35ad0dc6b455c36950651c1f2f531f0b88991565ad37fc0d606","7 ","7 "
"GLOSBE_STATIC_62297ad9f067a8165ec0","ccb49421ef893a69429caf4eac25ec24d564c3d87490df935afd7466b1f2985b","13 ","13 "
"GLOSBE_STATIC_516a188c22675214c48a","ccb49421ef893a69429caf4eac25ec24d564c3d87490df935afd7466b1f2985b","4 ","4 "
"GLOSBE_STATIC_339c28f5402255082b56","ccb49421ef893a69429caf4eac25ec24d564c3d87490df935afd7466b1f2985b","2 ","2 "
"GLOSBE_STATIC_bbc2fa9fa449b7ec8be1","ccb49421ef893a69429caf4eac25ec24d564c3d87490df935afd7466b1f2985b","11 ","11 "
"GLOSBE_STATIC_fcfdb1870186c4388189","ccb49421ef893a69429caf4eac25ec24d564c3d87490df935afd7466b1f2985b","11 ","11 "
"GLOSBE_STATIC_324ebe22c30170b5bada","ccb49421ef893a69429caf4eac25ec24d564c3d87490df935afd7466b1f2985b","11 ","11 "
"GLOSBE_STATIC_d167f5da8f23c02342f7","ccb49421ef893a69429caf4eac25ec24d564c3d87490df935afd7466b1f2985b","8 ","8 "
"GLOSBE_STATIC_6371c1a240d83b658613","ccb49421ef893a69429caf4eac25ec24d564c3d87490df935afd7466b1f2985b","11 ","11 "
"GLOSBE_STATIC_d4aff7fbe36f69ebc145","ccb49421ef893a69429caf4eac25ec24d564c3d87490df935afd7466b1f2985b","10 ","10 "
"GLOSBE_STATIC_15c6aa3283397384d7e0","ccb49421ef893a69429caf4eac25ec24d564c3d87490df935afd7466b1f2985b","14 ","14 "
"GLOSBE_STATIC_015661919349da9e4879","c8c300d534b14f99bfa1486839c39b3ab535c880e7dfec5ac671b470763f8a1d","9. (1) ","9. (a) "
"GLOSBE_STATIC_d79e4934db52fc3d790f","c8c300d534b14f99bfa1486839c39b3ab535c880e7dfec5ac671b470763f8a1d","3 ","3 "
"GLOSBE_STATIC_211a85134af51b01b672","c8c300d534b14f99bfa1486839c39b3ab535c880e7dfec5ac671b470763f8a1d","2 ","2 "
"GLOSBE_STATIC_afa3a33d84b30ad30e14","c8c300d534b14f99bfa1486839c39b3ab535c880e7dfec5ac671b470763f8a1d","2 ","2 "
"GLOSBE_STATIC_b41cee79f126f7eeec63","afbe653f177542a50d241ad11d3eb4a240447c451bc886fbad38c94f20e2fec8","2 ","2 "
"GLOSBE_STATIC_e6ca5ab5d8048aa949dc","afbe653f177542a50d241ad11d3eb4a240447c451bc886fbad38c94f20e2fec8","12 ","12 "
"GLOSBE_STATIC_9f4c26a6130cfe5fdd31","afbe653f177542a50d241ad11d3eb4a240447c451bc886fbad38c94f20e2fec8","6 ","6 "
"GLOSBE_STATIC_37bd1894bfb8a216e7db","afbe653f177542a50d241ad11d3eb4a240447c451bc886fbad38c94f20e2fec8","15 ","15 "
"GLOSBE_STATIC_de8ed96ea8e50ca2db2b","5c8c8e149f4965b301f476115565c1a54c4139f69ef2bffdc257d6a05dc61123","5 ","5 "
"GLOSBE_STATIC_b43edfa07b82174158bd","5c8c8e149f4965b301f476115565c1a54c4139f69ef2bffdc257d6a05dc61123","9 ","9 "
"GLOSBE_STATIC_fe404a41b76ecd422061","4c7bf836ff1775fe653f27c006ca5aaf90dbd657fbd3af2e7fd27f52719f182b","7 ","7 "
"GLOSBE_STATIC_84570c1103e2729204ef","4c7bf836ff1775fe653f27c006ca5aaf90dbd657fbd3af2e7fd27f52719f182b","4 ","4 "
"GLOSBE_STATIC_c7f34a7bd5081bf35cef","4c7bf836ff1775fe653f27c006ca5aaf90dbd657fbd3af2e7fd27f52719f182b","13 ","13 "
"GLOSBE_STATIC_881ad10d96cdb97f4ef2","4c7bf836ff1775fe653f27c006ca5aaf90dbd657fbd3af2e7fd27f52719f182b","19, 20. (1) ","19, 20. (a) "
"GLOSBE_STATIC_6a3c8ad9684b6c1d75ff","4c7bf836ff1775fe653f27c006ca5aaf90dbd657fbd3af2e7fd27f52719f182b","12 ","12 "
"GLOSBE_STATIC_d81b558481d1a87602bf","4c7bf836ff1775fe653f27c006ca5aaf90dbd657fbd3af2e7fd27f52719f182b","16 ","16 "
"GLOSBE_STATIC_566d1a93eb10cce29025","4c7bf836ff1775fe653f27c006ca5aaf90dbd657fbd3af2e7fd27f52719f182b","1-3. (1) ","1-3. (a) "
