source_key,role
-1720621937088298967,footnote
-2549490206512744912,footnote
-2710101757663670539,footnote
-2843798765591159758,footnote
-404273330122891605,footnote
-420769233553124876,footnote
-4279270056711368794,footnote
-7089215574849225995,footnote
-8467921657356303223,footnote
-9055083716929697662,footnote
1189409324491627555,footnote
1338443367742399637,footnote
2847328851538302988,footnote
4152954214610827164,footnote
5561549434751373153,footnote
7163146386201006553,footnote
7714158969104563635,footnote
Amis_224,footnote
Amis_2534,footnote
Amis_4097,footnote
Amis_4252,footnote
Amis_5288,footnote
Amis_623,footnote
Amis_98,footnote
-2048213809273906060,highlight
-9025460731714621310,highlight
430035664398188329,highlight
