record,sha256,source_suffix,target_suffix,note
GLOSBE_STATIC_91f3a5b0efc4dd5a537c,6a888c2e2e4c68c91bafb0f22a02db0bac4fb673959ef02fd98a0f289219304e," —w16.12, pp."," —w16.12, pp.","w16.12, pp."
GLOSBE_STATIC_9417e343fff1eaa15ef6,b8e7646925c1d362fa285093df08e1d808116c277dfd3e4786ccedd73bca6205," —w17.01, p."," —w17.01, p.","w17.01, p."
GLOSBE_STATIC_fb53c2fa0b1c8dfc5d75,1b32bbf099ea8d5ade6bda924608e5cd388c447f1bfe33fecacd39c943d48bab,"—w18.12, p."," —w18.12, p.","w18.12, p."
GLOSBE_STATIC_2fa34df37c9bd6908e72,a3550012418b9189d2c83f63bd039acfc2b22448ac4241021776ea14ef403e08," —w17.03, pp."," —w17.03, pp.","w17.03, pp."
GLOSBE_STATIC_b3d80db6a142e2ff763d,ecc2de8d5b287c78a4818df1ab5c3b6f9385b840642c5aa1573c0adc5a3b1aa3," —w16.12, pp."," —w16.12, pp.","w16.12, pp."
GLOSBE_STATIC_2a6a810d0ad5a40ae36d,ece1b808757c56c3aa247f77ac2aa661cccc497a973840a59408cc87909df26c," —wp16.6, pp."," —wp16.6, pp.","wp16.6, pp."
GLOSBE_STATIC_76dd0d208340b36cc665,e01f5e57c75c4f2e19237bf1b5dc3d64394d81a46393844d3199e5afc5d0d8da,"—w18.06, pp."," —w18.06, pp.","w18.06, pp."
GLOSBE_STATIC_1422d31916ba82a8aca2,f3de9571ee006ca397d999a8042ff5a484f261e0559958971e8ca01544762bf0," —w17.12, pp."," —w17.12, pp.","w17.12, pp."
GLOSBE_STATIC_60a16ae2cf89425412e7,bc5c9cdfdf22025a09f7206949a3c608cfba04938a9811fcdcccfeff9c061c70," —wp17.1, pp."," —wp17.1, pp.","wp17.1, pp."
GLOSBE_STATIC_45a898b73c75a78b5904,7e49613634e223fcd9b9e5bfbdde06780688de2a3b4a0721dbd8347032cfded1,"—w18.09, pp."," —w18.09, pp.","w18.09, pp."
GLOSBE_STATIC_30ebf803adffb630a0c7,7bde8cdea66ba1293a9c502abd16685601bc752e01aa0d869e605bac94cd109d," —w17.04, p."," —w17.04, p.","w17.04, p."
GLOSBE_STATIC_3f32c602ab8a7747bac2,b4319c9141203bc42e42f73cc48160a798ce64cfac6c608f40d8c3d43dec54b7," —w16.11, p."," —w16.11, p.","w16.11, p."
GLOSBE_STATIC_abca617bb5a6ff84760b,625d087a0da6ef931e2949e28e0463ecca769d962ca714a46517e1b6b4989e9b,"—wp17.3, pp."," —wp17.3, pp.","wp17.3, pp."
GLOSBE_STATIC_94eac74c04d0de919c73,76dbb5d94ec6e8be5a781b563d27bc2fd7a1d54742154f8e4d72d3980a6b92f6,"—wp18.3, pp."," —wp18.3, pp.","wp18.3, pp."
GLOSBE_STATIC_840cdb3cd5565e2b1244,cba5ee01d1bb3a548d0ea8214368f21fe2a8b1f9fd4e827c0e54232a0a65a66a," —w17.05, pp."," —w17.05, pp.","w17.05, pp."
GLOSBE_STATIC_d15efd19a0476ef972f0,a6b1e6db2e6c3e2de9f837e3a5a7f6e868f2b5cdeb4d31e39e6f5c976df75dc3," —wp18.1, p."," —wp18.1, p.","wp18.1, p."
