file	s_id	w_id	m_id	m_form
PaiwanCh2_001.xml	001S1	001S1W1	001S1W1M0	ti
PaiwanCh2_001.xml	001S1	001S1W2	001S1W2M0	sa
PaiwanCh2_001.xml	001S1	001S1W3	001S1W3M0	Puɫaɫuyaɫuyan
PaiwanCh2_001.xml	001S1	001S1W4	001S1W4M0	tsug
PaiwanCh2_001.xml	001S1	001S1W5	001S1W5M0	a
PaiwanCh2_001.xml	001S1	001S1W6	001S1W6M0	ma
PaiwanCh2_001.xml	001S1	001S1W6	001S1W6M1	rivu
PaiwanCh2_001.xml	001S1	001S1W7	001S1W7M0	ka
PaiwanCh2_001.xml	001S1	001S1W7	001S1W7M1	tua
PaiwanCh2_001.xml	001S1	001S1W8	001S1W8M0	vaɫaw
PaiwanCh2_001.xml	001S2	001S2W1	001S2W1M0	nu
PaiwanCh2_001.xml	001S2	001S2W2	001S2W2M0	-em-
PaiwanCh2_001.xml	001S2	001S2W2	001S2W2M1	k-an
PaiwanCh2_001.xml	001S2	001S2W3	001S2W3M0	ini
PaiwanCh2_001.xml	001S2	001S2W4	001S2W4M0	pa
PaiwanCh2_001.xml	001S2	001S2W4	001S2W4M1	kan
PaiwanCh2_001.xml	001S2	001S2W4	001S2W4M2	i
PaiwanCh2_001.xml	001S2	001S2W5	001S2W5M0	marka
PaiwanCh2_001.xml	001S2	001S2W6	001S2W6M0	veɫatj
PaiwanCh2_001.xml	001S2	001S2W6	001S2W6M1	en
PaiwanCh2_001.xml	001S3	001S3W1	001S3W1M0	qau
PaiwanCh2_001.xml	001S3	001S3W2	001S3W2M0	li
PaiwanCh2_001.xml	001S3	001S3W2	001S3W2M1	mutseng
PaiwanCh2_001.xml	001S3	001S3W3	001S3W3M0	a
PaiwanCh2_001.xml	001S3	001S3W3	001S3W3M1	zua
PaiwanCh2_001.xml	001S3	001S3W4	001S3W4M0	vaɫaw
PaiwanCh2_001.xml	001S3	001S3W5	001S3W5M0	vaik
PaiwanCh2_001.xml	001S3	001S3W6	001S3W6M0	a
PaiwanCh2_001.xml	001S3	001S3W7	001S3W7M0	ɫe
PaiwanCh2_001.xml	001S3	001S3W7	001S3W7M1	taladj
PaiwanCh2_001.xml	001S3	001S3W8	001S3W8M0	tua
PaiwanCh2_001.xml	001S3	001S3W9	001S3W9M0	verung
PaiwanCh2_001.xml	001S3	001S3W10	001S3W10M0	nua
PaiwanCh2_001.xml	001S3	001S3W11	001S3W11M0	tsuqu
PaiwanCh2_001.xml	001S4	001S4W1	001S4W1M0	qau
PaiwanCh2_001.xml	001S4	001S4W2	001S4W2M0	tsua
PaiwanCh2_001.xml	001S4	001S4W2	001S4W2M1	tsuay
PaiwanCh2_001.xml	001S4	001S4W3	001S4W3M0	anga
PaiwanCh2_001.xml	001S4	001S4W4	001S4W4M0	m
PaiwanCh2_001.xml	001S4	001S4W4	001S4W4M1	alap
PaiwanCh2_001.xml	001S4	001S4W5	001S4W5M0	ti
PaiwanCh2_001.xml	001S4	001S4W6	001S4W6M0	sa
PaiwanCh2_001.xml	001S4	001S4W7	001S4W7M0	Puɫaɫuyaɫuyan
PaiwanCh2_001.xml	001S4	001S4W8	001S4W8M0	tua
PaiwanCh2_001.xml	001S4	001S4W9	001S4W9M0	putjaw
PaiwanCh2_001.xml	001S4	001S4W10	001S4W10M0	sa
PaiwanCh2_001.xml	001S4	001S4W11	001S4W11M0	putjaw
PaiwanCh2_001.xml	001S4	001S4W11	001S4W11M1	i
PaiwanCh2_001.xml	001S4	001S4W12	001S4W12M0	a
PaiwanCh2_001.xml	001S4	001S4W13	001S4W13M0	tsuqu
PaiwanCh2_001.xml	001S4	001S4W14	001S4W14M0	a
PaiwanCh2_001.xml	001S4	001S4W15	001S4W15M0	ma
PaiwanCh2_001.xml	001S4	001S4W15	001S4W15M1	uri
PaiwanCh2_001.xml	001S4	001S4W16	001S4W16M0	pa
PaiwanCh2_001.xml	001S4	001S4W16	001S4W16M1	ɫe
PaiwanCh2_001.xml	001S4	001S4W16	001S4W16M2	ka
PaiwanCh2_001.xml	001S4	001S4W16	001S4W16M3	tsau
PaiwanCh2_001.xml	001S4	001S4W16	001S4W16M4	an
PaiwanCh2_001.xml	001S4	001S4W17	001S4W17M0	tua
PaiwanCh2_001.xml	001S4	001S4W18	001S4W18M0	vaɫaw
PaiwanCh2_001.xml	001S5	001S5W1	001S5W1M0	manu
PaiwanCh2_001.xml	001S5	001S5W2	001S5W2M0	teng
PaiwanCh2_001.xml	001S5	001S5W3	001S5W3M0	aya
PaiwanCh2_001.xml	001S5	001S5W4	001S5W4M0	mi
PaiwanCh2_001.xml	001S5	001S5W4	001S5W4M1	layap
PaiwanCh2_001.xml	001S5	001S5W5	001S5W5M0	a
PaiwanCh2_001.xml	001S5	001S5W6	001S5W6M0	-em-
PaiwanCh2_001.xml	001S5	001S5W6	001S5W6M1	s-a
PaiwanCh2_001.xml	001S5	001S5W7	001S5W7M0	tja
PaiwanCh2_001.xml	001S5	001S5W7	001S5W7M1	i
PaiwanCh2_001.xml	001S5	001S5W8	001S5W8M0	likuz
PaiwanCh2_001.xml	001S5	001S5W9	001S5W9M0	tua
PaiwanCh2_001.xml	001S5	001S5W10	001S5W10M0	ɫavek
PaiwanCh2_001.xml	001S6	001S6W1	001S6W1M0	tsua
