file	text_id	citation	BibTeX_citation	dialect	source
PaiwanCh2_001.xml	PaiwanCh2_001_PUⱢAⱢUYAⱢUYAN	Early, R. J., & Whitehorn, J. (2003). One hundred Paiwan texts. Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University.	@book{100paiwantexts, author = {Robert Early and John Whitehorn}, title = {One Hundred Paiwan Texts}, year = {2003}, publisher = {Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University}}	Southern	ti sa Puɫaɫuyaɫuyan (Qatsiɫay village, p.141)
PaiwanCh2_002.xml	PaiwanCh2_002_THE SNAKE’S WIFE	Early, R. J., & Whitehorn, J. (2003). One hundred Paiwan texts. Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University.	@book{100paiwantexts, author = {Robert Early and John Whitehorn}, title = {One Hundred Paiwan Texts}, year = {2003}, publisher = {Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University}}	Southern	vaɫaw nua qatjuvi (Qatsiɫay village, p.145)
PaiwanCh2_003.xml	PaiwanCh2_003_THE STUPID MAN	Early, R. J., & Whitehorn, J. (2003). One hundred Paiwan texts. Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University.	@book{100paiwantexts, author = {Robert Early and John Whitehorn}, title = {One Hundred Paiwan Texts}, year = {2003}, publisher = {Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University}}	Southern	malutjulutjuk a uqaɫay (Qatsiɫay village, p.150)
PaiwanCh2_004.xml	PaiwanCh2_004_THE BROTHERS	Early, R. J., & Whitehorn, J. (2003). One hundred Paiwan texts. Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University.	@book{100paiwantexts, author = {Robert Early and John Whitehorn}, title = {One Hundred Paiwan Texts}, year = {2003}, publisher = {Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University}}	Southern	marekaka (Qatsiɫay village, p.154)
PaiwanCh2_005.xml	PaiwanCh2_005_PUⱢAⱢUYAⱢUYAN AND SIMIDALU	Early, R. J., & Whitehorn, J. (2003). One hundred Paiwan texts. Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University.	@book{100paiwantexts, author = {Robert Early and John Whitehorn}, title = {One Hundred Paiwan Texts}, year = {2003}, publisher = {Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University}}	Southern	ti sa Puɫaɫuyaɫuyan kati sa Simidalu (Qatsiɫay village p.157)
PaiwanCh2_006.xml	PaiwanCh2_006_WHITE OWL AND BROWN OWL	Early, R. J., & Whitehorn, J. (2003). One hundred Paiwan texts. Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University.	@book{100paiwantexts, author = {Robert Early and John Whitehorn}, title = {One Hundred Paiwan Texts}, year = {2003}, publisher = {Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University}}	Southern	tjugelui katua ngangay (Qatsiɫay village, p.160)
PaiwanCh2_007.xml	PaiwanCh2_007_THE QALU PEOPLE GO HEAD-HUNTING	Early, R. J., & Whitehorn, J. (2003). One hundred Paiwan texts. Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University.	@book{100paiwantexts, author = {Robert Early and John Whitehorn}, title = {One Hundred Paiwan Texts}, year = {2003}, publisher = {Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University}}	Southern	maqinatsap a se Qalu (Qatsiɫay village, p.162)
PaiwanCh2_008.xml	PaiwanCh2_008_WOMEN FRIENDS AND KIDADAW	Early, R. J., & Whitehorn, J. (2003). One hundred Paiwan texts. Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University.	@book{100paiwantexts, author = {Robert Early and John Whitehorn}, title = {One Hundred Paiwan Texts}, year = {2003}, publisher = {Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University}}	Southern	mareḍava kati sa Kidadaw (Qatsiɫay village, p.164)
PaiwanCh2_009.xml	PaiwanCh2_009_THE ANT-EATER AND THE CRAB	Early, R. J., & Whitehorn, J. (2003). One hundred Paiwan texts. Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University.	@book{100paiwantexts, author = {Robert Early and John Whitehorn}, title = {One Hundred Paiwan Texts}, year = {2003}, publisher = {Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University}}	Southern	qam katua gang (Qatsiɫay village, p.166)
PaiwanCh2_010.xml	PaiwanCh2_010_KAPURAR	Early, R. J., & Whitehorn, J. (2003). One hundred Paiwan texts. Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University.	@book{100paiwantexts, author = {Robert Early and John Whitehorn}, title = {One Hundred Paiwan Texts}, year = {2003}, publisher = {Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University}}	Southern	ti sa Kapurar (Qatsiɫay village, p.170)
PaiwanCh2_011.xml	PaiwanCh2_011_THE HUSBAND KILLED BY HIS WIFE	Early, R. J., & Whitehorn, J. (2003). One hundred Paiwan texts. Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University.	@book{100paiwantexts, author = {Robert Early and John Whitehorn}, title = {One Hundred Paiwan Texts}, year = {2003}, publisher = {Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University}}	Southern	vaɫaw a uqaɫay a qintsi nua vavayan (Qatsiɫay village, p.173)
PaiwanCh2_012.xml	PaiwanCh2_012_THE TJAKUVUKUVUⱢ MAN WHO CUT OFF HIS HAND	Early, R. J., & Whitehorn, J. (2003). One hundred Paiwan texts. Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University.	@book{100paiwantexts, author = {Robert Early and John Whitehorn}, title = {One Hundred Paiwan Texts}, year = {2003}, publisher = {Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University}}	Southern	namengeḍuq tua lima a se Tjakuvukuvuɫ (Qatsiɫay village, p.178)
PaiwanCh2_013.xml	PaiwanCh2_013_PUⱢAⱢUYAⱢUYAN AND SUⱢAⱢUⱢAⱢUI	Early, R. J., & Whitehorn, J. (2003). One hundred Paiwan texts. Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University.	@book{100paiwantexts, author = {Robert Early and John Whitehorn}, title = {One Hundred Paiwan Texts}, year = {2003}, publisher = {Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University}}	Southern	ti sa Puɫaɫuyaɫuyan kati sa Suɫaɫuɫaɫui (Qatsiɫay village, p.180)
PaiwanCh2_014.xml	PaiwanCh2_014_WOMEN FRIENDS AND MEN FRIENDS	Early, R. J., & Whitehorn, J. (2003). One hundred Paiwan texts. Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University.	@book{100paiwantexts, author = {Robert Early and John Whitehorn}, title = {One Hundred Paiwan Texts}, year = {2003}, publisher = {Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University}}	Southern	mareḍava katua mareqali (Qatsiɫay village, p.183)
