file,S_id,el_id,original_form,note
PaiwanCh2_008.xml,008S28,008S28W11,'aa?,non-final W ends in '?'; kept as glottal
PaiwanCh2_036.xml,036S9,036S9W4,vatu?,non-final W ends in '?'; kept as glottal
PaiwanCh2_037.xml,037S14,037S14W4,namaitazua?,non-final W ends in '?'; kept as glottal
PaiwanCh2_037.xml,037S14,037S14W8,liaw?,non-final W ends in '?'; kept as glottal
PaiwanCh2_037.xml,037S20,037S20W8,tequng?,non-final W ends in '?'; kept as glottal
PaiwanCh2_039.xml,039S3,039S3W3,sun?,non-final W ends in '?'; kept as glottal
PaiwanCh2_040.xml,040S9,040S9W9,namaya?,non-final W ends in '?'; kept as glottal
PaiwanCh2_040.xml,040S35,040S35W3,sun?,non-final W ends in '?'; kept as glottal
PaiwanCh2_041.xml,041S16,041S16W4,kudain?,non-final W ends in '?'; kept as glottal
PaiwanCh2_042.xml,042S8,042S8W7,qalian?,non-final W ends in '?'; kept as glottal
PaiwanCh2_042.xml,042S9,042S9W3,qalian?,non-final W ends in '?'; kept as glottal
PaiwanCh2_044.xml,044S18,044S18W4,matsay?,non-final W ends in '?'; kept as glottal
PaiwanCh2_061.xml,061S9,061S9W3,matsay?,non-final W ends in '?'; kept as glottal
PaiwanCh2_061.xml,061S18,061S18W4,taladj?,non-final W ends in '?'; kept as glottal
