file,W_id,M_id,W_form,M_form,gloss,reason
PaiwanCh2_001.xml,001S19W4,001S19W4M0,ɫemauɫau,em=ɫauɫaw,af=stretch,no clean splice (mutation / extra prefix)
PaiwanCh2_013.xml,013S3W5,013S3W5M0,semavaqavaqar,em=vaqa=savaqar,af=red=disgust,stacked/uneven '=' (FORM or gloss)
PaiwanCh2_037.xml,037S12W4,037S12W4M0,"djaravaravats?""",ar=ar=va=djavats,randomly=randomly=red=walk,stacked/uneven '=' (FORM or gloss)
PaiwanCh2_037.xml,037S13W5,037S13W5M0,"djaravaravats.""",ar=ar=va=djavats,randomly=randomly=red=walk,stacked/uneven '=' (FORM or gloss)
PaiwanCh2_038.xml,038S9W8,038S9W8M0,ventseluq,in=vetseluq,perf=break,no clean splice (mutation / extra prefix)
PaiwanCh2_074.xml,074S59W8,074S59W8M0,ventseluq.,in=vetseluq,perf=break,no clean splice (mutation / extra prefix)
PaiwanCh2_077.xml,077S14W7,077S14W7M0,"qemuzimuzip,",em=em=uzi=quzip,af=af=red=animal,stacked/uneven '=' (FORM or gloss)
PaiwanCh2_078.xml,078S4W19,078S4W19M1,taletalemi,al=te-talem-i,qal=do-plant,no clean splice (mutation / extra prefix)
PaiwanCh2_079.xml,079S5W12,079S5W12M0,ventsik.,m=vetsik,af=mark,no clean splice (mutation / extra prefix)
PaiwanCh2_079.xml,079S71W12,079S71W12M0,tsemekemekeɫ.,em=meke=tsekeɫ,af=red=spouse,stacked/uneven '=' (FORM or gloss)
PaiwanCh2_080.xml,080S21W9,080S21W9M0,"semalimsim,""",em=al=simsim,af=qal=pity,stacked/uneven '=' (FORM or gloss)
PaiwanCh2_085.xml,085S25W7,085S25W7M0,gemdeged,em=gedged,af=repeat,no clean splice (mutation / extra prefix)
PaiwanCh2_087.xml,087S1W4,087S1W4M0,penalisi,in=palisi,perf=taboo,no clean splice (mutation / extra prefix)
PaiwanCh2_087.xml,087S39W5,087S39W5M0,qemuzimuzip,em=em=uzi=quzip,af=af=red=animal,stacked/uneven '=' (FORM or gloss)
PaiwanCh2_087.xml,087S43W3,087S43W3M0,kemzekez,m=kezkez,af=nail,no clean splice (mutation / extra prefix)
PaiwanCh2_090.xml,090S1W20,090S1W20M0,tsemalivalivat,em=liva=tsalivat,af=red=pass,stacked/uneven '=' (FORM or gloss)
PaiwanCh2_090.xml,090S4W6,090S4W6M0,benereq,in=bereq,perf=joke,no clean splice (mutation / extra prefix)
PaiwanCh2_090.xml,090S9W3,090S9W3M0,"qemuzimuzip,",em=em=uzi=quzip,af=af=red=animal,stacked/uneven '=' (FORM or gloss)
PaiwanCh2_091.xml,091S6W11,091S6W11M0,venutsiatsiar,en=tsia=vutsiar,af=red=flower,stacked/uneven '=' (FORM or gloss)
PaiwanCh2_091.xml,091S9W8,091S9W8M0,qemuzimuzip,em=em=uzi=quzip,af=af=red=animal,stacked/uneven '=' (FORM or gloss)
PaiwanCh2_093.xml,093S9W16,093S9W16M0,tjemautsiketsikel,em=tsike=tjautsikel,af=red=story,stacked/uneven '=' (FORM or gloss)
PaiwanCh2_094.xml,094S6W13,094S6W13M0,tjemautsiketsikel,em=tsike=tjautsikel,af=red=story,stacked/uneven '=' (FORM or gloss)
PaiwanCh2_097.xml,097S12W15,097S12W15M0,?emuda,em=kuda,af=do.what,no clean splice (mutation / extra prefix)
PaiwanCh2_097.xml,097S13W25,097S13W25M0,?emuda,em=kuda,af=do.what,no clean splice (mutation / extra prefix)
PaiwanCh2_100.xml,100S11W26,100S11W26M0,qinadju,in=adjuq,perf=leave,no clean splice (mutation / extra prefix)
PaiwanCh2_100.xml,100S15W23,100S15W23M0,ventsik,m=vetsik,af=mark,no clean splice (mutation / extra prefix)
