file,W_id,eq_M_form,all_M_forms,reason
PaiwanCh2_001.xml,001S21W4,in=qaɫiw,in=qaɫiw | an,no clean splice on isolated span
PaiwanCh2_001.xml,001S31W9,in=qaɫiw,in=qaɫiw | an,no clean splice on isolated span
PaiwanCh2_001.xml,001S32W9,in=qaɫiw,in=qaɫiw | an,no clean splice on isolated span
PaiwanCh2_001.xml,001S51W2,in=petju,in=petju | petjuq,no clean splice on isolated span
PaiwanCh2_003.xml,003S27W4,in=pa,in=pa | pa | vanaw | an,sibling does not match surface (mutation)
PaiwanCh2_003.xml,003S28W3,in=pa,in=pa | pa | vanaw | an,sibling does not match surface (mutation)
PaiwanCh2_004.xml,004S25W20,in=langeda,in=langeda | an,no clean splice on isolated span
PaiwanCh2_008.xml,008S1W5,isu=paisu,m | isu=paisu,no clean splice on isolated span
PaiwanCh2_008.xml,008S1W9,in=qaɫiw,in=qaɫiw | an,no clean splice on isolated span
PaiwanCh2_010.xml,010S22W5,in=vaɫa,in=vaɫa | vaɫan,no clean splice on isolated span
PaiwanCh2_011.xml,011S1W7,en=pa,na | en=pa | ula | ula | en,sibling does not match surface (mutation)
PaiwanCh2_013.xml,013S16W5,in=qaɫiw,in=qaɫiw | an,no clean splice on isolated span
PaiwanCh2_013.xml,013S21W9,in=qaɫiw,in=qaɫiw | an,no clean splice on isolated span
PaiwanCh2_013.xml,013S34W12,in=qaɫiw,in=qaɫiw | an,no clean splice on isolated span
PaiwanCh2_013.xml,013S37W7,in=ka,in=ka | i | zua | anan,sibling does not match surface (mutation)
PaiwanCh2_016.xml,016S31W7,in=ka,in=ka | ulaw | an,sibling does not match surface (mutation)
PaiwanCh2_016.xml,016S52W6,isu=paisu,m | isu=paisu,no clean splice on isolated span
PaiwanCh2_037.xml,037S10W9,in=pu,in=pu | linge | lingetj,no clean splice on isolated span
PaiwanCh2_040.xml,040S41W4,in=ka,in=ka | al=gemgem | an,stacked '=' (>1)
PaiwanCh2_049.xml,049S9W13,angeda=langeda,ki | angeda=langeda | i,no clean splice on isolated span
PaiwanCh2_051.xml,051S5W10,djela=qaɫidjelaw,djela=qaɫidjelaw | i,no clean splice on isolated span
PaiwanCh2_054.xml,054S25W4,em=qaw,em=qaw | qawqaw,sibling does not match surface (mutation)
PaiwanCh2_058.xml,058S41W3,tjez=pangetjez,m | tjez=pangetjez,no clean splice on isolated span
PaiwanCh2_071.xml,071S31W7,em=kuda,em=kuda | kuda | anga,sibling does not match surface (mutation)
PaiwanCh2_071.xml,071S33W5,em=kuda,em=kuda | kuda | anga,sibling does not match surface (mutation)
PaiwanCh2_072.xml,072S22W4,isu=paisu,m | isu=paisu,no clean splice on isolated span
PaiwanCh2_073.xml,073S21W5,in=ka,in=ka | zua | an,sibling does not match surface (mutation)
PaiwanCh2_074.xml,074S9W7,in=paka,in=paka | zua | an,sibling does not match surface (mutation)
PaiwanCh2_074.xml,074S44W5,em=kuda,em=kuda | kuda | anga,sibling does not match surface (mutation)
PaiwanCh2_075.xml,075S42W2,em=ar=qe,na | em=ar=qe | angaɫ,uneven '=' in FORM/gloss
PaiwanCh2_077.xml,077S6W12,in=ka,in=ka | kesa | an,sibling does not match surface (mutation)
PaiwanCh2_077.xml,077S10W2,tsa=patsay,m | tsa=patsay,no clean splice on isolated span
PaiwanCh2_078.xml,078S12W3,in=ka,in=ka | qaɫa | qaɫa | an,sibling does not match surface (mutation)
PaiwanCh2_079.xml,079S12W1,em=al=simsim,na | em=al=simsim,uneven '=' in FORM/gloss
PaiwanCh2_079.xml,079S30W3,in=sa,in=sa | Takaw | an,sibling does not match surface (mutation)
PaiwanCh2_079.xml,079S35W5,in=ka,in=ka | sinzia | an,sibling does not match surface (mutation)
PaiwanCh2_079.xml,079S36W1,em=langeda,em=langeda | anga,no clean splice on isolated span
PaiwanCh2_079.xml,079S70W8,in=qa,in=qa | ivu=qivu | an,stacked '=' (>1)
PaiwanCh2_079.xml,079S76W7,in=ka,in=ka | sinzia | an,sibling does not match surface (mutation)
PaiwanCh2_079.xml,079S78W9,in=ka,in=ka | sinzia | an,sibling does not match surface (mutation)
PaiwanCh2_079.xml,079S89W7,m=vetsik,na | m=vetsik,no clean splice on isolated span
PaiwanCh2_081.xml,081S14W3,in=qaɫiw,in=qaɫiw | an,no clean splice on isolated span
PaiwanCh2_083.xml,083S3W12,in=si,in=si | pa | sane,sibling does not match surface (mutation)
PaiwanCh2_090.xml,090S4W13,in=pu,in=pu | linge | lingetj,no clean splice on isolated span
PaiwanCh2_091.xml,091S22W10,in=ka,in=ka | i | zua | anan,sibling does not match surface (mutation)
PaiwanCh2_091.xml,091S22W35,in=ka,in=ka | i | zua | anan,sibling does not match surface (mutation)
PaiwanCh2_091.xml,091S27W12,in=ka,in=ka | i | zua | anan,sibling does not match surface (mutation)
PaiwanCh2_092.xml,092S11W5,in=pa,na | in=pa | pa | djulu,no clean splice on isolated span
PaiwanCh2_092.xml,092S13W24,m=al=simsim,na | m=al=simsim,uneven '=' in FORM/gloss
PaiwanCh2_092.xml,092S13W29,in=pa,na | in=pa | pe | qau | qaung,no clean splice on isolated span
PaiwanCh2_092.xml,092S17W18,in=pa,in=pa | ru | ma | aya,sibling does not match surface (mutation)
PaiwanCh2_092.xml,092S24W28,in=pa,na | in=pa | pa | djulu,no clean splice on isolated span
PaiwanCh2_092.xml,092S24W51,in=al=simsim,in=al=simsim | an,uneven '=' in FORM/gloss
PaiwanCh2_092.xml,092S31W9,in=pa,in=pa | ka | kuda | kuda | anga,sibling does not match surface (mutation)
PaiwanCh2_092.xml,092S41W2,em=al=simsim,na | em=al=simsim,uneven '=' in FORM/gloss
PaiwanCh2_092.xml,092S45W21,in=pa,na | in=pa | pa | djulu,no clean splice on isolated span
PaiwanCh2_092.xml,092S45W32,in=pa,in=pa | langeda | an,sibling does not match surface (mutation)
PaiwanCh2_093.xml,093S12W18,en=pa,na | en=pa | ka | leva | anga,sibling does not match surface (mutation)
PaiwanCh2_094.xml,094S2W8,in=ka,in=ka | ita | ita | an,sibling does not match surface (mutation)
PaiwanCh2_094.xml,094S12W3,in=ka,in=ka | i | maza | an,sibling does not match surface (mutation)
PaiwanCh2_095.xml,095S7W10,in=pa,in=pa | maka,sibling does not match surface (mutation)
PaiwanCh2_096.xml,096S15W5,in=ka,in=ka | va | va | vaw | an,sibling does not match surface (mutation)
PaiwanCh2_096.xml,096S25W15,em=al=simsim,na | em=al=simsim,uneven '=' in FORM/gloss
PaiwanCh2_096.xml,096S38W5,m=m=ɫa=keɫang,pi | tja | m=m=ɫa=keɫang,uneven '=' in FORM/gloss
PaiwanCh2_096.xml,096S48W6,in=pa,in=pa | maka,sibling does not match surface (mutation)
PaiwanCh2_097.xml,097S12W14,in=vala,na | in=vala,no clean splice on isolated span
PaiwanCh2_097.xml,097S17W13,in=ka,in=ka | i | maza | an,sibling does not match surface (mutation)
PaiwanCh2_100.xml,100S16W14,em=kuda,em=kuda | kuda | anga,sibling does not match surface (mutation)
