sentence_id	word_id	surface	source_morph	inferred_infixes	edit_distance	method
001S19	001S19W4	ɫemauɫau	em=ɫauɫaw	em@1	1	source_surface_alignment
001S21	001S21W4	qinaɫivan	in=qaɫiw-an	in@1	1	source_surface_alignment
001S31	001S31W9	qinaɫivan.	in=qaɫiw-an	in@1	1	source_surface_alignment
001S32	001S32W9	qinaɫivan.	in=qaɫiw-an	in@1	1	source_surface_alignment
002S62	002S62W2	qemtsi,”	em=qetsi	em@1	1	source_surface_alignment
002S73	002S73W6	vinritsan.	in=verits-an	in@1	1	source_surface_alignment
003S3	003S3W2	nasemvaɫ	na-em=sevaɫ	em@1	1	source_surface_alignment
004S23	004S23W2	semqu	em=sequ	em@1	1	source_surface_alignment
004S25	004S25W2	lemangda	em=langeda	em@1	1	source_surface_alignment
004S25	004S25W20	linangdan.	in=langeda-an	in@1	2	source_surface_alignment
004S26	004S26W16	qemtjutj	em=qetjutj	em@1	1	source_surface_alignment
004S28	004S28W12	qemtjutj	em=qetjutj	em@1	1	source_surface_alignment
005S2	005S2W14	semqas	em=seqas	em@1	1	source_surface_alignment
005S4	005S4W4	qinaɫan	in=qaɫa-an	in@1	1	source_surface_alignment
005S12	005S12W8	qintsi	in=qetsi	in@1	1	source_surface_alignment
005S15	005S15W2	kemɫang	em=keɫang	em@1	1	source_surface_alignment
005S15	005S15W8	qintsi	in=qetsi	in@1	1	source_surface_alignment
005S17	005S17W11	qinaɫan	in=qaɫa-an	in@1	1	source_surface_alignment
005S32	005S32W2	lemangda	em=langeda	em@1	1	source_surface_alignment
007S8	007S8W2	qemtsi	em=qetsi	em@1	1	source_surface_alignment
008S1	008S1W9	qinaɫivan.	in=qaɫiw-an	in@1	1	source_surface_alignment
009S9	009S9W7	qinpu	in=qepu	in@1	1	source_surface_alignment
009S11	009S11W5	qinpu	in=qepu	in@1	1	source_surface_alignment
009S19	009S19W4	tsinpisan	in=tsepis-an	in@2	1	source_surface_alignment
010S22	010S22W5	venaɫavaɫan	in=vaɫa-vaɫan	in@1	1	source_surface_alignment
011S1	011S1W7	napenaulaulain.	na-en=pa-ula-ula-en	en@1	1	source_surface_alignment
011S3	011S3W2	“kemudanga	em=kuda-anga	em@1	1	source_surface_alignment
011S64	011S64W5	qemtsi,	em=qetsi	em@1	1	source_surface_alignment
011S64	011S64W12	naqemtsi?”	na-em=qetsi	em@1	1	source_surface_alignment
011S69	011S69W4	qemtsi	em=qetsi	em@1	1	source_surface_alignment
