level	source_id	published_ids	rebuild_ids	action
M	001S19W4M0	001S19W4M0	001S19W4M0 | 001S19W4M0a	expand_packed_source_units_without_renumbering
M	001S21W4M0	001S21W4M0	001S21W4M0 | 001S21W4M0a	expand_packed_source_units_without_renumbering
M	001S31W9M0	001S31W9M0	001S31W9M0 | 001S31W9M0a	expand_packed_source_units_without_renumbering
M	001S32W9M0	001S32W9M0	001S32W9M0 | 001S32W9M0a	expand_packed_source_units_without_renumbering
M	002S3W8M0	002S3W8M0	002S3W8M0 | 002S3W8M0a	expand_packed_source_units_without_renumbering
M	004S25W20M0	004S25W20M0	004S25W20M0 | 004S25W20M0a	expand_packed_source_units_without_renumbering
M	008S1W5M1	008S1W5M1	008S1W5M1 | 008S1W5M1a	expand_packed_source_units_without_renumbering
M	008S1W9M0	008S1W9M0	008S1W9M0 | 008S1W9M0a	expand_packed_source_units_without_renumbering
M	010S22W5M0	010S22W5M0	010S22W5M0 | 010S22W5M0a	expand_packed_source_units_without_renumbering
M	011S1W7M1	011S1W7M1	011S1W7M1 | 011S1W7M1a	expand_packed_source_units_without_renumbering
S	011S75	011S75	011S75 | 011S75-omit	expand_optional_source_token_to_complete_sentences
M	013S16W5M0	013S16W5M0	013S16W5M0 | 013S16W5M0a	expand_packed_source_units_without_renumbering
M	013S21W9M0	013S21W9M0	013S21W9M0 | 013S21W9M0a	expand_packed_source_units_without_renumbering
M	013S34W12M0	013S34W12M0	013S34W12M0 | 013S34W12M0a	expand_packed_source_units_without_renumbering
M	013S37W7M0	013S37W7M0	013S37W7M0 | 013S37W7M0a	expand_packed_source_units_without_renumbering
M	013S3W5M0	013S3W5M0	013S3W5M0 | 013S3W5M0a | 013S3W5M0b	expand_packed_source_units_without_renumbering
M	016S31W7M0	016S31W7M0	016S31W7M0 | 016S31W7M0a	expand_packed_source_units_without_renumbering
M	016S52W6M1	016S52W6M1	016S52W6M1 | 016S52W6M1a	expand_packed_source_units_without_renumbering
W	DOCX_page_62		017S23W14	restore_truncated_source_final_word
W	DOCX_page_64		018S21W10	restore_truncated_source_final_word
W	DOCX_page_65		019S4W14	restore_truncated_source_final_word
W	DOCX_page_77		030S7W12	restore_truncated_source_final_word
W	DOCX_page_82		033S20W12	restore_truncated_source_final_word
M	037S10W9M0	037S10W9M0	037S10W9M0 | 037S10W9M0a	expand_packed_source_units_without_renumbering
M	037S12W4M0	037S12W4M0	037S12W4M0 | 037S12W4M0a | 037S12W4M0b | 037S12W4M0c	expand_packed_source_units_without_renumbering
M	037S13W5M0	037S13W5M0	037S13W5M0 | 037S13W5M0a | 037S13W5M0b | 037S13W5M0c	expand_packed_source_units_without_renumbering
W	DOCX_page_90		037S33W13	restore_truncated_source_final_word
M	038S9W8M0	038S9W8M0	038S9W8M0 | 038S9W8M0a	expand_packed_source_units_without_renumbering
M	040S41W4M0	040S41W4M0	040S41W4M0 | 040S41W4M0a	expand_packed_source_units_without_renumbering
M	040S41W4M1	040S41W4M1	040S41W4M1 | 040S41W4M1a	expand_packed_source_units_without_renumbering
S	040S42	040S42	040S42 | 040S42-omit	expand_optional_source_token_to_complete_sentences
W	DOCX_page_99		040S63W12	restore_truncated_source_final_word
S	041S10	041S10	041S10 | 041S10-omit	expand_optional_source_token_to_complete_sentences
W	DOCX_page_109		045S4W8	restore_truncated_source_final_word
M	049S9W13M1	049S9W13M1	049S9W13M1 | 049S9W13M1a	expand_packed_source_units_without_renumbering
S	050S55	050S55	050S55 | 050S55-omit	expand_optional_source_token_to_complete_sentences
M	051S5W10M0	051S5W10M0	051S5W10M0 | 051S5W10M0a	expand_packed_source_units_without_renumbering
