dialect	source_label	example_number	test_list_page	translation_page	form	alternate_translation	alternate_translation_notes	gloss	translation
Maolin	Maga	1	38	39	aɖi ŋulu!			NEG drink	Don't drink!
Maolin	Maga	2	38	39	abrele kɨkɨ.			tired 1S.NOM	I am tired.
Maolin	Maga	3	38	39	traɖo-ŋa musu.			big-already 2S.NOM	You have gotten big.
Maolin	Maga	4	38	39	sakroɖu-ŋa tubi.			start-already cry	(S/he) started to cry.
Maolin	Maga	5	38	39	saokura maucuru gili nma.			very fat younger.sibling 1S.GEN	My younger sibling is very fat.
Maolin	Maga	6	38	39	uputakɨ knee icoo.			run this person	This person ran/is running.
Maolin	Maga	7	38	39	ko-sa-tepruu na aŋatu.			1S.NOM-use-make brushwood	I want to use brushwood to make a fire.
Maolin	Maga	8	38	40	i-sierkɨ ki mamaa.			NEG-sleep NOM father	Father did not sleep.
Maolin	Maga	9	38	40	u-rgu ki kanaw luŋluŋee.			ACT/REAL-know NOM Kanaw swim	Kanaw knows (how to) swim.
Maolin	Maga	10	38	40	astita-li kɖoo vlavlakɨ.			NOM:beat-1S.NOM that child	It is I who beat that child.
Maolin	Maga	11	38	40	ukpuslɨ kɨkɨ kwonɨ na broo.			twice 1S.NOM eat rice	I ate rice twice.
Maolin	Maga	12	38	40	ikee blatɨ ki ninaa.			exist outside NOM mother	Mother is outside.
Maolin	Maga	13	38	40	marimuru pkee danɨ na sosisu.			forget put house key	He forgot (his) keys at home.
Maolin	Maga	14	38	40	n-udu maa kɨkɨ na vlisnɨ pwabreve.			will-carry.on.back will 1S.NOM wild.pig to:village	I will bring the wild pig back to the village.
Dona	Tona	1	41	42	abaili kakə.			tired 1S.NOM	I am tired.
Dona	Tona	2	41	42	taomomoa koso.			grown.up 2S.NOM	You are grown up.
Dona	Tona	3	41	42	siakiaoɖo-ŋa tobi.			start-already cry	(S/he) started to cry.
Dona	Tona	4	41	42	saokwamamitə valak-ili.			very fat child-1S.GEN	My child is very fat.
Dona	Tona	5	41	42	tyaiday koɖay maoɖaŋə.			run that old.person	That old person ran/is running.
Dona	Tona	6	41	42	ko-sya-tiapoy nakay ʔaŋato.			1S.NOM-use-make.a.fire this brushwood	I want to use this brushwood to make a fire.
Dona	Tona	7	41	42	i-siaəkə ki tatava.			NEG-sleep NOM father	Father did not sleep.
Dona	Tona	8	41	43	w-a-igoʔo ki takanaw loaŋolaŋoi.			ACT-REAL-know NOM Takanaw swim	Takanaw knows (how to) swim.
Dona	Tona	9	41	43	a-kakə ka wakanə na bələbələ.			1S.TOP TOP eat banana	As for me, I ate a banana.
Dona	Tona	10	41	43	wakoposalə kakə kwanə na doʔo.			twice 1S.NOM eat rice	I ate rice twice.
Dona	Tona	11	41	43	i-kaʔacə nakoa naɖooay sosoaʔa.			NEG-bite 1S.OBL that snake	The snake did not bite me.
Dona	Tona	12	41	43	yakai balatə ki titina.			exist outside NOM mother	Mother is outside.
Dona	Tona	13	41	43	yakai balatə titina doʔodoʔo.			exist outside mother cook	Mother is cooking outside.
Dona	Tona	14	41	43	amwa ki takanaw kwanə na bələbələ.			go Takanao eat banana	Takanao went to eat the banana.
Dona	Tona	15	42	44	"""ʔaokay-a nosiʔa"" mi kakə ɖianə."	"""Come tomorrow,"" I said to him."	literal translation	come-IMP tomorrow so 1S.NOM 3S.OBL	I asked him to come tomorrow.
