page_range	section	disposition	corpus_units	evidence
1	Title page	excluded_non_corpus	0	Rendered title page; no Rukai sentence data.
2-3	Contents	excluded_non_corpus	0	Rendered contents pages; no Rukai sentence data.
4-32	Survey report body	excluded_non_corpus	0	Rendered prose, maps, tables, and analysis; no elicited sentence list with aligned translations.
33-37	Appendix A questionnaires	excluded_non_corpus	0	Rendered questionnaire response tables; demographic responses, not Rukai sentence records.
38	Appendix B Maga test list	included	14	Fourteen numbered Maga forms, paired with glosses and translations on pages 39-40.
39	Appendix B Maga translations 1-7	included_support	0	Word-aligned forms, glosses, and free translations for Maga 1-7.
40	Appendix B Maga translations 8-14	included_support	0	Word-aligned forms, glosses, and free translations for Maga 8-14.
41	Appendix B Tona test list	included	14	Numbered Tona forms 1-14, paired with glosses and translations on pages 42-43.
42	Appendix B Tona 15 and translations 1-7	included	1	Tona form 15 plus word-aligned forms, glosses, and free translations for Tona 1-7.
43	Appendix B Tona translations 8-14	included_support	0	Word-aligned forms, glosses, and free translations for Tona 8-14.
44	Appendix B Tona translation 15 and references	included_support	0	Word-aligned form, gloss, free translation, and literal note for Tona 15; references begin below it.
45-46	References	excluded_non_corpus	0	Rendered bibliography pages; no Rukai sentence data.
