language,id,kind,bracketed,standard
Atayal,Atayal_0839819d-b80a-f011-bd65-00155db40116,alternation: one word,enpit,"sraral hiya' ga, ungat nanu' sbiru' ta'. misuw qani lga, cingay llamu' na bbiru' (enpit) ka sbiru' ta' la."
Atayal,Atayal_379276a9-b80a-f011-bd65-00155db40116,alternation: one word,pkut,pgyah (pkut) su' knwah ktu' su' la?
Atayal,Atayal_67755fbb-b80a-f011-bd65-00155db40116,alternation: one word,gocyo,Losing ga mins'urux mrhuw(gocyo) ru ini' agal.
Atayal,Atayal_9e2767b5-b80a-f011-bd65-00155db40116,alternation: one word,mamu,"slitun mamu slaq mamu? ini' mamu sliti lga, iyat (mamu) thyazyun mmikuy nya' l'ay."
Atayal,Atayal_bf9076a9-b80a-f011-bd65-00155db40116,alternation: one word,kal,laxi kayal (kal) la.
Bunun,Bunun_03169ff8-c70a-f011-bd65-00155db40116,alternation: one word,Iaki,"Kanahtungin mapa'is'av hai, adasunin a maluspingaz a kusian namin mabananaz tu lumah, musasu maza Tama, Cina sin mas madadaingaz hai, matnanulu tahutahu tu, asa tu madaidaz mas madaingaz Tama(Iaki),"
Bunun,Bunun_03cea6f2-c70a-f011-bd65-00155db40116,alternation: one word,tunkainunu,"sihuis mais macingmut pishaulili(tunkainunu) kusbabai sia dihanin hai, na mataishang a dihanin."
Bunun,Bunun_078caeec-c70a-f011-bd65-00155db40116,alternation: one word,kama'ikit,Adu kaumaikit (kama'ikit)isaicia ima?
Bunun,Bunun_125497fe-c70a-f011-bd65-00155db40116,alternation: one word,minmadiulin,"Maisna tudipin, itu utung a tuhu hai, minmadanghasin(minmadiulin)."
Bunun,Bunun_1a5a97fe-c70a-f011-bd65-00155db40116,alternation: one word,tamahudas,Saibavcia saikin mincivi mas hudasmabananaz(tamahudas).
Bunun,Bunun_1e139ff8-c70a-f011-bd65-00155db40116,alternation: one word,mapadusa,Incumin tu bunun hai aiza tu kaz mapavaz(mapadusa) sukdu sia asang.
Bunun,Bunun_365797fe-c70a-f011-bd65-00155db40116,alternation: one word,Mapadusa,Mapavaz(Mapadusa) tu Incumin hai katsianin amin bukzavdaingaz tu asang.
Bunun,Bunun_3c18bee0-c70a-f011-bd65-00155db40116,alternation: one word,masialin,Mindaduin或(masialin) inak lulu.
Bunun,Bunun_3f8eaeec-c70a-f011-bd65-00155db40116,alternation: one word,lakangkang,Lahangvang(lakangkang) tama sia tabucia(台東pudanuman)
Bunun,Bunun_a68daeec-c70a-f011-bd65-00155db40116,alternation: one word,mahun,Kusian a cina huma kanamal.(mahun).
Bunun,Bunun_b2d40ae6-8a33-f011-8fad-000d3a8250a0,alternation: one word,kamaikit,Adu kaumaikit (kamaikit)isaicia ima?
Bunun,Bunun_cb4217da-8a33-f011-8fad-000d3a8250a0,alternation: one word,mazima,Nautunii saia madu(mazima) mas saicia.
Kavalan,Kavalan_148fe389-e90a-f011-bd65-00155db40116,alternation: one word,Rikum,"muRenap Raya lazing (Rikum), qaytisan."
