id,source_guids,status,note
Amis_0003b93c-af0a-f011-bd65-00155db40116,0003b93c-af0a-f011-bd65-00155db40116,active,
Amis_00046872-a130-f011-8fad-000d3a8250a0,00046872-a130-f011-8fad-000d3a8250a0,active,
Amis_00109a54-af0a-f011-bd65-00155db40116,00109a54-af0a-f011-bd65-00155db40116,active,
Amis_0010cb00-af0a-f011-bd65-00155db40116,0010cb00-af0a-f011-bd65-00155db40116 5e18cb00-af0a-f011-bd65-00155db40116,active,
Amis_0012cb00-af0a-f011-bd65-00155db40116,0012cb00-af0a-f011-bd65-00155db40116,active,
Amis_0013cb00-af0a-f011-bd65-00155db40116,0013cb00-af0a-f011-bd65-00155db40116 70062fc8-8a33-f011-8fad-000d3a8250a0 d745b142-af0a-f011-bd65-00155db40116,active,
Amis_00149a54-af0a-f011-bd65-00155db40116,00149a54-af0a-f011-bd65-00155db40116 3a169a54-af0a-f011-bd65-00155db40116 4f0f9a54-af0a-f011-bd65-00155db40116 a0159a54-af0a-f011-bd65-00155db40116 bacfa14e-af0a-f011-bd65-00155db40116,active,
Amis_0014cb00-af0a-f011-bd65-00155db40116,0014cb00-af0a-f011-bd65-00155db40116 0d10cb00-af0a-f011-bd65-00155db40116,active,
Amis_00159a54-af0a-f011-bd65-00155db40116,00159a54-af0a-f011-bd65-00155db40116 1c129a54-af0a-f011-bd65-00155db40116 1d119a54-af0a-f011-bd65-00155db40116 66169a54-af0a-f011-bd65-00155db40116,active,
Amis_0015cb00-af0a-f011-bd65-00155db40116,0015cb00-af0a-f011-bd65-00155db40116 3158c306-af0a-f011-bd65-00155db40116,active,
Amis_00169a54-af0a-f011-bd65-00155db40116,00169a54-af0a-f011-bd65-00155db40116 7b139a54-af0a-f011-bd65-00155db40116,active,
Amis_0016cb00-af0a-f011-bd65-00155db40116,0016cb00-af0a-f011-bd65-00155db40116,active,
Amis_00179a54-af0a-f011-bd65-00155db40116,00179a54-af0a-f011-bd65-00155db40116 7e179a54-af0a-f011-bd65-00155db40116 a6139a54-af0a-f011-bd65-00155db40116 d8152ac2-8a33-f011-8fad-000d3a8250a0,active,
Amis_0017cb00-af0a-f011-bd65-00155db40116,0017cb00-af0a-f011-bd65-00155db40116 1c56c306-af0a-f011-bd65-00155db40116,active,
Amis_0019cb00-af0a-f011-bd65-00155db40116,0019cb00-af0a-f011-bd65-00155db40116,active,
Amis_001acb00-af0a-f011-bd65-00155db40116,001acb00-af0a-f011-bd65-00155db40116 b417cb00-af0a-f011-bd65-00155db40116,active,
Amis_001bcb00-af0a-f011-bd65-00155db40116,001bcb00-af0a-f011-bd65-00155db40116 d018cb00-af0a-f011-bd65-00155db40116,active,
Amis_0032ef0c-af0a-f011-bd65-00155db40116,0032ef0c-af0a-f011-bd65-00155db40116 00dbd0fa-ae0a-f011-bd65-00155db40116,active,
Amis_0033ef0c-af0a-f011-bd65-00155db40116,0033ef0c-af0a-f011-bd65-00155db40116 1219cb00-af0a-f011-bd65-00155db40116 1930ef0c-af0a-f011-bd65-00155db40116,active,
Amis_0036ef0c-af0a-f011-bd65-00155db40116,0036ef0c-af0a-f011-bd65-00155db40116,active,
Amis_0038ef0c-af0a-f011-bd65-00155db40116,0038ef0c-af0a-f011-bd65-00155db40116,active,
Amis_003eb142-af0a-f011-bd65-00155db40116,003eb142-af0a-f011-bd65-00155db40116,active,
Amis_0040b142-af0a-f011-bd65-00155db40116,0040b142-af0a-f011-bd65-00155db40116 558aa948-af0a-f011-bd65-00155db40116,active,
Amis_0041b142-af0a-f011-bd65-00155db40116,0041b142-af0a-f011-bd65-00155db40116,active,
Amis_0043b142-af0a-f011-bd65-00155db40116,0043b142-af0a-f011-bd65-00155db40116 935ec306-af0a-f011-bd65-00155db40116,active,
