language,dialect,segmented_sentences,glossed_proportion,audio_count,audio_time,eng_transl_count,zho_transl_count,word_count,file_count
ami,Xiuguluan,0,0.0,5482,30094.0,0,5482,37160,1
bnn,Junqun,0,0.0,8714,44357.0,0,8714,53588,1
ckv,,0,0.0,8241,39304.0,0,8241,53160,1
dru,Wutai,0,0.0,10454,52871.0,0,10454,60599,1
pwn,Northern,0,0.0,5365,33063.0,0,5365,38447,1
pyu,Nanwang,0,0.0,7073,38169.0,0,7073,51630,1
ssf,,0,0.0,6417,33176.0,0,6418,44939,1
sxr,,0,0.0,4113,24999.0,0,4115,19186,1
szy,,0,0.0,5360,29533.0,0,5360,32245,1
tao,,0,0.0,6437,22810.0,0,6437,39936,1
tay,Sekolik,0,0.0,6393,37828.0,0,6393,53746,1
trv,Tegudaya,0,0.0,5478,30687.0,0,5477,51702,1
trv,Truku,0,0.0,4680,25703.0,0,4682,28026,1
tsu,,0,0.0,2879,15650.0,0,2884,19203,1
xnb,,0,0.0,5639,45023.0,0,5639,38241,1
xsy,,0,0.0,6102,32966.0,0,6102,37546,1
