printed_page,pdf_page,table,source_variety,english,expected_form,expected_alternate_forms,xml_s_id,xml_form,xml_alternate_forms,status,note
315,2,Klaproth/Vander Vlis Sideia,Klaproth Formosan Sideia,Father,rama,,S_klaproth_formosan_sideia_father,rama,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Vander Vlis Sideia,Father,sama,,S_vander_vlis_sideia_father,sama,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Klaproth Formosan Sideia,Mother,rena,,S_klaproth_formosan_sideia_mother,rena,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Vander Vlis Sideia,Mother,sena,,S_vander_vlis_sideia_mother,sena,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Klaproth Formosan Sideia,Water,ralaum,,S_klaproth_formosan_sideia_water,ralaum,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Vander Vlis Sideia,Water,salong,,S_vander_vlis_sideia_water,salong,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Klaproth Formosan Sideia,Thunder,rungdung,,S_klaproth_formosan_sideia_thunder,rungdung,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Vander Vlis Sideia,Thunder,singding,,S_vander_vlis_sideia_thunder,singding,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Klaproth Formosan Sideia,Tree,parannah,,S_klaproth_formosan_sideia_tree,parannah,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Vander Vlis Sideia,Tree,pesanach,,S_vander_vlis_sideia_tree,pesanach,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Klaproth Formosan Sideia,Foot,rahpal,,S_klaproth_formosan_sideia_foot,rahpal,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Vander Vlis Sideia,Foot,sapal,,S_vander_vlis_sideia_foot,sapal,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Klaproth Formosan Sideia,Great,irang,,S_klaproth_formosan_sideia_great,irang,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Vander Vlis Sideia,Great,isang,,S_vander_vlis_sideia_great,isang,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Klaproth Formosan Sideia,Two,ranka,,S_klaproth_formosan_sideia_two,ranka,,PASS,
315,2,Klaproth/Vander Vlis Sideia,Vander Vlis Sideia,Two,so,soa,S_vander_vlis_sideia_two,so,soa,PASS,
316,3,Gabelentz lexical table,Favorlang,Man,bahosa,sjam,S_favorlang_man | S_favorlang_man-opt,bahosa,sjam,PASS,
316,3,Gabelentz lexical table,Favorlang,Head,oeno,,S_favorlang_head,oeno,,PASS,
316,3,Gabelentz lexical table,Favorlang,Hair,tâu,ratta,S_favorlang_hair | S_favorlang_hair-opt,tâu,ratta,PASS,
316,3,Gabelentz lexical table,Favorlang,Forehead,tees,,S_favorlang_forehead,tees,,PASS,
316,3,Gabelentz lexical table,Favorlang,Eye,macha,,S_favorlang_eye,macha,,PASS,
316,3,Gabelentz lexical table,Favorlang,Nose,not,,S_favorlang_nose,not,,PASS,
316,3,Gabelentz lexical table,Favorlang,Ear,chárrina,,S_favorlang_ear,chárrina,,PASS,
316,3,Gabelentz lexical table,Favorlang,Mouth,ranied,sabbacha,S_favorlang_mouth | S_favorlang_mouth-opt,ranied,sabbacha,PASS,
317,4,Gabelentz lexical table,Favorlang,Tooth,sjien,,S_favorlang_tooth,sjien,,PASS,
317,4,Gabelentz lexical table,Favorlang,Tongue,tatsira,,S_favorlang_tongue,tatsira,,PASS,
317,4,Gabelentz lexical table,Favorlang,Beard,ranob,,S_favorlang_beard,ranob,,PASS,
317,4,Gabelentz lexical table,Favorlang,Neck,bokkir,arribórribon,S_favorlang_neck | S_favorlang_neck-opt,bokkir,arribórribon,PASS,
317,4,Gabelentz lexical table,Favorlang,Breast,arrabis,zido,S_favorlang_breast | S_favorlang_breast-opt,arrabis,zido,PASS,
317,4,Gabelentz lexical table,Favorlang,Belly,cháan,,S_favorlang_belly,cháan,,PASS,
317,4,Gabelentz lexical table,Favorlang,Arm,tea,,S_favorlang_arm,tea,,PASS,
317,4,Gabelentz lexical table,Favorlang,Hand,rima,,S_favorlang_hand,rima,,PASS,
318,5,Gabelentz lexical table,Favorlang,Finger,apillo,,S_favorlang_finger,apillo,,PASS,
318,5,Gabelentz lexical table,Favorlang,Foot,asiél,,S_favorlang_foot,asiél,,PASS,
318,5,Gabelentz lexical table,Favorlang,Heart,totto,tutta,S_favorlang_heart,totto,tutta,PASS,
318,5,Gabelentz lexical table,Favorlang,Blood,tagga,,S_favorlang_blood,tagga,,PASS,
318,5,Gabelentz lexical table,Favorlang,Flesh,bóá,,S_favorlang_flesh,bóá,,PASS,
318,5,Gabelentz lexical table,Favorlang,Bone,oot,,S_favorlang_bone,oot,,PASS,
318,5,Gabelentz lexical table,Favorlang,Milk,tach o zido,,S_favorlang_milk,tach o zido,,PASS,
318,5,Gabelentz lexical table,Favorlang,Skin,maram,,S_favorlang_skin,maram,,PASS,
