# Clip names already published on Hugging Face, keyed by the span they
# cover. A per-sentence clip is sliced out of the whole-story recording
# named by AUDIO/@url, so the span -- not the sentence id -- is what
# identifies it. Recording the mapping here pins those names for good:
# a rebuild that renumbers sentences keeps every clip whose audio is
# unchanged, and only genuinely new spans need slicing.
#
# occurrence disambiguates the 15 spans that appear twice within one
# story; it counts from 0 in document order.
#
# Provenance: the AUDIO elements of the corpus as published on main,
# which is what the Hugging Face dataset was sliced from.
story_stem	start	end	occurrence	clip
Amis_Conv-farming_marang_furayang	0.0	3.45	0	Amis_Conv-farming_marang_furayang_S0.mp3
Amis_Conv-farming_marang_furayang	3.45	6.02	0	Amis_Conv-farming_marang_furayang_S1.mp3
Amis_Conv-farming_marang_furayang	6.02	10.07	0	Amis_Conv-farming_marang_furayang_S2.mp3
Amis_Conv-farming_marang_furayang	10.07	16.22	0	Amis_Conv-farming_marang_furayang_S3.mp3
Amis_Conv-farming_marang_furayang	16.22	21.6	0	Amis_Conv-farming_marang_furayang_S4.mp3
Amis_Conv-farming_marang_furayang	21.6	27.16	0	Amis_Conv-farming_marang_furayang_S5.mp3
Amis_Conv-farming_marang_furayang	27.16	34.05	0	Amis_Conv-farming_marang_furayang_S6.mp3
Amis_Conv-farming_marang_furayang	34.05	38.42	0	Amis_Conv-farming_marang_furayang_S7.mp3
Amis_Conv-farming_marang_furayang	38.42	44.05	0	Amis_Conv-farming_marang_furayang_S8.mp3
Amis_Conv-farming_marang_furayang	44.05	47.03	0	Amis_Conv-farming_marang_furayang_S9.mp3
Amis_Conv-farming_marang_furayang	47.03	54.24	0	Amis_Conv-farming_marang_furayang_S10.mp3
Amis_Conv-farming_marang_furayang	54.24	57.58	0	Amis_Conv-farming_marang_furayang_S11.mp3
Amis_Conv-farming_marang_furayang	57.58	62.59	0	Amis_Conv-farming_marang_furayang_S12.mp3
Amis_Conv-farming_marang_furayang	62.59	69.22	0	Amis_Conv-farming_marang_furayang_S13.mp3
Amis_Conv-farming_marang_furayang	69.22	71.86	0	Amis_Conv-farming_marang_furayang_S14.mp3
Amis_Conv-farming_marang_furayang	71.86	75.83	0	Amis_Conv-farming_marang_furayang_S15.mp3
Amis_Conv-farming_marang_furayang	75.83	78.65	0	Amis_Conv-farming_marang_furayang_S16.mp3
Amis_Conv-farming_marang_furayang	78.65	84.27	0	Amis_Conv-farming_marang_furayang_S17.mp3
Amis_Conv-farming_marang_furayang	84.27	89.32	0	Amis_Conv-farming_marang_furayang_S18.mp3
Amis_Conv-farming_marang_furayang	89.32	98.22	0	Amis_Conv-farming_marang_furayang_S19.mp3
Amis_Conv-farming_marang_furayang	98.22	102.34	0	Amis_Conv-farming_marang_furayang_S20.mp3
Amis_Conv-farming_marang_furayang	102.34	106.65	0	Amis_Conv-farming_marang_furayang_S21.mp3
Amis_Conv-farming_marang_furayang	106.65	113.12	0	Amis_Conv-farming_marang_furayang_S22.mp3
Amis_Conv-farming_marang_furayang	113.12	118.58	0	Amis_Conv-farming_marang_furayang_S23.mp3
Amis_Conv-farming_marang_furayang	118.58	120.87	0	Amis_Conv-farming_marang_furayang_S24.mp3
Amis_Conv-farming_marang_furayang	120.87	123.85	0	Amis_Conv-farming_marang_furayang_S25.mp3
Amis_Conv-farming_marang_furayang	123.85	125.72	0	Amis_Conv-farming_marang_furayang_S26.mp3
Amis_Conv-farming_marang_furayang	125.72	137.16	0	Amis_Conv-farming_marang_furayang_S27.mp3
Amis_Conv-farming_marang_furayang	137.16	154.61	0	Amis_Conv-farming_marang_furayang_S28.mp3
Amis_Conv-farming_marang_furayang	154.61	161.27	0	Amis_Conv-farming_marang_furayang_S29.mp3
Amis_Conv-farming_marang_furayang	161.27	163.89	0	Amis_Conv-farming_marang_furayang_S30.mp3
Amis_Conv-farming_marang_furayang	163.89	168.8	0	Amis_Conv-farming_marang_furayang_S31.mp3
Amis_Conv-farming_marang_furayang	168.8	171.71	0	Amis_Conv-farming_marang_furayang_S32.mp3
Amis_Conv-farming_marang_furayang	171.71	177.32	0	Amis_Conv-farming_marang_furayang_S33.mp3
Amis_Conv-farming_marang_furayang	177.32	179.22	0	Amis_Conv-farming_marang_furayang_S34.mp3
Amis_Conv-farming_marang_furayang	179.22	183.82	0	Amis_Conv-farming_marang_furayang_S35.mp3
Amis_Conv-farming_marang_furayang	183.82	188.62	0	Amis_Conv-farming_marang_furayang_S36.mp3
Amis_Conv-farming_marang_furayang	188.62	195.15	0	Amis_Conv-farming_marang_furayang_S37.mp3
Amis_Conv-farming_marang_furayang	195.15	201.26	0	Amis_Conv-farming_marang_furayang_S38.mp3
Amis_Conv-farming_marang_furayang	201.26	204.28	0	Amis_Conv-farming_marang_furayang_S39.mp3
Amis_Conv-farming_marang_furayang	204.28	208.76	0	Amis_Conv-farming_marang_furayang_S40.mp3
Amis_Conv-farming_marang_furayang	208.76	214.17	0	Amis_Conv-farming_marang_furayang_S41.mp3
Amis_Conv-farming_marang_furayang	214.17	216.72	0	Amis_Conv-farming_marang_furayang_S42.mp3
Amis_Conv-farming_marang_furayang	216.72	221.63	0	Amis_Conv-farming_marang_furayang_S43.mp3
Amis_Conv-farming_marang_furayang	226.73	230.89	0	Amis_Conv-farming_marang_furayang_S44.mp3
Amis_Conv-farming_marang_furayang	230.89	237.95	0	Amis_Conv-farming_marang_furayang_S45.mp3
Amis_Conv-farming_marang_furayang	237.95	242.66	0	Amis_Conv-farming_marang_furayang_S46.mp3
Amis_Conv-farming_marang_furayang	242.66	250.24	0	Amis_Conv-farming_marang_furayang_S47.mp3
Amis_Conv-farming_marang_furayang	250.24	252.82	0	Amis_Conv-farming_marang_furayang_S48.mp3
Amis_Conv-farming_marang_furayang	252.82	264.78	0	Amis_Conv-farming_marang_furayang_S49.mp3
Amis_Conv-farming_marang_furayang	264.78	275.12	0	Amis_Conv-farming_marang_furayang_S50.mp3
Amis_Conv-farming_marang_furayang	275.12	276.22	0	Amis_Conv-farming_marang_furayang_S51.mp3
Amis_Conv-farming_marang_furayang	276.22	282.02	0	Amis_Conv-farming_marang_furayang_S52.mp3
Amis_Conv-farming_marang_furayang	282.02	287.42	0	Amis_Conv-farming_marang_furayang_S53.mp3
Amis_Conv-farming_marang_furayang	287.42	290.16	0	Amis_Conv-farming_marang_furayang_S54.mp3
Amis_Conv-farming_marang_furayang	290.16	293.22	0	Amis_Conv-farming_marang_furayang_S55.mp3
Amis_Conv-farming_marang_furayang	293.22	294.42	0	Amis_Conv-farming_marang_furayang_S56.mp3
Amis_Conv-farming_marang_furayang	294.42	295.62	0	Amis_Conv-farming_marang_furayang_S57.mp3
Amis_Conv-farming_marang_furayang	295.62	299.25	0	Amis_Conv-farming_marang_furayang_S58.mp3
Amis_Conv-farming_marang_furayang	299.25	305.72	0	Amis_Conv-farming_marang_furayang_S59.mp3
Amis_Conv-farming_marang_furayang	305.72	309.57	0	Amis_Conv-farming_marang_furayang_S60.mp3
Amis_Conv-farming_marang_furayang	309.57	316.51	0	Amis_Conv-farming_marang_furayang_S61.mp3
Amis_Conv-farming_marang_furayang	316.51	321.55	0	Amis_Conv-farming_marang_furayang_S62.mp3
Amis_Conv-farming_marang_furayang	321.55	329.42	0	Amis_Conv-farming_marang_furayang_S63.mp3
Amis_Conv-talking_tamih_panay	0.0	3.4	0	Amis_Conv-talking_tamih_panay_S0.mp3
Amis_Conv-talking_tamih_panay	3.4	9.23	0	Amis_Conv-talking_tamih_panay_S1.mp3
Amis_Conv-talking_tamih_panay	9.23	16.37	0	Amis_Conv-talking_tamih_panay_S2.mp3
Amis_Conv-talking_tamih_panay	16.37	22.37	0	Amis_Conv-talking_tamih_panay_S3.mp3
Amis_Conv-talking_tamih_panay	22.37	30.59	0	Amis_Conv-talking_tamih_panay_S4.mp3
Amis_Conv-talking_tamih_panay	30.59	33.91	0	Amis_Conv-talking_tamih_panay_S5.mp3
Amis_Conv-talking_tamih_panay	33.91	35.44	0	Amis_Conv-talking_tamih_panay_S6.mp3
Amis_Conv-talking_tamih_panay	35.44	37.18	0	Amis_Conv-talking_tamih_panay_S7.mp3
Amis_Conv-talking_tamih_panay	37.18	42.64	0	Amis_Conv-talking_tamih_panay_S8.mp3
Amis_Conv-talking_tamih_panay	42.64	44.04	0	Amis_Conv-talking_tamih_panay_S9.mp3
Amis_Conv-talking_tamih_panay	44.04	44.78	0	Amis_Conv-talking_tamih_panay_S10.mp3
Amis_Conv-talking_tamih_panay	44.78	46.54	0	Amis_Conv-talking_tamih_panay_S11.mp3
Amis_Conv-talking_tamih_panay	46.54	48.47	0	Amis_Conv-talking_tamih_panay_S12.mp3
Amis_Conv-talking_tamih_panay	48.47	52.58	0	Amis_Conv-talking_tamih_panay_S13.mp3
Amis_Conv-talking_tamih_panay	52.58	53.41	0	Amis_Conv-talking_tamih_panay_S14.mp3
Amis_Conv-talking_tamih_panay	53.41	57.52	0	Amis_Conv-talking_tamih_panay_S15.mp3
Amis_Conv-talking_tamih_panay	57.52	61.45	0	Amis_Conv-talking_tamih_panay_S16.mp3
Amis_Conv-talking_tamih_panay	61.45	62.39	0	Amis_Conv-talking_tamih_panay_S17.mp3
Amis_Conv-talking_tamih_panay	62.39	65.44	0	Amis_Conv-talking_tamih_panay_S18.mp3
Amis_Conv-talking_tamih_panay	65.44	73.81	0	Amis_Conv-talking_tamih_panay_S19.mp3
Amis_Conv-talking_tamih_panay	73.81	74.94	0	Amis_Conv-talking_tamih_panay_S20.mp3
Amis_Conv-talking_tamih_panay	74.94	77.67	0	Amis_Conv-talking_tamih_panay_S21.mp3
Amis_Conv-talking_tamih_panay	77.67	80.0	0	Amis_Conv-talking_tamih_panay_S22.mp3
Amis_Conv-talking_tamih_panay	80.0	82.56	0	Amis_Conv-talking_tamih_panay_S23.mp3
Amis_Conv-talking_tamih_panay	82.56	84.19	0	Amis_Conv-talking_tamih_panay_S24.mp3
Amis_Conv-talking_tamih_panay	84.19	90.59	0	Amis_Conv-talking_tamih_panay_S25.mp3
Amis_Conv-talking_tamih_panay	90.59	92.52	0	Amis_Conv-talking_tamih_panay_S26.mp3
Amis_Conv-talking_tamih_panay	92.52	92.81	0	Amis_Conv-talking_tamih_panay_S27.mp3
Amis_Conv-talking_tamih_panay	92.81	96.49	0	Amis_Conv-talking_tamih_panay_S28.mp3
Amis_Conv-talking_tamih_panay	96.49	102.87	0	Amis_Conv-talking_tamih_panay_S29.mp3
Amis_Conv-talking_tamih_panay	102.87	104.36	0	Amis_Conv-talking_tamih_panay_S30.mp3
Amis_Conv-talking_tamih_panay	104.36	108.03	0	Amis_Conv-talking_tamih_panay_S31.mp3
Amis_Conv-talking_tamih_panay	108.03	110.69	0	Amis_Conv-talking_tamih_panay_S32.mp3
Amis_Conv-talking_tamih_panay	110.69	116.45	0	Amis_Conv-talking_tamih_panay_S33.mp3
Amis_Conv-talking_tamih_panay	116.45	117.93	0	Amis_Conv-talking_tamih_panay_S34.mp3
Amis_Conv-talking_tamih_panay	117.93	119.59	0	Amis_Conv-talking_tamih_panay_S35.mp3
Amis_Conv-talking_tamih_panay	119.59	121.68	0	Amis_Conv-talking_tamih_panay_S36.mp3
Amis_Conv-talking_tamih_panay	121.68	123.78	0	Amis_Conv-talking_tamih_panay_S37.mp3
Amis_Conv-talking_tamih_panay	123.78	127.18	0	Amis_Conv-talking_tamih_panay_S38.mp3
Amis_Conv-talking_tamih_panay	127.18	134.88	0	Amis_Conv-talking_tamih_panay_S39.mp3
Amis_Conv-talking_tamih_panay	134.88	140.61	0	Amis_Conv-talking_tamih_panay_S40.mp3
Amis_Conv-talking_tamih_panay	140.61	142.76	0	Amis_Conv-talking_tamih_panay_S41.mp3
