# Gloss cells the audited source output blanked to the '_' absent-gloss
# placeholder but which the previously published source carries as real
# glossing. Restored at load time so the corpus keeps both the audited
# source's row realignments AND this glossing. Keyed by source file,
# record id, gloss-row index, cell index; wordform is carried as a witness
# and the restoration is skipped if it no longer matches.
#
# Provenance: Corpora/NTUFormosanCorpus/CodeAndDocs/story as published on
# main at the time of writing. See pipeline/README.md.
source_file	record_id	row	cell	wordform	value
story/Kavalan_Xinshe/KavCon-marriage_abas_pilaw.json	557	1	1	[XX],\	XX
story/Kavalan_Xinshe/KavCon-marriage_abas_pilaw.json	557	1	2	[XX],\	XX
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	10	2	1	o:_	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	10	2	2	o:_	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	100	2	1	hayza'	EXIST
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	100	2	2	hayza'	存在
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	101	2	1	maehraehraeng	AF.discuss
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	101	2	2	maehraehraeng	主焦.商量
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	102	2	1	na==./	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	102	2	2	na==./	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	103	2	1	wa'is	ability
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	103	2	2	wa'is	能力
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	104	2	1	hini	this
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	104	2	2	hini	這個
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	104	7	1	ka,/	NOM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	104	7	2	ka,/	主格
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	105	2	1	ka	ACC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	105	2	2	ka	受格
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	106	2	1	'a'aringan	at.first
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	106	2	2	'a'aringan	起初
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	106	10	1	haysani./	now
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	106	10	2	haysani./	現在
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	107	2	1	'ana	whether
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	107	2	2	'ana	無論
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	108	2	1	hia'	who
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	108	2	2	hia'	誰
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	109	2	1	makakreng	AF.hardworking
