language,file_name,Sentence_id,Formosan,Ch
Sakizaya,ap2,36,['a=hican'],"['未來', '什麼.受事焦點']"
Sakizaya,ap2,44,"['a=sa', 'nu', 'kyukay', 'en=tu,']","['表未來', '工具焦點', '屬格', '教會', '工具焦點=完成貌']"
Sakizaya,ap2,66,"['ka', 'pa', 'pina=tu']","['非限定', 'Ca']"
Sakizaya,06,55,"['a=mu', 'angic=tu']","['表未來', '主事焦點', '哭=完成貌']"
Sakizaya,11,57,"['pa', 'pina']","['Ca', '重疊', '多少']"
Sakizaya,11,58,"['pa', 'pina']","['Ca', '重疊', '多少']"
Sakizaya,11,64,"['a=nu', 'yaan']","['表未來', '屬格', '何時']"
Sakizaya,11,66,"['a=ma', 'ka', 'azih']","['表未來', '主事焦點', 'KA', '看']"
Sakizaya,12,19,"['a=pa', 'ka', 'lahuk']","['表未來', '使動', 'KA', '午餐']"
Sakizaya,09,23,"['pa', 'pa', 'cakay', 'en']","['使動（句法）', '使動（詞彙）', 'PI', '買', '受事焦點']"
Sakizaya,09,29,"['pa', 'kan', 'en']","['使動', '吃']"
Sakizaya,13,2,['matineng'],"['主事焦點', '知道']"
Sakizaya,13,27,['matengil'],"['受事焦點', '聽']"
Sakizaya,13,33,"['a=nu', 'ayaw']","['表未來', '屬格', '之前']"
Sakizaya,13,43,"['a=ta', 'iza']","['表未來', '去', '那']"
Sakizaya,13,44,"['a=ta', 'iza']","['表未來', '去', '那']"
Sakizaya,13,45,"['a=ta', 'iza']","['表未來', '去', '那']"
Sakizaya,13,46,"['a=ta', 'iza']","['表未來', '去', '那']"
Sakizaya,05,60,['manamuh'],"['主事焦點', '喜歡']"
Sakizaya,ap1,5,"['a=ta', 'umah']","['表未來', '去', '田']"
Sakizaya,ap1,9,"['a=mi', 'sanga’']","['表未來', '主事焦點', '做']"
Sakizaya_Sakizaya,ap1,76,"['mumul', 'tu']",['主事焦點.走＝完成貌']
Sakizaya,ap1,77,"['a=nu', 'yaan']","['表未來', '屬格', '何時']"
Sakizaya,14,15,"['na=ma', 'lahuk=tu']","['表過去', '主事焦點', '午餐=完成貌']"
Sakizaya,14,22,"['a=mi', 'liluc']","['表未來', '主事焦點', '洗澡']"
Sakizaya,15,8,['manamuh'],"['主事焦點', '喜歡']"
Seediq,ap2,4,['melux'],"['主事焦點', '迷失']"
Seediq_Tgdaya,ap2,38,['muxi'],"['嘴巴', '他.屬格']"
Seediq,ap2,48,['tlahi'],"['看', '處所焦點']"
Seediq_Tgdaya,ap2,52,['ka'],"['頭', '他.屬格']"
Seediq,13,37,['mesa'],"['使動<完成貌>站立', '處所焦點']"
Seediq,ap1,4,['hari'],"['主事焦點', '打雷']"
Seediq,ap1,33,['weewa.'],"['參考焦點', '一起', '受事焦點.祈使=我們.包含.屬格']"
Seediq,ap1,44,['qhuni'],"['看', '處所焦點']"
Seediq,ap1,48,['gaga'],"['tg', '吸']"
Seediq_Tgdaya,14,8,['na'],"['抵達', '我們.排除.主格']"
Seediq,14,17,['ini'],"['參考焦點', '一起']"
Seediq_Tgdaya,14,22,['qita'],"['眼睛', '她.屬格']"
