language,file_name,Sentence_id,Formosan,En,Ch
Kanakanavu,1,1,"['k<um>a', 'kʉʉn']","['<AV>Ca', 'eat']",['<主焦>Ca重疊']
Kanakanavu,1,19_v2,"['putukikio', 'kiim']","['AV.work', '1PL.NOM.EXCL']",['1PL.主格.排除']
Kanakanavu,1,19_v3,"['putukikio', 'kamu']","['AV.work', '2PL.NOM']",['2PL.主格']
Kanakanavu,1,22_v2,"['tarakanang', 'kasu']",['2SG.NOM'],['2SG.主格']
Kanakanavu,1,23_v2,"['manmaan', 'kiim']",['1PL.NOM.EXCL'],"['主焦.喜歡', '1PL.主格.排除']"
Kanakanavu,1,24_v2,"['ni', 'kʉʉn=musu']","['PV', 'eat=2SG.GEN']",['2SG.屬格']
Kanakanavu,1,24_v2,"['kʉʉn', 'musu']","['eat', '2SG.GEN']",['']
Kanakanavu,1,24_v3,"['ni', 'kʉʉn=kee']","['PV', 'eat=3SG.GEN']",['3SG.屬格']
Kanakanavu,1,24_v3,"['kʉʉn', 'kee']","['eat', '3SG.GEN']",['']
Kanakanavu,1,25_v3,"['ara', 'mu']","['take', '2PL.GEN']",['拿2PL.屬格']
Kanakanavu,1,25_v4,"['ara', 'kee']","['take', '3PL.GEN']",['拿3PL.屬格']
Kanakanavu,1,27_v3,"['tacau', 'mu']","['dog', '2PL.POSS']",['狗2PL.所有格']
Kanakanavu,1,50,"['k<um>a', 'kʉʉn']","['<AV>Ca', 'eat']",['<主焦>Ca重疊']
Kanakanavu,1,62,"['k<um>a', 'kʉʉn=kiim']","['<AV>Ca', 'eat=1PL.NOM.EXCL']",['<主焦>Ca重疊=1PL.主格.排除']
Kanakanavu,1,62,['k<um>a'],['<AV>Ca'],"['<主焦>Ca重疊', '1PL.主格.排除']"
Kanakanavu,1,62,"['kʉʉn', 'kiim']","['eat', '1PL.NOM.EXCL']",['']
Kanakanavu,1,114_v1,"['c<um>a', ""cʉ'ʉra=ku""]","['<AV>Ca', 'see=1SG.NOM']",['<主焦>Ca重疊=1SG.主格']
Kanakanavu,1,114_v1,['c<um>a'],['<AV>Ca'],"['<主焦>Ca重疊', '1SG.主格']"
Kanakanavu,1,114_v1,"[""cʉ'ʉra"", 'ku']","['see', '1SG.NOM']",['']
Kanakanavu,1,114_v2,"['c<um>a', ""cʉ'ʉra=ku""]","['<AV>Ca', 'see=1SG.NOM']",['<主焦>Ca重疊=1SG.主格']
Kanakanavu,1,114_v2,['c<um>a'],['<AV>Ca'],"['<主焦>Ca重疊', '1SG.主格']"
Kanakanavu,1,114_v2,"[""cʉ'ʉra"", 'ku']","['see', '1SG.NOM']",['']
Kanakanavu,1,142,"['ma', 'manu']",['NOM'],['主格']
Kanakanavu,1,142,['sua'],"['RED', 'child']","['重疊', '孩子']"
Kanakanavu,1,143,"['ma', 'manu']",['LOC'],['處格']
Kanakanavu,1,175,"['maka', ""macu'u=cu""]","['AV', 'do', 'fruit=COS']","['主焦', '做', '水果=狀態改變']"
Kanakanavu,1,175,"[""macu'u"", 'cu']",['do'],['做']
Kanakanavu,1,175,[''],"['fruit', 'COS']","['水果', '狀態改變']"
Kanakanavu,1,180,"[""'apa"", 'topurʉ', 'ʉn']","['CAUS', 'sit', 'PV']","['使役', '坐']"
Kanakanavu,1,200,"[""ti'ing"", 'ku']",['a.small.piece.of'],['一小塊']
Kanakanavu,1,211,"['ni', 'vatu', '∅']","['PFV', 'AV.come', 'REL']","['完成', '主焦.來', '主焦.來', '關係詞']"
Kanakanavu,1,237,"['aratʉʉn', 'cu']",['AV.full'],['主焦.滿']
Kanakanavu,1,246,"['n', 'ku']","['REC', '1SG.NOM']","['重現', '持續', '1SG.主格']"
Kanakanavu,1,255,"[""tavarʉ'"", 'ʉ']",['AV.know'],['主焦.知道']
Kanakanavu,1,267,"['ta', 'turu']","['Ca', 'three']",['Ca重疊']
Kanakanavu,1,268,"['ni', 'm', 'ov', 'a']","['PFV', 'AV', 'give', 'REL']","['完成', '主焦', '關係詞']"
Kanakanavu,1,271,['te=ku'],['IRR=1SG.NOM'],"['非實現', '1SG.主格']"
Kanakanavu,1,271,"['te', 'ku']","['IRR', '1SG.NOM']",['非實現']
Kanakanavu,1,272,"['ni', 'm', 'ov', 'a']","['PFV', 'AV', 'give', 'REL']","['完成', '主焦', '關係詞']"
Kanakanavu,1,292,"['maka', 'mumuan']","['AV', 'do', 'many']","['主焦', '做', '多']"
Kanakanavu,1,292,"['ni', 'ma', 'ka', 'a', 'n=ku']","['PFV', 'AV', 'do', 'one.REC']","['完成', '主焦', '來', '一.重現']"
Kanakanavu,1,292,"['n', 'ku']",[''],['']
Kanakanavu,1,295,"['usa', 'kara', 'cu', 'kasu']","['go', 'Q', '2SG.NOM']","['去', '問題', '2SG.主格']"
Kanakanavu,1,320,"['matʉʉnsʉ', 'ku']",['AV.meet'],['主焦.遇見']
Kanakanavu,1,328,"['ra', 'rima']","['Ca', 'five']",['Ca重疊']
Kanakanavu,1,344,"['ni', ""po'ocipi"", '∅=musu,']","['完成', '煮', '關係詞', '∅=第二人稱單數.所有格']","['PFV', 'cook', 'REL=2SG.POSS']"
Kanakanavu,1,344,"['∅', 'musu,']",['關係詞'],"['REL', '2SG.POSS']"
Kanakanavu,1,344,[''],"['∅', '第二人稱單數.所有格']",['']
