language,file_name,sentence_id,error
Kanakanavu,1,18,"WARNING: Free zh has 3 parts, expected 2; using full free zh for all 2 variants"
Kanakanavu,1,18,"WARNING: Free en has 3 parts, expected 2; using full free en for all 2 variants"
Kanakanavu,1,19,"WARNING: Free zh has 4 parts, expected 3; using full free zh for all 3 variants"
Kanakanavu,1,19,"WARNING: Free en has 4 parts, expected 3; using full free en for all 3 variants"
Kanakanavu,1,20,"WARNING: Free en has 4 parts, expected 3; using full free en for all 3 variants"
Kanakanavu,1,22,"WARNING: Free zh has 3 parts, expected 2; using full free zh for all 2 variants"
Kanakanavu,1,22,"WARNING: Free en has 3 parts, expected 2; using full free en for all 2 variants"
Kanakanavu,1,23,"WARNING: Free zh has 4 parts, expected 3; using full free zh for all 3 variants"
Kanakanavu,1,23,"WARNING: Free en has 4 parts, expected 3; using full free en for all 3 variants"
Kanakanavu,1,26,"WARNING: Free en has 4 parts, expected 3; using full free en for all 3 variants"
Kanakanavu,1,28,"WARNING: Free en has 8 parts, expected 3; using full free en for all 3 variants"
Kanakanavu,1,29,"WARNING: Free en has 10 parts, expected 4; using full free en for all 4 variants"
Kanakanavu,1,199,"Word 'pira-'itumur-oo/pira-makangʉc-oo': form=2, zh=1, en=2 alternative counts disagree"
Kanakanavu,3,67,"Word 'nguain/nguani': form=2, zh=1, en=1 alternative counts disagree"
Kanakanavu,3,444,"Word 'momuun/tumating': form=2, zh=1, en=1 alternative counts disagree"
