xml_file,source_eaf,subset,speaker_label,dialect,audio_file,audio_resolved,utterance_count,start,end
Paiwan_Y1_read_speech_02JN105_1_Ljalja_u.xml,story/Paiwan_NTU/Y1/read_speech/Ljaljau/02JN105-1 Ljalja'u.eaf,Y1 read-speech,Ljalja'u,Central Paiwan,02JN105-1 Ljalja'u.wav,yes,6,2.99,270.4
Paiwan_Y1_read_speech_02JN105_2_Ljalja_u.xml,story/Paiwan_NTU/Y1/read_speech/Ljaljau/02JN105-2 Ljalja'u.eaf,Y1 read-speech,Ljalja'u,Central Paiwan,02JN105-2 Ljalja'u.wav,yes,6,3.16,242.92
Paiwan_Y1_read_speech_02JN105_3_Ljalja_u.xml,story/Paiwan_NTU/Y1/read_speech/Ljaljau/02JN105-3 Ljalja'u.eaf,Y1 read-speech,Ljalja'u,Central Paiwan,02JN105-3 Ljalja'u.wav,yes,6,3.38,212.43
Paiwan_Y1_read_speech_02JN106_1_Ljalja_u.xml,story/Paiwan_NTU/Y1/read_speech/Ljaljau/02JN106-1 Ljalja'u.eaf,Y1 read-speech,Ljalja'u,Central Paiwan,02JN106-1 Ljalja'u.wav,yes,5,2.72,243.41
Paiwan_Y1_read_speech_02JN106_2_Ljalja_u.xml,story/Paiwan_NTU/Y1/read_speech/Ljaljau/02JN106-2 Ljalja'u.eaf,Y1 read-speech,Ljalja'u,Central Paiwan,02JN106-2 Ljalja'u.wav,yes,16,2.5,279.587
Paiwan_Y1_read_speech_02JN106_3_Ljalja_u.xml,story/Paiwan_NTU/Y1/read_speech/Ljaljau/02JN106-3 Ljalja'u.eaf,Y1 read-speech,Ljalja'u,Central Paiwan,02JN106-3 Ljalja'u.wav,yes,15,2.058,259.676
Paiwan_Y1_read_speech_02JN107_4_Ljalja_u.xml,story/Paiwan_NTU/Y1/read_speech/Ljaljau/02JN107-4 Ljalja'u.eaf,Y1 read-speech,Ljalja'u,Central Paiwan,02JN107-4 Ljalja'u.wav,yes,16,2.058,257.029
Paiwan_Y1_read_speech_02JN108_1_Ljalja_u.xml,story/Paiwan_NTU/Y1/read_speech/Ljaljau/02JN108-1 Ljalja'u.eaf,Y1 read-speech,Ljalja'u,Central Paiwan,02JN108-1 Ljalja'u.wav,yes,15,2.735,326.058
Paiwan_Y1_read_speech_02JN108_3_Ljalja_u.xml,story/Paiwan_NTU/Y1/read_speech/Ljaljau/02JN108-3 Ljalja'u.eaf,Y1 read-speech,Ljalja'u,Central Paiwan,02JN108-3 Ljalja'u.wav,yes,16,2.411,260.735
Paiwan_Y1_read_speech_02JN110_1_Ljalja_u.xml,story/Paiwan_NTU/Y1/read_speech/Ljaljau/02JN110-1 Ljalja'u.eaf,Y1 read-speech,Ljalja'u,Central Paiwan,02JN110-1 Ljalja'u.wav,yes,15,6.882,278.117
