language,file_name,Sentence_id,Formosan,En,Ch
Amis,Amis_Conv-farming_marang_furayang,"[118, 120]","[""ka'etip"", 'ay']",['west=AY'],['西邊=AY']
Amis,Amis_Conv-farming_marang_furayang,"[118, 120]","[""ka'etip""]","['west', 'AY']","['西邊', 'AY']"
Amis,Amis_Conv-talking_tamih_panay,"[59, 66]","['pa', 'tadem', 'an']",['that.OBL'],['那個.斜格']
Amis,Amis_Nr-frog_zuomei,[13],"[""paru'"", 'han']","['put', 'HAN.PF']","['裝', 'HAN', '受焦']"
Amis,Amis_Nr-intro_ofad,"[107, 113]",['duoyuanwenhuajiaoyu'],"['multi', 'cultural.education']",['多元文化教育']
Amis,Amis_Nr-intro_tamih,[373],"['emin', 'tu']","['all', 'PFV']",['全部']
Amis,Amis_Nr-pear_minzhu,"[116, 117]",['sa=tu'],['SA=PFV'],"['SA', '完成']"
Amis,Amis_Nr-pear_minzhu,"[116, 117]","['sa', 'tu']","['SA', 'PFV']",['SA']
Atayal,AtaNr-dailylife1_Iwan,"[26, 31]","['m', ""usa'""]","['AF', 'go']",['主焦.去']
Atayal,AtaNr-dailylife1_Iwan,"[51, 53]",['saqaqasan'],"['Ca', 'happy', 'LOC']","['Ca重疊', '開心', '處焦']"
Atayal,AtaNr-dailylife1_Iwan,"[71, 76]","['m', ""usa'""]","['AF', 'go']",['主焦.去']
Atayal,AtaNr-dailylife2_Iwan,"[1, 3]","['m<in>', 'aniq']","['AF<PFV>', 'eat']",['主焦<完成>吃']
Atayal,AtaNr-dailylife3_Tauyu,"[32, 35]","['ka', 'ukas']","['KA', 'NEG']",['否定']
Atayal,AtaNr-dailylife3_Tauyu,"[47, 49]",['an'],"['LF', '1EPL.GEN']","['處焦', '1EPL.屬格']"
Atayal,AtaNr-dailylife3_Tauyu,"[56, 57]",['ku'],['NOM'],"['重複', '婦女=1EPL.屬格']"
Atayal,AtaNr-dailylife3_Tauyu,"[56, 57]",[''],[''],"['婦女', '1EPL.屬格']"
Atayal,AtaNr-dailylife3_Tauyu,"[56, 57]","['ka', 'kanayrin=mian']","['RED', 'woman=1EPL.GEN']",['我們']
Atayal,AtaNr-dailylife3_Tauyu,"[56, 57]","['kanayrin', 'mian']","['woman', '1EPL.GEN']",['']
Atayal,AtaNr-dailylife3_Tauyu,"[88, 89]","['ma', 'tawaw']",['work'],['工作']
Atayal,AtaNr-hunting1_Kainu,"[112, 113]","['ma', 'vaynay']","['AF', 'buy']",['主焦']
Atayal,AtaNr-hunting2_Buyung,[1],"[""ralu'=mu""]",['name=1SG.GEN'],"['名字', '受焦', '1SG.屬格']"
Atayal,AtaNr-hunting2_Buyung,[1],"[""ralu'"", 'mu']","['name', '1SG.GEN']",['名字']
Atayal,AtaNr-hunting2_Buyung,"[20, 21]","[""sipalawa'=niya'""]",['beckon=1SG.GEN'],"['招呼', '1SG.屬格']"
Atayal,AtaNr-hunting2_Buyung,"[20, 21]","[""sipalawa'"", ""niya'""]","['beckon', '1SG.GEN']",['招呼']
Atayal,AtaNr-hunting2_Buyung,"[22, 23]","['r', 'um', 'ag']",['<AF>help'],['<主焦>幫']
Atayal,AtaNr-hunting2_Buyung,"[28, 31]","['s', 'um', 'ayuk']","['burn.fur', 'AF']","['燒毛', '主焦']"
Atayal,AtaNr-hunting2_Buyung,"[54, 57]",['maha'],['say'],"['主焦', '說']"
Atayal,AtaNr-hunting2_Buyung,"[80, 83]","['m', ""usa'=ta'""]","['AF', 'go', '1PL.NOM']","['主焦', '去', '1PL.主格']"
Atayal,AtaNr-hunting2_Buyung,"[80, 83]","[""usa'"", ""ta'""]",['go'],['去']
Atayal,AtaNr-hunting3_Takun,[15],['ku'],"['climb', 'LF=1SG.GEN']","['爬', '處焦=1SG.屬格']"
Atayal,AtaNr-hunting3_Takun,[15],[''],"['LF', '1SG.GEN']","['處焦', '1SG.屬格']"
Atayal,AtaNr-hunting3_Takun,"[16, 20]","['taqa', 'qutit']","['often', 'excrement']",['沒用的人']
Atayal,AtaNr-hunting3_Takun,"[35, 37]","['in', 'aras=naha']","['PF.PFV', 'bring=3PL.GEN']",['受焦.完成.帶=3PL.屬格']
Atayal,AtaNr-hunting3_Takun,"[35, 37]",['in'],['PF.PFV'],"['受焦.完成.帶', '3PL.屬格']"
Atayal,AtaNr-hunting3_Takun,"[35, 37]","['aras', 'naha']","['bring', '3PL.GEN']",['']
Atayal,AtaNr-hunting3_Takun,"[38, 40]","['in', 'aras=naha']","['PF.PFV', 'bring=3PL.GEN']",['受焦.完成.帶=3PL.屬格']
Atayal,AtaNr-hunting3_Takun,"[38, 40]",['in'],['PF.PFV'],"['受焦.完成.帶', '3PL.屬格']"
Atayal,AtaNr-hunting3_Takun,"[38, 40]","['aras', 'naha']","['bring', '3PL.GEN']",['']
Atayal,AtaNr-hunting3_Takun,"[46, 48]",['masay'],"['well', 'done']",['熟']
Atayal,AtaNr-hunting3_Takun,[52],"['m', 'uwah']",['AF.come'],"['主焦', '回來']"
Atayal,AtaNr-hunting3_Takun,"[67, 68]","['ras', 'un']",['3PL.GEN'],['3PL.屬格']
Atayal,AtaNr-hunting3_Takun,"[67, 68]",['qutux'],"['bring', 'PF']","['帶', '受焦']"
Atayal,AtaNr-hunting3_Takun,"[86, 88]","['naniq', ""un=ta'""]",['food=1PL.GEN'],['食物=1PL.屬格']
Atayal,AtaNr-hunting3_Takun,"[86, 88]",['naniq'],"['food', '1PL.GEN']","['食物', '1PL.屬格']"
Atayal,AtaNr-hunting3_Takun,"[86, 88]","['un', ""ta'""]",[''],['']
Atayal,AtaNr-moving_Kainu,"[28, 33]",['an'],"['LF', '1PL.NOM']","['處焦', '1PL.主格']"
Atayal,AtaNr-moving_Kainu,"[45, 47]","['maqiyanux', 'sami']","['AF.live', '1PL.NOM']",['主焦.生活1PL.主格']
Atayal,AtaNr-moving_Kainu,"[49, 50]","['muwah', 'sami']","['AF.come', '1PL.NOM']",['主焦.來']
Atayal,AtaNr-moving_Kainu,"[108, 110]",['san'],"['call', 'LF']","['叫', '處焦']"
Atayal,AtaNr-moving_Kainu,"[111, 116]","['m<in>a', 'ki']","['AF<Prf>', 'stay']",['主焦<完成>住']
Atayal,AtaNr-moving_Kainu,"[139, 146]","['m<in>', 'ukahul=simu']","['AF<Prf>', 'origin=2PL.NOM']",['主焦<完成>發源=2PL.主格']
Atayal,AtaNr-moving_Kainu,"[139, 146]",['m<in>'],['AF<Prf>'],"['主焦<完成>發源', '2PL.主格']"
Atayal,AtaNr-moving_Kainu,"[139, 146]","['ukahul', 'simu']","['origin', '2PL.NOM']",['']
