xml_file,audio_file,words_per_sec,chars_per_sec
Final_XML/Grammar/Seediq/Seediq.xml,Seediq_A4-4-8.mp3,1.88,8.84
Final_XML/Grammar/Seediq/Seediq.xml,Seediq_A4-5-6.mp3,2.27,10.3
Final_XML/Grammar/Seediq/Seediq.xml,Seediq_13-16-1.mp3,1.95,9.47
Final_XML/Grammar/Seediq/Seediq.xml,Seediq_5-10-2.mp3,2.0,9.55
Final_XML/Grammar/Seediq/Seediq.xml,Seediq_14-5-2.mp3,2.33,11.18
Final_XML/Grammar/Seediq/Seediq.xml,Seediq_14-7-3.mp3,1.92,9.14
Final_XML/Grammar/Seediq/Seediq.xml,Seediq_14-11-1.mp3,2.35,10.33
Final_XML/Grammar/Sakizaya/Sakizaya.xml,Sakizaya_A2-8-43.mp3,0.4,2.88
Final_XML/Grammar/Sakizaya/Sakizaya.xml,Sakizaya_A3-8-1.mp3,0.09,0.64
Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,Kanakanavu_11-14-2.wav,2.91,19.22
Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,Kanakanavu_A1-3-1-6.wav,0.28,1.52
Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,Kanakanavu_A3-4-2.wav,0.38,3.24
Final_XML/Stories/Seediq/Seediq_sdqNr-pear-dakis 2020s.xml,sdqNr-pear-dakis 2020s_S8.mp3,2.08,9.79
Final_XML/Stories/Seediq/Seediq_sdqNr-pear-dakis 2020s.xml,sdqNr-pear-dakis 2020s_S10.mp3,2.62,11.69
Final_XML/Stories/Seediq/Seediq_sdqNr-pear-dakis 2020s.xml,sdqNr-pear-dakis 2020s_S14.mp3,2.31,10.69
Final_XML/Stories/Seediq/Seediq_sdqNr-pear-dakis 2020s.xml,sdqNr-pear-dakis 2020s_S18.mp3,3.19,19.78
Final_XML/Stories/Seediq/Seediq_sdqNr-pear-dakis 2020s.xml,sdqNr-pear-dakis 2020s_S19.mp3,2.16,9.82
Final_XML/Stories/Seediq/Seediq_sdqNr-pear-dakis 2020s.xml,sdqNr-pear-dakis 2020s_S21.mp3,3.35,17.23
