file,subcorpus,language,S_id,W_id,W_form_original,M_count,segment_count,empty_form_M_count
Stories/Seediq/Seediq_sdqNr-childhood_micang 2020s.xml,Stories,Seediq,sdqNr-childhood_micang 2020s_S_80,sdqNr-childhood_micang 2020s_S_80_W21,<gonense>=ku,3,3,1
Stories/Seediq/Seediq_sdqNr-pear_lubi 2020s.xml,Stories,Seediq,sdqNr-pear_lubi 2020s_S_2,sdqNr-pear_lubi 2020s_S_2_W1,<BREATH>,2,2,1
Stories/Tsou/Tsou_None-1.xml,Stories,Tsou,None-1_S_75,None-1_S_75_W7,<L3JsiukaiL3J>,2,2,1
Stories/Tsou/Tsou_TsouConv-informants.xml,Stories,Tsou,TsouConv-informants_S_34,TsouConv-informants_S_34_W2,<M2JtokuvecuM2J>,2,2,1
Stories/Tsou/Tsou_TsouConv-informants.xml,Stories,Tsou,TsouConv-informants_S_42,TsouConv-informants_S_42_W11,<JgekiJ>,2,2,1
Stories/Rukai/Rukai_RukaiNr-becenge_tagas.xml,Stories,Rukai,RukaiNr-becenge_tagas_S_11,RukaiNr-becenge_tagas_S_11_W30,maka-<lrua>-lrumale,4,4,1
Stories/Rukai/Rukai_RukaiNr-frog_salrabu.xml,Stories,Rukai,RukaiNr-frog_salrabu_S_30,RukaiNr-frog_salrabu_S_30_W19,sia-<va>-vava,4,4,1
Stories/Rukai/Rukai_RukaiNr-childhood_balenge.xml,Stories,Rukai,RukaiNr-childhood_balenge_S_4,RukaiNr-childhood_balenge_S_4_W11,tu-<pa>-palra,4,4,1
Stories/Saisiyat/Saisiyat_SaiNr-kathethel_parain a _oemaw.xml,Stories,Saisiyat,SaiNr-kathethel_parain a _oemaw_S_66,SaiNr-kathethel_parain a _oemaw_S_66_W4,<日wa日>,2,2,1
Sentences/Rukai/Rukai.xml,Sentences,Rukai,20200528-FW-Yongfu_S_5,20200528-FW-Yongfu_S_5_W0,ki-<a>-<ra>ragay,5,5,1
Sentences/Rukai/Rukai.xml,Sentences,Rukai,20200528-FW-Yongfu_S_6,20200528-FW-Yongfu_S_6_W0,ki-<a>-<ra>ragay,5,5,1
Sentences/Rukai/Rukai.xml,Sentences,Rukai,20200530-FW-Ingrid_S_5,20200530-FW-Ingrid_S_5_W2,ki-<a>-<ra><ra>ragay.,6,6,1
Sentences/Rukai/Rukai.xml,Sentences,Rukai,20200529-FW-Yongfu-1_S_15,20200529-FW-Yongfu-1_S_15_W2,ki-<a>-<ra>ragay,5,5,1
