file,level,id,form_original,eng_gloss,zho_gloss,category
Grammar/Seediq/Seediq.xml,M,ap2_S_21_W0M1,kn,,kn,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,W,ap2_S_22_W4,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,ap2_S_22_W4M1,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,W,ap2_S_25_W1,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,ap2_S_25_W1M1,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,ap2_S_37_W1M1,tn,,tn,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,ap2_S_40_W8M1,kn,,kn,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,ap2_S_41_W0M1,kn,,kn,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,W,ap2_S_47_W9,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,ap2_S_47_W9M1,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,W,10_S_5_W1,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,10_S_5_W1M1,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,10_S_6_W1M1,ps,,ps,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,W,10_S_12_W1,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,10_S_12_W1M1,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,W,10_S_14_W1,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,10_S_14_W1M1,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,W,10_S_16_W8,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,10_S_16_W8M1,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,06_S_16_W1M1,ta,,ta,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,W,04_S_5_W3,Sipo,,Sipo,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,04_S_5_W3M1,Sipo,,Sipo,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,W,13_S_13_W2,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,13_S_13_W2M1,naq,,naq,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,13_S_22_W3M1,tg,,tg,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,W,13_S_23_W2,"Awi,",,Awi,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,M,13_S_23_W2M1,"Awi,",,Awi,echo gloss (source echo row; name/untranslated)
Grammar/Seediq/Seediq.xml,W,13_S_23_W8,"Pawan.""",,Pawan,english-only glossing in source (no zh available)
Grammar/Seediq/Seediq.xml,M,13_S_23_W8M1,"Pawan.""",,Pawan,english-only glossing in source (no zh available)
Grammar/Seediq/Seediq.xml,W,13_S_24_W3,"Paran,""",,Paran,english-only glossing in source (no zh available)
