action,file,parent_id,element_id,translations,start,end
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,ap3_S_4_W8,ap3_S_4_W8M2,zho:使用,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,ap2_S_15_W0,ap2_S_15_W0M2,zho:他.屬格,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,ap2_S_26_W14,ap2_S_26_W14M4,zho:關係詞,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,ap2_S_53_W1,ap2_S_53_W1M2,zho:狀態改變,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,06_S_51_W1,06_S_51_W1M3,zho:日子,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,06_S_51_W1,06_S_51_W1M4,zho:你.主格,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,11_S_1_W2,11_S_1_W2M3,zho:哭,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,11_S_2_W0,11_S_2_W0M2,zho:是非疑問詞,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,11_S_2_W0,11_S_2_W0M3,zho:你.主格,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,11_S_3_W2,11_S_3_W2M3,zho:哭,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,04_S_40_W5,04_S_40_W5M2,zho:教,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,04_S_40_W5,04_S_40_W5M3,zho:A,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,12_S_3_W3,12_S_3_W3M2,zho:關係詞,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,12_S_4_W3,12_S_4_W3M2,zho:關係詞,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,05_S_13_W2,05_S_13_W2M2,zho:田,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,ap1_S_16_W6,ap1_S_16_W6M2,zho:受事焦點,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,ap1_S_16_W9,ap1_S_16_W9M2,zho:使用,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,ap1_S_16_W9,ap1_S_16_W9M3,zho:我.屬格,,
remove_empty_morpheme,XML/Grammar/Kanakanavu/Kanakanavu.xml,ap1_S_78_W0,ap1_S_78_W0M3,zho:已故,,
remove_empty_morpheme,XML/Grammar/Sakizaya/Sakizaya.xml,ap2_S_66_W5,ap2_S_66_W5M2,zho:多少,,
remove_empty_morpheme,XML/Grammar/Sakizaya/Sakizaya.xml,ap2_S_66_W5,ap2_S_66_W5M3,zho:完成貌,,
remove_empty_morpheme,XML/Grammar/Sakizaya/Sakizaya.xml,11_S_57_W0,11_S_57_W0M3,zho:多少,,
remove_empty_morpheme,XML/Grammar/Sakizaya/Sakizaya.xml,11_S_58_W0,11_S_58_W0M3,zho:多少,,
remove_empty_morpheme,XML/Grammar/Sakizaya/Sakizaya.xml,09_S_23_W0,09_S_23_W0M5,zho:受事焦點,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,61_S_1_W13,61_S_1_W13M5,eng:LF; zho:處焦,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,61_S_1_W13,61_S_1_W13M6,eng:PROX.OBL; zho:近距.斜格,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,61_S_2_W0,61_S_2_W0M2,eng:1SG.NOM; zho:1SG.主格,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,16_S_1_W0,16_S_1_W0M2,eng:robust; zho:壯,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,37_S_7_W10,37_S_7_W10M3,eng:<RED>teach; zho:<重疊>教,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,37_S_7_W10,37_S_7_W10M4,eng:DIST.NOM; zho:遠距.主格,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,03-7_S_6_W2,03-7_S_6_W2M2,eng:MED.OBL,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,03-7_S_12_W0,03-7_S_12_W0M3,eng:PROX.OBL; zho:近距.斜格,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,03-7_S_19_W4,03-7_S_19_W4M2,eng:MED.OBL; zho:中距.斜格,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,03-7_S_20_W4,03-7_S_20_W4M2,eng:MED.OBL; zho:中距.斜格,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,03-6_S_4_W2,03-6_S_4_W2M3,zho:<完成貌>使用,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,46_S_4_W6,46_S_4_W6M2,eng:3SG.POSS; zho:3SG.所有格,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,46_S_5_W4,46_S_5_W4M2,eng:3SG.POSS; zho:3SG.所有格,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,49_S_10_W7,49_S_10_W7M4,eng:LF; zho:處焦,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,48_S_4_W1,48_S_4_W1M2,zho:3SG.所有格,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,48_S_23_W1,48_S_23_W1M4,eng:2SG.ACC,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,64_S_8_W3,64_S_8_W3M2,eng:DIST.NOM; zho:出現,,
remove_empty_morpheme,XML/Sentences/Bunun/Bunun.xml,64_S_8_W3,64_S_8_W3M3,zho:遠距.主格,,
