page_number_one_based,record_count
100,4
107,2
108,1
109,2
116,4
117,5
119,7
120,4
124,3
125,3
126,2
127,5
128,3
129,3
130,1
132,2
134,4
135,1
136,4
137,2
138,2
139,1
140,7
144,2
145,2
146,2
147,2
152,4
153,2
26,8
27,4
28,3
29,7
30,7
31,5
32,12
33,2
34,9
35,2
36,3
37,5
38,6
39,3
40,6
41,8
42,5
43,5
44,5
45,2
54,4
55,9
56,4
57,5
58,2
60,2
61,2
62,3
63,2
64,5
65,5
66,4
67,1
68,4
71,2
72,1
73,2
74,4
75,2
76,6
77,3
78,3
79,5
80,4
81,2
82,4
83,4
84,5
85,3
86,2
87,5
88,3
89,3
90,4
91,4
92,3
93,3
94,4
95,3
98,4
