page_number_one_based,artifact_type,selected_extraction_method,char_count_pymupdf,char_count_pdfplumber,notes
1,method_char_count_divergence,pdftotext_layout,418,5311,Recorded during text-layer extraction comparison.
2,missing_selectable_text,pymupdf_text,0,0,Recorded during text-layer extraction comparison.
3,method_char_count_divergence,pdftotext_layout,774,5311,Recorded during text-layer extraction comparison.
4,missing_selectable_text,pymupdf_text,0,0,Recorded during text-layer extraction comparison.
5,method_char_count_divergence,pdftotext_layout,2448,5602,Recorded during text-layer extraction comparison.
6,missing_selectable_text,pymupdf_text,0,0,Recorded during text-layer extraction comparison.
7,method_char_count_divergence,pdftotext_layout,1112,5311,Recorded during text-layer extraction comparison.
8,method_char_count_divergence,pdftotext_layout,181,5311,Recorded during text-layer extraction comparison.
9,method_char_count_divergence,pdftotext_layout,4017,6797,Recorded during text-layer extraction comparison.
10,method_char_count_divergence,pdftotext_layout,4322,6880,Recorded during text-layer extraction comparison.
11,method_char_count_divergence,pdftotext_layout,3824,6640,Recorded during text-layer extraction comparison.
12,method_char_count_divergence,pdftotext_layout,3010,6023,Recorded during text-layer extraction comparison.
13,method_char_count_divergence,pdftotext_layout,3507,6376,Recorded during text-layer extraction comparison.
14,method_char_count_divergence,pdftotext_layout,1018,5634,Recorded during text-layer extraction comparison.
15,method_char_count_divergence,pdftotext_layout,692,5521,Recorded during text-layer extraction comparison.
16,method_char_count_divergence,pdftotext_layout,4,5311,Recorded during text-layer extraction comparison.
17,method_char_count_divergence,pdftotext_layout,1092,5311,Recorded during text-layer extraction comparison.
18,method_char_count_divergence,pdftotext_layout,1207,5311,Recorded during text-layer extraction comparison.
19,method_char_count_divergence,pdftotext_layout,559,5311,Recorded during text-layer extraction comparison.
20,method_char_count_divergence,pdftotext_layout,307,5311,Recorded during text-layer extraction comparison.
21,method_char_count_divergence,pdftotext_layout,634,5311,Recorded during text-layer extraction comparison.
22,method_char_count_divergence,pdftotext_layout,280,5311,Recorded during text-layer extraction comparison.
23,method_char_count_divergence,pdftotext_layout,1846,5311,Recorded during text-layer extraction comparison.
24,method_char_count_divergence,pdftotext_layout,1333,5311,Recorded during text-layer extraction comparison.
25,method_char_count_divergence,pdftotext_layout,1309,5311,Recorded during text-layer extraction comparison.
26,method_char_count_divergence,pdftotext_layout,839,5311,Recorded during text-layer extraction comparison.
27,method_char_count_divergence,pdftotext_layout,1001,5311,Recorded during text-layer extraction comparison.
28,method_char_count_divergence,pdftotext_layout,1352,5311,Recorded during text-layer extraction comparison.
29,method_char_count_divergence,pdftotext_layout,917,5311,Recorded during text-layer extraction comparison.
30,method_char_count_divergence,pdftotext_layout,947,5311,Recorded during text-layer extraction comparison.
31,method_char_count_divergence,pdftotext_layout,1132,5311,Recorded during text-layer extraction comparison.
32,method_char_count_divergence,pdftotext_layout,1278,5311,Recorded during text-layer extraction comparison.
33,method_char_count_divergence,pdftotext_layout,1220,5311,Recorded during text-layer extraction comparison.
34,method_char_count_divergence,pdftotext_layout,984,5311,Recorded during text-layer extraction comparison.
35,method_char_count_divergence,pdftotext_layout,1383,5311,Recorded during text-layer extraction comparison.
36,method_char_count_divergence,pdftotext_layout,1887,5366,Recorded during text-layer extraction comparison.
37,method_char_count_divergence,pdftotext_layout,1000,5311,Recorded during text-layer extraction comparison.
38,method_char_count_divergence,pdftotext_layout,1042,5311,Recorded during text-layer extraction comparison.
39,method_char_count_divergence,pdftotext_layout,1275,5311,Recorded during text-layer extraction comparison.
40,method_char_count_divergence,pdftotext_layout,1144,5311,Recorded during text-layer extraction comparison.
41,method_char_count_divergence,pdftotext_layout,1071,5311,Recorded during text-layer extraction comparison.
42,method_char_count_divergence,pdftotext_layout,1305,5311,Recorded during text-layer extraction comparison.
43,method_char_count_divergence,pdftotext_layout,1306,5311,Recorded during text-layer extraction comparison.
44,method_char_count_divergence,pdftotext_layout,1444,5311,Recorded during text-layer extraction comparison.
45,method_char_count_divergence,pdftotext_layout,937,5311,Recorded during text-layer extraction comparison.
46,method_char_count_divergence,pdftotext_layout,1191,5311,Recorded during text-layer extraction comparison.
47,method_char_count_divergence,pdftotext_layout,1173,5311,Recorded during text-layer extraction comparison.
48,method_char_count_divergence,pdftotext_layout,1169,5311,Recorded during text-layer extraction comparison.
49,method_char_count_divergence,pdftotext_layout,855,5311,Recorded during text-layer extraction comparison.
50,method_char_count_divergence,pdftotext_layout,2,5311,Recorded during text-layer extraction comparison.
51,method_char_count_divergence,pdftotext_layout,1385,5311,Recorded during text-layer extraction comparison.
52,method_char_count_divergence,pdftotext_layout,1275,5311,Recorded during text-layer extraction comparison.
53,method_char_count_divergence,pdftotext_layout,1471,5311,Recorded during text-layer extraction comparison.
54,method_char_count_divergence,pdftotext_layout,1237,5311,Recorded during text-layer extraction comparison.
55,method_char_count_divergence,pdftotext_layout,904,5311,Recorded during text-layer extraction comparison.
