page_index_zero_based,page_number_one_based,printed_page_number,thesis_section,raw_text_path,raw_text_sha256,rendered_image_path,rendered_image_sha256,char_count_pymupdf,char_count_pdfplumber,selected_extraction_method,has_numbered_examples,has_table,has_references,parse_status,parse_warnings
0,1,cover,front_matter,data/raw/page_text/page_0001.txt,cee1a04589922c2afabad160ed6bab956ac9d162a494a55cb13ffa25491ffe8a,data/raw/page_images/page_0001.png,8ad1306a57b33310b39bd9236eced74caa0c7f495453db1255e35180fae2e938,418,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
1,2,,front_matter,data/raw/page_text/page_0002.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/raw/page_images/page_0002.png,1bca0900cf909b0834130e95107784d9a80d351515e0813019cf712f4bf790e1,0,0,pymupdf_text,False,False,False,empty,missing_selectable_text
2,3,,front_matter_abstract,data/raw/page_text/page_0003.txt,d4d179ea3c4f56c389b7d0abb0efe7443b8e8f8b0253f52b6c2cd911e43de951,data/raw/page_images/page_0003.png,df8b8658a79c6580464f7cf4689a6374b1f72f985816ae8c0e4f03423edecf5e,774,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
3,4,,front_matter,data/raw/page_text/page_0004.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/raw/page_images/page_0004.png,1bca0900cf909b0834130e95107784d9a80d351515e0813019cf712f4bf790e1,0,0,pymupdf_text,False,False,False,empty,missing_selectable_text
4,5,,front_matter_abstract_en,data/raw/page_text/page_0005.txt,a84e171b6cab3b446fd1517882d01551f6c45619c2b84125c108ff3bfe42ece3,data/raw/page_images/page_0005.png,a362504d78a538fc4295fb4b68a6d61bfd2166c9a66be769c89ccb64e2208e86,2448,5602,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
5,6,,front_matter,data/raw/page_text/page_0006.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/raw/page_images/page_0006.png,1bca0900cf909b0834130e95107784d9a80d351515e0813019cf712f4bf790e1,0,0,pymupdf_text,False,False,False,empty,missing_selectable_text
6,7,,front_matter,data/raw/page_text/page_0007.txt,a344e48c5df7c40f773ea575ba8510bee4d762be59b1f69e98ea941329e63365,data/raw/page_images/page_0007.png,0fb01ff3e99731ec53bf87ca4acbbaed49cd28b4f3c728d9592a1a4ff1c29ebc,1112,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
7,8,,front_matter,data/raw/page_text/page_0008.txt,f72fed18f9140eb33dcf344bef8e38cf11c6d770318232ddd3fcb17fe479b6e4,data/raw/page_images/page_0008.png,4ca9226a1383e4d08bc9ee4b638e74c5901218dc445cc3af1202b29ca10d7752,181,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
8,9,i,front_matter_toc,data/raw/page_text/page_0009.txt,5b2e1d68c4a46b41e750814db4f18b41ef9585a041ae2918795e63ea9ba475fb,data/raw/page_images/page_0009.png,021b68c5f3e7c8be9478d3060d422fa0e8e58b920809664d20b5205bb56cb024,4017,6797,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
9,10,ii,front_matter,data/raw/page_text/page_0010.txt,1677aa6aaa68f52009268fa5bdad7500f5999685e6bbbd0e0d4cb0f5382ad91b,data/raw/page_images/page_0010.png,41bd48452d68ed68485144694b4814858254c36f85b01cb163db5b964526cd74,4322,6880,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
10,11,iii,front_matter,data/raw/page_text/page_0011.txt,43c63f9a12a6bdc10e05a1fb491299f2f356fd74f674f206b701dda289be466e,data/raw/page_images/page_0011.png,ce57ce11c6040855382823d8b3d31e60792419f6f25282e523fd36eac7c8260e,3824,6640,pdftotext_layout,False,False,True,extracted,method_char_count_divergence
11,12,iv,front_matter_toc,data/raw/page_text/page_0012.txt,d3949f20a01187a1d6a270601d60a91805fd246ae472874f7784f2fc25204fad,data/raw/page_images/page_0012.png,496411f9ab75cb3650c9198dfe823a9f18ac8ceeb986fdd1c825443536f28217,3010,6023,pdftotext_layout,False,True,False,extracted,method_char_count_divergence
12,13,v,front_matter,data/raw/page_text/page_0013.txt,a2e40059acdc71a3751bc5e7504f1b2f3aff90bfb1b4cdbc2b70763a4e3f525d,data/raw/page_images/page_0013.png,ed4685863a9745ccc0d86524b6df583ebc942752d3c050c291cf0313209e7cf9,3507,6376,pdftotext_layout,False,True,False,extracted,method_char_count_divergence
13,14,vi,front_matter,data/raw/page_text/page_0014.txt,fcef448a3abb1959c0d3870afee6a04622d32e33b5173a8708d0becab17ca415,data/raw/page_images/page_0014.png,8446eb404c84bb69f67c5f4c4d7e7e3cb77b5525d2d4c229dd438b90e99af298,1018,5634,pdftotext_layout,False,True,False,extracted,method_char_count_divergence
14,15,vii,front_matter_toc,data/raw/page_text/page_0015.txt,19f8c6d7758f5fd7763829f515eb480e96aebc2ab2ed3c522246887e00b2874a,data/raw/page_images/page_0015.png,48ee120a013e2520a7ca71a7cc3135aacce8a6b539b8964fd4125ee3cc9dc7b5,692,5521,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
15,16,viii,front_matter,data/raw/page_text/page_0016.txt,bd7b07084e1ea06ad500f67774acb842cabb1ddead93cf6ba98825b77785f01d,data/raw/page_images/page_0016.png,621d0941d0b9835b4de3949d312203e2443439606950d2644dea93ca093b103d,4,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
16,17,1,第一章 緒論,data/raw/page_text/page_0017.txt,90b6294844081ba13153c2abcf5f329fd48936da48beb9ae48d6fb2f34ecb2a8,data/raw/page_images/page_0017.png,0fe54e536b7a626f565148d253fe374d5504f6d8055389abb445e6430865f3b5,1092,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
17,18,2,body,data/raw/page_text/page_0018.txt,4d08009add3f8681b84aaa4300ffe13bf5de8124e60845d02cb5e99410742825,data/raw/page_images/page_0018.png,27beb2bf6234e5fe7f040fc9e735676cd80f9f93652c39ba026d9fe3911a25b3,1207,5311,pdftotext_layout,False,True,False,extracted,method_char_count_divergence
18,19,3,body,data/raw/page_text/page_0019.txt,528af9bb84159f863bdd7b5ea954a1cc3c1d6c4f9323a92fdfe43bdc50dd1a44,data/raw/page_images/page_0019.png,e87329a4f4b9d56702f8d9822a33b291d82d3b7bbc3b63a8b4fee1f9d9130684,559,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
19,20,4,body,data/raw/page_text/page_0020.txt,32749aaa3017e94819633ecce40a1954ec11615b673ddda4953d3fe80ae3dd1c,data/raw/page_images/page_0020.png,6175ff9bb44c8c98747525824378c5cde7d0cb9a9fb80f0a934dad2c58db3067,307,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
20,21,5,body,data/raw/page_text/page_0021.txt,e583b8cf9f9b0cb4889867238bfad03c824fc52485916e04a6bd53b494502738,data/raw/page_images/page_0021.png,128044cd61bcd7c80a9df52e7580c7e96389c96a43e2e02839948f516259576b,634,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
21,22,6,body,data/raw/page_text/page_0022.txt,edcadff2ea8428d43dac12b81c51b4f7482df0be2bc38a31e3299fc9cb2ff56a,data/raw/page_images/page_0022.png,5a14bb2115cdfb271c9d6352c759818d99e7ca05d31504a7f877e3ee8c7624ce,280,5311,pdftotext_layout,False,True,False,extracted,method_char_count_divergence
22,23,7,body,data/raw/page_text/page_0023.txt,7acfd7f5040e5d001870f237077dc6ed3399cf2105ba1705c1ff42b2790027fc,data/raw/page_images/page_0023.png,a996d63eaac53ea776742e3d7b82c12b21cc983c97f452646b8bce3cdf3943ef,1846,5311,pdftotext_layout,False,True,False,extracted,method_char_count_divergence
23,24,8,body,data/raw/page_text/page_0024.txt,1c805bfb26408cac878c8f94929f1dc28d8b0ea4eb3f8211a87cb2c023f645f5,data/raw/page_images/page_0024.png,e07a1a32d88b58c3b1736110fa3384ae85f6edeb2bd3e73f05e61e42d0e9621c,1333,5311,pdftotext_layout,False,True,False,extracted,method_char_count_divergence
24,25,9,body,data/raw/page_text/page_0025.txt,cfd9e31ac7571e04e6c460f6f3d968815a1bd24df73755953fa0ab41717db7f5,data/raw/page_images/page_0025.png,76d26ae0fc071d9b841019f23d5f01dd1a7a9cd7443cba5788382e739b0af1a8,1309,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
25,26,10,body,data/raw/page_text/page_0026.txt,4d40768d4b3b86bde43f00606065509a32290437c52213678b874315ab5045da,data/raw/page_images/page_0026.png,b02dc39e7c56c2eea42b745615438d0ca81656cf892205c83f9fb2c2db04ea28,839,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
26,27,11,body,data/raw/page_text/page_0027.txt,8c0b67c81d5bd644a3f9dd9a38237ca8a9daa2a07fdc69dd328a75d3d077b05c,data/raw/page_images/page_0027.png,73aa2575134448d45a264ec33c3e038617fbd4401a2477f2d214fd291e04a4fb,1001,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
27,28,12,body,data/raw/page_text/page_0028.txt,d6bd1449e701d7d8c238a1357d9187a007fa7d25f41f0bd330c698708558f78f,data/raw/page_images/page_0028.png,e4240c39e082cbcaae3365bb14664fb4ed78f5c0426b61d28c64f2214b169516,1352,5311,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
28,29,13,body,data/raw/page_text/page_0029.txt,6cc4f35e3c3e5b0a791735274cd4daaf20591225b20c4a0b2e08ab9b0b7ab864,data/raw/page_images/page_0029.png,703b44c54fce9f5cdd07a49b328aca883e4023c9a7cad8505939d3dda5d0ebfb,917,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
29,30,14,body,data/raw/page_text/page_0030.txt,dac19703737c14f6976af5f16a37baf430415bd74933e493639189a78bc48b26,data/raw/page_images/page_0030.png,86097f062de4cc71519226abf5910f9d1b0143570d70281b96e49940396dff5c,947,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
30,31,15,body,data/raw/page_text/page_0031.txt,332a8865c3ccbf8bea3df9d5d72d36bcf7032d6d5cdd9bd80d3aebd7a744e85d,data/raw/page_images/page_0031.png,2ba3366b6301f88c55bcc1f649df4f7f2ec9cf921964284fc8b25c0f7a804125,1132,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
