tag,expanded_meaning_if_known,source_page,source_section,notes
AF,actor focus,,,Observed 92 time(s) in parsed gloss sidecars.
Caus,causative,,,Observed 1 time(s) in parsed gloss sidecars.
IF,instrument/benefactive focus,,,Observed 14 time(s) in parsed gloss sidecars.
LF,locative focus,,,Observed 35 time(s) in parsed gloss sidecars.
PF,patient focus,,,Observed 16 time(s) in parsed gloss sidecars.
主格,nominative,,,Observed 176 time(s) in parsed gloss sidecars.
主題,topic,,,Observed 6 time(s) in parsed gloss sidecars.
受格,object/oblique,,,Observed 2 time(s) in parsed gloss sidecars.
完成,,,,Observed 2 time(s) in parsed gloss sidecars.
未來,,,,Observed 1 time(s) in parsed gloss sidecars.
焦點,,,,Observed 3 time(s) in parsed gloss sidecars.
重疊,,,,Observed 2 time(s) in parsed gloss sidecars.
