language,channel,section_id,pdf_page_start,pdf_page_end,score,source_path,pdf_path
Amis,native,0,5,5,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,0,2,2,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,native,1,6,6,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,1,6,6,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,native,2,7,7,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,2,7,7,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,native,3,7,7,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,3,7,7,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,native,4,8,8,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,4,8,8,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,native,5,9,9,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,5,9,9,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,native,6,10,10,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,6,10,10,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,native,7,10,10,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,7,10,10,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,native,8,11,11,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,8,11,11,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,native,9,12,12,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,9,12,12,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,native,10,12,12,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,10,12,12,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,native,11,14,14,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,11,14,14,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,native,12,14,14,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,12,14,14,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,native,13,15,15,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,13,15,15,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,native,14,16,16,100.000,Apologies/Amis/Amis.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
Amis,chinese,14,16,16,100.000,Apologies/Chinese.txt,Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf
