path,sha256,size_bytes,kind,language,sections,pdf_pages
Apologies/Amis/Amis 阿美 (ami) Presidential Apology.pdf,d791e24db2f17a6cf96d69362d50521616d5c5d9d9b8faa46ff49827e57890f8,11271887,official_bilingual_pdf,Amis,,28
Apologies/Amis/Amis.txt,44272fc4aa904d4a57cb89df117c019eaf78349ffd3837db910f080711a49fe1,11838,native_transcript,Amis,33,
Apologies/Atayal/Atayal (Tayal on Chinese Wiki) 泰雅 (tay) Presidential Apology.pdf,e243e883a953bb195102b18a46c2d1254b30514398eeac1ba3ae00c3001d914e,11099619,official_bilingual_pdf,Atayal,,28
Apologies/Atayal/Atayal.txt,b5edd9cc321163787679208b1c3ff71a60b6e547db4ea6f478d263568a45ffc7,15663,native_transcript,Atayal,33,
Apologies/Bunun/Bunun 布农 (bnn) Presidential Apology .pdf,4e292a78e8c3200d0b587ff3536a29abd67b4adc819f94b989fb36ef286f132e,11269129,official_bilingual_pdf,Bunun,,28
Apologies/Bunun/Bunun.txt,bad6caac32aeb69bcce8fe1877e2551f883eb59f958248c8d7130ae8aba94e57,10802,native_transcript,Bunun,33,
Apologies/Chinese.txt,38e73f27db2bff9b8947bbf2557112de0ec91a6a8243efe4683aa610d01b2f8a,10084,shared_chinese_transcript,shared,33,
Apologies/English.txt,7845935e83b8e8d7a3a267974d2ed131d1d8986f11e27d48ed14c1558f05e53d,12170,shared_english_transcript,shared,33,
Apologies/Kanakanavu/Kanakanavu 卡那卡那富 (xnb) Presidential Apology.pdf,e1dc0f635c6b5f67a2416fa8f8ad7704d7bcd4b2146aa5e47abdbec6bf7f5c2f,11229989,official_bilingual_pdf,Kanakanavu,,28
Apologies/Kanakanavu/Kanakanavu.txt,35e3e8b2279f60e1621985add086ad7e60751f50aafd19e7651f41083d4bc6f4,11766,native_transcript,Kanakanavu,29,
Apologies/Kanakanavu/Kanakanavu_en.txt,6aeff25c131da50f9e6a92ee21fdff239eaec2faad8af5c215eb328b6b2f0e01,12170,language_english_transcript,Kanakanavu,29,
Apologies/Kanakanavu/Kanakanavu_zh.txt,85858ed9ecdb2b85854981b9751d524d74b92820a1f25af62ae051c2caecaaae,10080,language_chinese_transcript,Kanakanavu,29,
Apologies/Kavalan/Kavalan (Kbalan on Chinese Wiki) 噶玛兰 (ckv) .pdf,d2f78c2b96ac5d2053410e46ebf0c8e07138b217f9a3b7497c158e0e0c71db53,11006822,official_bilingual_pdf,Kavalan,,28
Apologies/Kavalan/Kavalan.txt,fa4a34bcd2f81a3de4cf211e9d5e0bc19183c7185f11964549c903ed847a8029,13532,native_transcript,Kavalan,33,
