language,dialect,segmented_sentences,glossed_proportion,audio_count,audio_time,eng_transl_count,zho_transl_count,word_count,file_count
ami,,0,0.0,0,0.0,33,33,1921,1
bnn,,0,0.0,0,0.0,33,33,1551,1
ckv,,0,0.0,0,0.0,33,33,2328,1
dru,,0,0.0,0,0.0,33,33,1949,1
pwn,,0,0.0,0,0.0,33,33,2372,1
pyu,,0,0.0,0,0.0,33,33,2090,1
ssf,,0,0.0,0,0.0,33,33,1856,1
sxr,,0,0.0,0,0.0,33,33,1117,1
szy,,0,0.0,0,0.0,33,33,1749,1
tao,,0,0.0,0,0.0,33,33,1693,1
tay,,0,0.0,0,0.0,33,33,2456,1
trv,Tegudaya,0,0.0,0,0.0,33,33,1501,1
trv,Truku,0,0.0,0,0.0,33,33,1874,1
tsu,,0,0.0,0,0.0,33,33,2157,1
xnb,,0,0.0,0,0.0,29,29,1552,1
xsy,,0,0.0,0,0.0,33,33,1655,1
