start_seq,end_seq,affix_form,affix_function_zho,source_table
1,7,a-,即將進行,table 13
8,9,ha-,動詞化,table 15
10,19,ka-,輕微命令,table 17
20,24,ka-,突顯、強調，有「很」、「大」之意,table 18
25,26,ka-,方位,table 19
27,28,la-,變成,table 21
29,34,ma-,主事者焦點,table 23
35,42,ma-,受事者焦點,table 24
43,48,ma-,動詞化,table 25
49,56,ma-,長、產生,table 26
57,61,ma-,感覺、覺得,table 27
62,71,mi-,主事者焦點，表示（正）在進行動作,table 29
72,86,mi-,（正在）進行與名詞相關之動作,table 30
87,94,mi-,採、收、摘、拔等動作,table 31
95,105,mi-,抓、捕、撿等動作,table 32
106,108,mi-,建造的動作,table 33
109,111,mi-,吸、喝的動作,table 34
112,115,mu-,動詞化,table 36
116,123,mu-,主事者焦點,table 37
124,128,na-,時間已過去或指定過去的某一個時段,table 39
129,134,na-,動作或事件已完成,table 40
135,140,ni-,名物化,table 42
141,150,pa-,動詞化,table 44
151,161,pa-,使役動詞,table 45
162,170,pi-,動詞化，表祈使,table 47
171,178,sa-,工具,table 49
179,181,sa-,名物化,table 50
182,187,sa-,強調、加強，有「很」之意,table 51
188,197,si-,有（擁有、存在有）,table 53
198,202,si-,攜帶,table 54
203,207,si-,穿戴,table 55
208,221,si-,產生、長,table 56
222,234,ta-,方向性,table 58
235,238,anu-,下一個（表未來）,table 60
239,250,hali-,很喜歡、很愛、擅於,table 62
251,256,hina-,時常、常常,table 64
257,262,kala-,常常（跟狀態、個性相關）,table 66
263,266,tada-,真的、非常的,table 68
267,277,tanu-,很多、加強，有「很」、「大」之意,table 70
278,279,tunu-,很多、加強，有「很」、「大」之意,table 70
280,283,-a,勸使,table 72
284,287,-an,處所或地方,table 74
288,295,-an,被動,table 75
296,297,-an,斜格,table 76
298,301,-an,特定的時間,table 77
302,303,-aw,勸使,table 79
304,304,-aw,表示親暱,table 80
305,310,-ay,動作行為的施事者,table 82
311,313,-ay,數詞名物化,table 83
314,328,-ay,狀態或性質,table 84
329,342,-en,命令行為,table 86
343,347,-i,加強語氣、使役,table 88
348,352,ka-...-an,處所或地方,table 89
353,357,ka-...-an,特定的時間,table 90
358,361,ka-si-...-an,特定的時間,table 91
362,371,ma-...-ay,動作行為的施事者或狀態或性質,table 92
372,375,mi-...-an,動作發生後產生的物體或對象,table 93
376,381,mu-...-ay,動作行為的施事者或狀態或性質,table 94
382,389,na-...-an,動作所遺留的痕跡或遺物,table 95
390,393,nu-...-an,該方位的處所,table 96
394,405,pa-...-an,動作或物體產生相關的行為或處所或時間,table 97
406,417,pa-...-en,要促使與詞根相關之動作,table 98
418,425,pi-...-i,加強使役,table 99
426,429,ta-...-an,與詞根相關的特定工具或對象,table 100
430,434,ta-...-en,命令某人前往某處,table 101
