word_id,source,form,gloss,convention
AKIW_SZY_2012_EX_003W5,PDF page 33; example 3,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_015W5,PDF page 37; example 15,maku,M-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_016W7,PDF page 37; example 16,takuwanan,我.斜格-AN,source case analysis without surface segmentation
AKIW_SZY_2012_EX_017DW1,PDF page 38; example 17d,∅-imelang,生病,source null prefix without a separate gloss
AKIW_SZY_2012_EX_019AW1,PDF page 39; example 19a,sa-pi-sulac,工焦-刷,source combines instrument-focus affixes in one gloss
AKIW_SZY_2012_EX_019BW4,PDF page 39; example 19b,sa-ka-tayza,工焦-去哪裡,source combines instrument-focus affixes in one gloss
AKIW_SZY_2012_EX_019BW6,PDF page 39; example 19b,mita,m-我們.包含式,source portmanteau pronoun
AKIW_SZY_2012_EX_026AW6,PDF page 59; example 26a,adadaay,痛-AY,source derived form without surface segmentation
AKIW_SZY_2012_EX_026BW6,PDF page 59; example 26b,misu,m-你.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_027BW5,PDF page 61; example 27b,mita,m-我們.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_028BW6,PDF page 61; example 28b,mita,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_030BW8,PDF page 63; example 30b,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_031BW6,PDF page 64; example 31b,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_034BW5,PDF page 67; example 34b,misu,m-你.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_039AW4,PDF page 71; example 39a,sa-pi-buting,工焦-魚,source combines instrument-focus affixes in one gloss
AKIW_SZY_2012_EX_039AW6,PDF page 71; example 39a,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_040BW2,PDF page 73; example 40b,kita,我們-主格,source case analysis without surface segmentation
AKIW_SZY_2012_EX_041BW2,PDF page 74; example 41b,kita,我們-主格,source case analysis without surface segmentation
AKIW_SZY_2012_EX_042BW2,PDF page 74; example 42b,kami,我們-主格,source case analysis without surface segmentation
AKIW_SZY_2012_EX_049AW5,PDF page 80; example 49a,mita,m-我們.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_051CW5,PDF page 83; example 51c,misu,m-你.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_058BW7,PDF page 90; example 58b,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_072AW6,PDF page 101; example 72a,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_076BW5,PDF page 105; example 76b,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_083AW4,PDF page 115; example 83a,sa-pi-liluc,工焦-洗澡,source combines instrument-focus affixes in one gloss
AKIW_SZY_2012_EX_084CW5,PDF page 115; example 84c,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_086BW7,PDF page 117; example 86b,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_090BW4,PDF page 120; example 90b,inaan,媽媽-斜格,source case analysis without surface segmentation
AKIW_SZY_2012_EX_091AW3,PDF page 121; example 91a,sa-pi-sulit,工焦-寫,source combines instrument-focus affixes in one gloss
AKIW_SZY_2012_EX_091AW5,PDF page 121; example 91a,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_091BW3,PDF page 121; example 91b,sa-pi-ketun,工焦-剪,source combines instrument-focus affixes in one gloss
AKIW_SZY_2012_EX_095BW4,PDF page 128; example 95b,maku,m-我.主格,source portmanteau pronoun
AKIW_SZY_2012_EX_097AW7,PDF page 129; example 97a,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_101BW3,PDF page 132; example 101b,mita,m-我們.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_102BW3,PDF page 132; example 102b,mita,m-我們.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_103BW6,PDF page 133; example 103b,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_105AW2,PDF page 135; example 105a,kaku,我-主格,source case analysis without surface segmentation
AKIW_SZY_2012_EX_107AW5,PDF page 137; example 107a,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_107AW9,PDF page 137; example 107a,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_109AW2,PDF page 138; example 109a,kaku,我-主格,source case analysis without surface segmentation
AKIW_SZY_2012_EX_111BW6,PDF page 139; example 111b,misu,m-你.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_112BW8,PDF page 140; example 112b,azihen,看-EN,source derived form without surface segmentation
AKIW_SZY_2012_EX_113AW2,PDF page 141; example 113a,ciniza,他-主格,source case analysis without surface segmentation
AKIW_SZY_2012_EX_117BW8,PDF page 145; example 117b,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_118BW3,PDF page 146; example 118b,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_122BW6,PDF page 150; example 122b,misu,m-你.屬格,source portmanteau pronoun
AKIW_SZY_2012_EX_123AW6,PDF page 151; example 123a,maku,m-我.屬格,source portmanteau pronoun
AKIW_SZY_2012_TABLE_ROW_001W1,PDF page 53; affix inventory row 1,a-mumul,即將出發,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_002W1,PDF page 53; affix inventory row 2,a-muta',噁心想吐,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_003W1,PDF page 53; affix inventory row 3,a-paluma,將要種,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_004W1,PDF page 53; affix inventory row 4,a-tayza,將要去,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_005W1,PDF page 53; affix inventory row 5,a-mayiza,要往某處,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_006W1,PDF page 53; affix inventory row 6,a-mica,要作什麼,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_007W1,PDF page 53; affix inventory row 7,a-sawni,等一下,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_008W1,PDF page 55; affix inventory row 8,ha-min,全部,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_009W1,PDF page 55; affix inventory row 9,ha-medac,貪吃,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_010W1,PDF page 56; affix inventory row 10,ka-bilil,要勤快一點！,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_011W1,PDF page 56; affix inventory row 11,ka-dimel,注重衛生！,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_012W1,PDF page 56; affix inventory row 12,ka-kalamkam,快點！,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_013W1,PDF page 56; affix inventory row 13,ka-luyaluy,一起！,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_014W1,PDF page 56; affix inventory row 14,ka-nuneng,要溫柔體貼些！,whole-word meaning with separate affix/root columns
