seq,page,form,meaning_zho,source_table,affix_form,affix_function_zho,base_form,base_meaning_zho
435,157,hali-emu,愛吃年糕,table 102,,,,
436,157,la-cacay,團結、一致,table 102,,,,
437,157,la-heci,完成,table 102,,,,
438,157,ma-lutuk,雜草叢生,table 102,,,,
439,157,ma-menah,長痔瘡,table 102,,,,
440,157,mi-cudad,讀書,table 102,,,,
441,158,mi-habay,收小米,table 102,,,,
442,158,mi-balaut,抓青蛙,table 102,,,,
443,158,mi-badahung,蓋屋頂,table 102,,,,
444,158,mi-kabi,喝湯,table 102,,,,
445,158,mu-cebu,尿床、尿褲子,table 102,,,,
446,158,pa-baybay,掛蚊帳,table 102,,,,
447,158,pi-nanum,要喝水！,table 102,,,,
448,158,si-apuk,有石灰,table 102,,,,
449,158,si-bakan,帶刀,table 102,,,,
450,158,si-buut,戴頭飾,table 102,,,,
451,158,si-balu,開花,table 102,,,,
452,158,ta-amis,往北,table 102,,,,
453,158,ta-luma',回家,table 102,,,,
454,158,ta-cuwa,去哪裡？,table 102,,,,
455,158,atip-en,去夾！,table 102,,,,
456,159,ni-'neng,坐姿,table 103,,,,
457,159,sa-asik,掃把,table 103,,,,
458,159,sa-ading,後盾,table 103,,,,
459,159,enep-an,淹沒處,table 103,,,,
460,159,imelang-ay,病人,table 103,,,,
461,159,lima-ay,五的,table 103,,,,
462,160,ka-bilil,要勤快一點！,table 104,,,,
463,160,pa-cepcep,使之吸！,table 104,,,,
464,160,pa-tizeng,使之站立！,table 104,,,,
465,160,pa-bangsis,使之散發香味！,table 104,,,,
466,160,pi-nanum,要喝水！,table 104,,,,
467,160,pi-tais,去縫製！,table 104,,,,
468,160,tizeng-a,請站立,table 104,,,,
469,160,namuh-aw,要敬愛！,table 104,,,,
470,160,angic-en,哭出來！,table 104,,,,
471,160,atip-en,去夾！,table 104,,,,
472,160,apuyu'-en,縮短！,table 104,,,,
473,160,nanam-i,要學習！,table 104,,,,
474,160,ka-wili,左邊,table 105,,,,
475,160,adidem-an,桑樹園,table 105,,,,
476,160,paluma-an,種的地方,table 105,,,,
477,161,a-mumul,即將出發,table 106,,,,
478,161,a-sawni,等一下,table 106,,,,
479,161,anu-sandeb,今晚,table 106,,,,
480,161,na-cila,昨天,table 106,,,,
481,161,na-paluma,種過了,table 106,,,,
482,162,ka-laway,大嘴巴,table 107,,,,
483,162,ka-tenes,要很久,table 107,,,,
484,162,sa-aledah,很辣,table 107,,,,
485,162,tada-limulak,非常高興,table 107,,,,
486,162,tada-mabatad,有夠遠,table 107,,,,
487,162,tanu-atimela,很多跳蚤,table 107,,,,
488,162,tanu-tuwa',大聲吼,table 107,,,,
489,162,tanu-uning,很髒,table 107,,,,
490,163,ma-palaw-ay,祭司,table 108,,,,
491,163,ma-la-wacu,虛弱,table 108,ma-la-,文化相關詞彙,wacu,狗
492,163,ma-lalikid,豐年祭,table 108,ma-,文化相關詞彙,lalikid,被流走
493,163,pa-habay,養育、餵養,table 108,pa-,文化相關詞彙,habay,小米
494,163,pa-sepi,給予祝福,table 108,,,,
495,163,si-sepi,有福氣的,table 108,si-,文化相關詞彙,sepi,夢
496,163,mu-sepi-ay,幸運的,table 108,mu-...-ay,文化相關詞彙,sepi,夢
497,166,ha-min,全部,table 109,,,,
498,166,hali-kan,愛吃,table 109,,,,
499,166,hina-puling,常跌倒,table 109,,,,
500,166,ka-zahkez,放心吧！,table 109,,,,
501,166,ka-laway,大嘴巴,table 109,,,,
502,166,ka-wanan,右邊,table 109,,,,
503,166,kala-angic,愛哭,table 109,,,,
504,166,ma-lihanaw,擔心,table 109,,,,
505,166,ma-ala,被拿走,table 109,,,,
506,166,ma-ngawa',缺齒,table 109,ma-,動詞化詞綴,ngawa',角
507,166,ma-ubad,長白髮,table 109,,,,
508,166,ma-becul,吃飽,table 109,,,,
509,166,mi-akik,在烤,table 109,,,,
510,166,mi-pana',用箭射擊,table 109,,,,
511,167,mi-lami',摘菜,table 109,,,,
512,167,mi-kalang,抓螃蟹,table 109,,,,
513,167,mi-badahung,蓋屋頂,table 109,,,,
514,167,mi-nanum,喝水,table 109,,,,
515,167,na-yaan,什麼時候,table 109,,,,
516,167,na-paluma,種過了,table 109,,,,
517,167,pa-talaw,使之驚嚇,table 109,pa-,使役動詞,talaw,受驚
518,167,pi-id'id,去烤,table 109,,,,
519,167,sa-asik,掃把,table 109,,,,
520,167,sa-bulibul,流氓,table 109,,,,
521,167,ina-an,媽媽那裡,table 109,,,,
522,167,balangbang-an,秋季,table 109,,,,
523,167,ama-aw,親暱稱爸爸,table 109,-aw,表示親暱,ama,爸爸
524,167,maluk-ay,務農的人,table 109,,,,
525,167,sept-ay,四的,table 109,-ay,名物化,sept,四
526,167,bayu-ay,鹹水,table 109,,,,
527,167,sipu-en,去擦,table 109,,,,
528,167,anu-sandeb,今晚,table 109,,,,
529,168,la-heci,完成,table 109,,,,
530,168,pa-ciid,長枝,table 109,,,,
531,168,tada-limulak,非常高興,table 109,,,,
532,168,tanu-uning,很髒,table 109,,,,
533,168,paluma-an,種的地方,table 109,,,,
534,168,mu-cebu,尿床,table 109,,,,
535,168,mu-dadiw,唱歌,table 109,,,,
536,168,ni-'neng,坐姿,table 109,,,,
537,168,si-cucu,有奶水,table 109,,,,
538,168,si-bakan,帶刀,table 109,,,,
539,168,si-zikuc,穿衣服,table 109,,,,
540,168,si-balu,開花,table 109,,,,
541,168,ta-luma',回家,table 109,,,,
542,168,namuh-aw,要敬愛！,table 109,,,,
543,169,a-mumul,即將出發,table 109,,,,
544,169,sa-likecu,很緊,table 109,,,,
545,169,tizeng-a,請站立,table 109,,,,
546,169,kan-an,被吃,table 109,,,,
547,169,nanam-i,要學習！,table 109,,,,
