"text_key","sequence","page","source_line","form_original","translation_jpn","review_status","review_note"
"kaiki","1","116","row 1","Aiyan nu aiyan, dauduwai laitah","要論古代","reviewed","Direct comparison with scan"
"kaiki","2","116","row 2","Apu Tia mahatadupurai,","祖知仔是視察","reviewed","Source-final comma preserved"
"kaiki","3","116","row 3","rubuh rubh a kauwas.","地下","reviewed","Second rubh is intentionally shorter than first"
"kaiki","4","116","row 4","kitah kitah siaun, durrusippi lapilach","看々的是空虛","reviewed","Iteration mark preserved"
"kaiki","5","116","row 5","mahah dudul luwai, Apu magiauwas","則差遣祖馬堯日","reviewed","Direct comparison with scan"
"kaiki","6","116","row 6","matah lak-kang kauwas, papai rul-lung","由天隙坐雲降下","reviewed","Direct comparison with scan"
"kaiki","7","116","row 7","mahah kikiddehhai, rubbu rubbuh a kauwas","故隨降下地面","reviewed","Typographic line-wrap in kauwas rejoined"
"kaiki","8","116","row 8","kaduhu hauliak, ni apu Tiya","好法術祖知仔所賜的","reviewed","Source capitalization preserved"
"kaiki","9","116","row 9","maudadang daiya, mahah kaulah ngat-dai","黎明在東、故要號名","reviewed","Direct comparison with scan"
"kaiki","10","116","row 10","adamadang yi daiya, mahah kaulang ngat-dai","（人名）在東、故要號名","reviewed","Typographic line-wrap rejoined"
"kaiki","11","116","row 11","dahah-mat-dang yi daiya, mahakaulang-atdai","（人名）在東、故要號名","reviewed","Typographic line-wrap rejoined"
"kaiki","12","116","row 12","Silapbang yi daiya, mahakau lang ngat dai","是蚋望在東、故號名","reviewed","Corrected second character after enlarged scan review"
"kaiki","13","116","row 13","Silapbang yi rahot, mahakaulangngat dai","（別人也）在西、故要號名","reviewed","Direct comparison with scan"
"kaiki","14","116","row 14","papakhah raruma-aih, mahah kaulang ngatdai","使彼做桂竹故要號名","reviewed","Corrects inherited aib misreading"
"kaiki","15","116","row 15","burruh mat-dang yi daiya","軟竹黎明在東","reviewed","Direct comparison with scan"
"kaiki","16","116","row 16","burruh mat-dang yi daiya, au nu sasipudah","軟竹黎明在東可以割臍帶","reviewed","Typographic line-wrap in sasipudah rejoined"
"kaiki","17","116","row 17","rakihan tinnating","小孩赤子","reviewed","Direct comparison with scan"
"kaiki","18","116","row 18","hauliak kakatduhu ni Apu-Tia","好哉法術、祖知仔之賜","reviewed","Direct comparison with scan"
"kaiki","19","117","row 19","nahhah-dah datduwa, di rubbuh rubbuh rubbuh a kauwas","俱各有哉在地下","reviewed","Typographic line-wrap rejoined"
"kaiki","20","117","row 20","uka kakkahukahui, uka sasumusumul","衆樹木類及衆草類","reviewed","Both instances of 衆 checked against scan"
"kaiki","21","117","row 21","aiyan nu aiyan, saisaih ya wilan.","論至此可以也","reviewed","Direct comparison with scan"
"flood","1","119","row 1","Ai-yan nu ai-yan","韻母也","reviewed","Direct comparison with scan"
"flood","2","119","row 2","dau-doai lai-tah","吾要論","reviewed","Direct comparison with scan"
"flood","3","119","row 3","Tap-ba-nan nu mat-taro","タバナン長者","reviewed","Corrected Tap-ta to printed Tap-ba after enlarged scan review"
"flood","4","119","row 4","Sap-bung-nga-kai-sih","サボンカイシ（人名、長者ノ妹）","reviewed","Katakana and ノ preserved"
"flood","5","119","row 5","ma-hah ki-kid-deh-haih","則要落來","reviewed","Direct comparison with scan"
"flood","6","119","row 6","Tup-pu du a lal-liuh","高峯のアラウリウ（山名）","reviewed","Name checked against scan and note"
"flood","7","119","row 7","mahah ma-sak-ku-laih","是以要到","reviewed","Source hyphenation preserved"
"flood","8","119","row 8","di ngu-ji-ngut da Bok-gi-jih","在山尾ボギジ（地名）","reviewed","Direct comparison with scan"
"flood","9","119","row 9","ma-hah pau-su-ngut daih","則將造橋","reviewed","Direct comparison with scan"
"flood","10","119","row 10","su-ngut du ma-bida-bit","橋曰美好","reviewed","Corrects inherited semantic-character error"
"flood","11","119","row 11","di ma-rabahan rabong","在溪南","reviewed","Direct comparison with scan"
"flood","12","119","row 12","ini lau isiah, Tabanan mataro","敢是伊タバナン長者","reviewed","Direct comparison with scan"
"flood","13","119","row 13","Sabong-nga-kaisih","サボンカイシ（人名、沙望皆是）","reviewed","Direct comparison with scan"
"flood","14","119","row 14","mahah tau-malaai hommau a tutut","則聽得鳥之聲","reviewed","Direct comparison with scan"
"flood","15","119","row 15","at-da maha-roaro, Tabanan mataro","又有悶心タバナン長者","reviewed","Direct comparison with scan"
"flood","16","119","row 16","kah manah ma-sakkul-lai","則要到","reviewed","Direct comparison with scan"
"flood","17","119","rows 17-18","mau-jut-a Kat-jau-wan mahah masakul-lai","山腰なるカザワンといふ地に","reviewed","Two printed Formosan lines share one translation and remain one S"
"flood","18","119","row 19","di bun-nu-bun-na tau-man","則能到山股タウマン","reviewed","Direct comparison with scan"
"flood","19","119","row 20","mit-da-lun di ribunan","擔水在リブナン","reviewed","Direct comparison with scan"
"flood","20","120","row 21","mahah Kikitta-ai Ap-boah likkah","所以見得、阿抹利甲（アポアリカー）","reviewed","Chinese transliteration checked at enlarged scale"
"flood","21","120","row 22","yu-i ub-bach a lik-kah","與鳥肉利甲（ウバアリカー）","reviewed","Corrects inherited duplicated ub"
"flood","22","120","row 23","ya sia Kau-sah a-ba-san-na Soa-jih","彼二人姉妹","reviewed","Direct comparison with scan"
"flood","23","120","row 24","ma-hah ma-kakau-wa-sai, rahal-lu hauliah","則說出好言語","reviewed","Direct comparison with scan"
"flood","24","120","row 25","at-da ma-hah roa-ro Ta-banna mata-ro","又有悶心タバナン長者","reviewed","Direct comparison with scan"
"flood","25","120","row 26","i-ni lau is siya, Ta-ban-na ma-ta-ro","敢是此人乃是長者","reviewed","Direct comparison with scan"
"flood","26","120","row 27","kah mahah pau sung-ngut-dai, di mia-mi-san nu ra-hong","則由此要造橋在溪北勢","reviewed","Typographic line-wrap rejoined"
"flood","27","120","row 28","Sung-ngut du mabit-da-bit","橋曰美草","reviewed","Final character checked at enlarged scale"
"flood","28","120","row 29","ma-hah ma-sa-kul-lai di bai-yu au-was","則能到于海邊","reviewed","Direct comparison with scan"
"flood","29","120","row 30","kah mahah ki-kit-ta-ai, ai-yam-mu pa-su-kku-wan","所以見得鳥的古事","reviewed","Typographic line-wrap rejoined"
"flood","30","120","row 31","lak-gu lak-gu dar-ru-pit","細々隻鳥（雀よりも小なる鳥也）","reviewed","Iteration mark preserved"
"flood","31","120","row 32","dar-ri bap-bu bap-bu-kah, bu-bun-nat au-was","鳥以足爪爬沙乃是海沙","reviewed","Typographic line-wrap rejoined"
"flood","32","120","row 33","ma-hah u ki-kit-ta-ai, kin-nu-hoh rik-ki-bul","所以見得栗倉","reviewed","Restores source u omitted by inherited XML"
"flood","33","120","row 34","ma-hah kikit-ta-ai, pia-hun ma-ri-his","所以見得黍","reviewed","Final character checked at enlarged scale"
"flood","34","120","row 35","i-ni lau is-sia, Tap-ban-nu mat-taro","敢是此個タバナン長者","reviewed","Direct comparison with scan"
"flood","35","120","row 36","ma-hah u ma-tu-hu-mak-kai hum-mak par-ril","則要築室、廁與廚房","reviewed","Typographic line-wrap rejoined"
"flood","36","120","row 37","ma-hah na-hat-da-ai, pia-hun ma-ri-his","由是則有黍","reviewed","Direct comparison with scan"
