book,chapter,verse,hyphenated_form,merged_form,merged_form_freq
John,1,1,a-koumea,akoumea,19
John,1,3,sa-sasat,sasasat,13
John,1,17,mo-ses,moses,12
John,1,18,ni-kmyt-ta,ni-kmytta,15
John,1,29,va-rau,varau,27
John,1,37,rarou-ha,rarouha,19
John,1,43,vah-tou,vahtou,12
John,1,50,ym-hou,ymhou,28
John,1,52,mis-sing,missing,69
John,2,6,a-vang,avang,10
John,2,16,ra-ma-au,rama-au,17
John,2,19,tal-lagh,tallagh,26
John,2,25,tim-a-mang,tima-mang,10
John,3,2,pa-mut,pamut,23
John,3,11,assi-mou-mi,assi-moumi,22
John,3,31,mak-ka,makka,78
John,3,34,ni-padin-gi-en,ni-padingi-en,11
John,3,34,j-oep-an,joep-an,15
John,4,23,tæ'-lei,tæ'lei,18
John,4,23,k'ma-hyn-na,k'ma-hynna,17
John,4,36,ma-ra,mara,18
John,4,44,ta-ma,tama,13
John,4,46,ga-lilæa,galilæa,15
John,5,25,tæ-lei,tælei,10
John,5,32,matik-tik,matiktik,40
John,5,43,na-nang,nanang,32
John,5,43,na-nang,nanang,32
John,6,19,rou-ha,rouha,21
John,6,27,a-lei-appa,alei-appa,17
John,6,33,kæu-ag-han,kæuag-han,23
John,6,44,wæ-'i,wæ'i,68
John,6,50,vul-lum,vullum,41
John,6,60,pæhtatæu-tæu-han,pæhtatæutæu-han,8
John,6,60,kat-ta,katta,64
John,6,64,nau-namou,naunamou,17
John,6,67,rou-ha,rouha,21
John,7,10,mou-kou-a,mou-koua,64
John,7,19,tato-uhko,tatouhko,15
John,7,20,a-kou,akou,23
John,7,26,k'ytt-'ei,k'ytt'ei,23
John,7,40,makoi-la-laulau,makoi-lalaulau,26
John,7,45,fariseen-ap-pa,fariseen-appa,7
John,7,51,assi-ap-pa,assi-appa,25
John,8,2,ni-ierro-ua,ni-ierroua,13
John,8,4,nein-i,neini,8
John,8,5,tato-uhko,tatouhko,15
John,8,7,va-rau,varau,27
John,8,11,yn-na,ynna,58
John,8,22,kou-n,koun,59
John,8,23,y-moumi,ymoumi,54
John,8,28,ra-raman-au,raraman-au,7
John,8,38,ymou-mi,ymoumi,54
John,8,41,assi-ka-me,assi-kame,9
John,8,52,ka-patei-an,kapatei-an,10
John,9,2,pæhta-tæutæu-han,pæhtatæutæu-han,8
John,9,10,ty-ni,tyni,10
John,9,11,kou-a,koua,16
John,9,18,ne-in,nein,276
John,9,27,ni-mil-lingigh,ni-millingigh,11
John,9,30,kan-na,kanna,62
John,9,34,ym-hou,ymhou,28
John,9,39,kmyt-ta,kmytta,34
John,10,3,na-nang,nanang,32
John,10,8,ni-millin-gigh,ni-millingigh,11
John,10,8,i-oekko,ioekko,13
John,10,16,kat-ta,katta,64
John,10,25,ni-mattæ'i-v'-lli,ni-mattæ'i-v'lli,29
John,11,5,ta-ti,tati,18
John,11,33,jo-den,joden,68
John,11,36,k'ytt'-ei,k'ytt'ei,23
John,11,42,ni-pa-sou-sou-en-nau,ni-pa-sousou-en-nau,10
John,11,55,vo-ual,voual,39
John,12,3,sa-sat,sasat,31
John,12,9,ma-batoung,mabatoung,38
John,12,12,mou-,mou,10
John,12,15,kytt-ei,kyttei,7
John,12,19,kytt-'ei,kytt'ei,24
John,12,21,ni-tmoumi-mia,ni-tmoumimia,7
John,12,23,ni-mat-tæ'i-v'lli,ni-mattæ'i-v'lli,29
John,12,30,k'at-ta,k'atta,103
John,12,34,ym-hou,ymhou,28
John,12,42,fari-seen,fariseen,18
John,13,14,an-nata,annata,97
John,13,16,va-vau,vavau,14
John,13,24,si-mon,simon,32
John,13,34,mak-ka,makka,78
John,14,9,ni-kmyt-ta,ni-kmytta,15
John,14,10,ra-ma,rama,69
John,14,17,ymou-mi,ymoumi,54
John,14,20,ymou-mi-n,ymoumi-n,14
John,14,31,kma-hyn-na,kma-hynna,7
John,15,6,mæ-ylli,mæylli,7
John,15,22,ier-roua,ierroua,15
John,15,24,pa-mut,pamut,23
John,16,3,ka-mamang,kamamang,22
John,16,4,tæ'-lei,tæ'lei,18
John,16,19,kmyt-ta,kmytta,34
John,16,32,kytt-'ei,kytt'ei,24
John,17,2,myhka-koua,myhkakoua,16
John,17,23,ni-pa-dingi-en,ni-padingi-en,11
John,18,13,raram-an,raraman,7
John,18,24,si-ba-vau,si-bavau,72
John,19,3,mei-sa-sou,mei-sasou,39
John,19,4,k'yt-tei,k'yttei,8
John,19,15,meisa-sou,meisasou,9
John,19,21,ni-pa-sou-sou-en,ni-pa-sousou-en,16
John,19,26,i-na,ina,32
John,19,35,ymou-mi,ymoumi,54
John,19,38,pah-ta,pahta,12
John,20,3,ra-vak,ravak,16
John,20,17,raram-an-au,raraman-au,7
John,20,26,nga-taf,ngataf,7
John,21,16,ka-rarouha,kararouha,12
Matthew,2,10,nei-ni,neini,8
Matthew,2,22,jud-ea,judea,9
Matthew,3,4,ni-akou-mea,ni-akoumea,7
Matthew,4,4,ka'æu-loung,ka'æuloung,31
Matthew,4,16,ræ-mæh,ræmæh,22
Matthew,5,11,al-ei,alei,361
Matthew,5,12,tama-mat-tæ'i-tan,tama-mattæ'i-tan,15
Matthew,5,18,koun-nau-ka-mou-ra,koun-nau-kamou-ra,8
Matthew,5,18,ta-touhko,tatouhko,15
Matthew,5,29,saä-sat,saäsat,14
Matthew,5,33,milling-igh,millingigh,37
Matthew,5,37,ka-mamang,kamamang,22
Matthew,5,42,tmou-mimia,tmoumimia,9
Matthew,6,1,rara-man-oumi,raraman-oumi,12
Matthew,6,25,masa-oun,masaoun,19
Matthew,6,25,kæu-ag-han,kæuag-han,23
Matthew,8,26,mah-takout,mahtakout,11
Matthew,9,14,ni-irou-a,ni-iroua,42
Matthew,9,16,koula-mough,koulamough,8
Matthew,9,33,makoi-lalau-lau,makoi-lalaulau,26
Matthew,10,37,pa-ræh,paræh,10
Matthew,11,8,mei-sa-sou,mei-sasou,39
Matthew,11,18,lit-tou,littou,9
Matthew,11,19,ka'æu-loung,ka'æuloung,31
Matthew,11,27,kma-lang,kmalang,12
Matthew,12,21,hei-dang,heidang,7
Matthew,12,34,mou-tous,moutous,8
Matthew,12,46,kytt-'ei,kytt'ei,24
Matthew,13,1,tal-lagh,tallagh,26
Matthew,13,2,makoila-laulau,makoilalaulau,17
Matthew,13,15,tin-tin,tintin,14
Matthew,13,17,ta-ma-mattæi-tan,tama-mattæi-tan,13
Matthew,13,21,ma-mado,mamado,15
Matthew,13,22,mil-lingigh,millingigh,37
Matthew,13,52,pei-sa-sou-an,pei-sasou-an,44
Matthew,14,1,ni-milling-igh,ni-millingigh,11
Matthew,14,2,ni-kapat-ei-an,ni-kapatei-an,7
Matthew,14,9,si-ba-vau,si-bavau,72
Matthew,14,14,makoi-la-laulau,makoi-lalaulau,26
Matthew,14,36,ni-tmou-mimia,ni-tmoumimia,7
Matthew,15,5,rara-man,raraman,7
Matthew,15,10,makoi-lalau-lau,makoi-lalaulau,26
Matthew,15,12,fa-riseen,fariseen,18
Matthew,15,16,y-moumi,ymoumi,54
Matthew,15,29,ta-mang,tamang,7
Matthew,15,33,pahtatæu-tæu-han,pahtatæutæu-han,24
Matthew,16,1,pou-ki-di-en,pou-kidi-en,16
Matthew,17,22,ka'æu-loung,ka'æuloung,31
Matthew,17,24,pe-trus-an,petrus-an,12
Matthew,18,1,pei-sa-sou-an,pei-sasou-an,44
Matthew,18,16,milling-igh,millingigh,37
Matthew,19,8,nauna-mou,naunamou,17
Matthew,19,10,pahta-tæutæu-han,pahtatæutæu-han,24
Matthew,20,9,malyt-touk,malyttouk,8
Matthew,21,1,jeru-salem,jerusalem,18
Matthew,21,8,kou-lamough,koulamough,8
Matthew,21,9,si-ba-vau,si-bavau,72
Matthew,21,11,makoilalau-lau,makoilalaulau,17
Matthew,21,21,ynna-ka-mou,ynna-kamou,9
Matthew,21,31,ka-moei-in,kamoei-in,14
Matthew,21,31,ra-ma,rama,69
Matthew,21,32,katik-tik-an,katiktik-an,9
Matthew,21,37,a-lak,alak,123
Matthew,21,41,paka-patei-eih,pakapatei-eih,7
Matthew,22,20,k'at-ta,k'atta,103
Matthew,22,39,mama-do,mamado,15
Matthew,22,45,da-vid,david,15
Matthew,23,1,makoilalau-lau,makoilalaulau,17
Matthew,23,30,tama-mat-tæ'i-tan,tama-mattæ'i-tan,15
Matthew,24,11,mabat-oung,mabatoung,38
Matthew,24,33,y-moumi,ymoumi,54
Matthew,24,44,assi-mou-mi,assi-moumi,22
Matthew,25,22,talen-ten,talenten,8
Matthew,25,28,ta-lenten,talenten,8
Matthew,26,3,siba-vau,sibavau,9
Matthew,26,39,ka-moei-en-hou,kamoei-en-hou,7
Matthew,26,47,rou-ha,rouha,21
Matthew,26,63,mat-ta,matta,34
Matthew,26,73,yng-au,yngau,16
Matthew,27,4,matik-tik,matiktik,40
Matthew,27,13,pila-tus,pilatus,20
Matthew,27,19,matik-tik,matiktik,40
Matthew,27,24,pila-tus,pilatus,20
Matthew,27,24,kat-ta,katta,64
Matthew,27,32,ni-kab-alei,ni-kabalei,7
Matthew,28,16,vouk-kyn,voukkyn,9
