entry_id,reader_page,column,form,translation,method,included,exclusion_reason
song-2018-kanakanavu-dictionary-0001,193,1,aka,壞的；不好的,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0002,193,1,anani,右邊,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0003,193,1,anisi,牙齒,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0004,193,1,anu,蜜蜂；蜂蜜；蜂巢,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0005,193,1,ara-,變,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,no,Source prints a bound citation form with a trailing hyphen and supplies no unattached surface; entry excluded from the published XML.
song-2018-kanakanavu-dictionary-0006,193,1,aracaini / araceni / araceen,遠,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0007,193,1,aracakanʉ,打獵,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0008,193,1,aracan,近,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0009,193,1,araciasʉ,天亮,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0010,193,1,aracʉvʉrʉ,生長；成長,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0011,193,1,arakicacʉ,嚇一跳,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0012,193,1,arakukunu / arakukuun,一起；相處,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0013,193,1,arakuracʉ,生氣；氣憤,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0014,193,1,aramia’ʉ,起床；醒了,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0015,193,1,aranai,從（某處；某時）,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0016,193,1,arapana’ʉ,跑,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0017,193,1,arapipiningi / arapipining,出去；出現,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0018,193,1,ararira,烏龜,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0019,193,2,aratakara,起來；站起來,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0020,193,2,aratatia,長大,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0021,193,2,aratʉkʉnʉ/ aratʉkʉʉn,分開,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0022,193,2,aru,八（數數）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0023,193,2,aunu / ono,蒸氣,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0024,193,2,avuran,汗水,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0025,193,2,ccacanʉ/ cacaan,路；道路,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0026,193,2,cakʉran,河流,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0027,193,2,camai,菜餚,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0028,193,2,campe,剛才,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0029,193,2,cangkan,髒,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0030,193,2,cani,一（數數）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0031,193,2,cani,首次,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0032,193,2,cani,歌,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0033,193,2,canumu / canuum,水,Official positioned text; language-sorted Appendix 2A,yes,
