level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0.000000	0.000000	841.920040	595.320010	-1	###PAGE###
3	1	0	0	0	0	379.799996	23.683490	81.602725	10.247634	-1	###FLOW###
4	1	0	0	0	0	379.799996	23.683490	81.602725	10.247634	-1	###LINE###
5	1	0	0	0	0	379.80	23.68	12.68	10.25	100	The
5	1	0	0	0	1	394.38	23.68	26.14	10.25	100	Utrecht
5	1	0	0	0	2	422.38	23.68	39.02	10.25	100	Manuscript
3	1	0	1	0	0	53.159998	54.883486	75.516895	10.367637	-1	###FLOW###
4	1	0	1	0	0	53.159998	54.883486	75.516895	10.367637	-1	###LINE###
5	1	0	1	0	0	53.16	54.88	12.89	10.25	100	UM
5	1	0	1	0	1	67.89	54.88	19.87	10.25	100	p.UM
5	1	0	1	0	2	89.61	55.00	39.06	10.25	100	Formosana
3	1	1	0	0	0	147.215031	55.003489	39.320538	10.247634	-1	###FLOW###
4	1	1	0	0	0	147.215031	55.003489	39.320538	10.247634	-1	###LINE###
5	1	1	0	0	0	147.22	55.00	12.89	10.25	100	UM
5	1	1	0	0	1	162.00	55.00	24.54	10.25	100	Belgica
3	1	2	0	0	0	222.461085	55.003489	37.000547	10.247634	-1	###FLOW###
4	1	2	0	0	0	222.461085	55.003489	37.000547	10.247634	-1	###LINE###
5	1	2	0	0	0	222.46	55.00	14.44	10.25	100	VdV
5	1	2	0	0	1	238.80	55.00	20.66	10.25	100	Dutch
3	1	3	0	0	0	288.558194	55.003489	37.715244	10.247634	-1	###FLOW###
4	1	3	0	0	0	288.558194	55.003489	37.715244	10.247634	-1	###LINE###
5	1	3	0	0	0	288.56	55.00	14.44	10.25	100	VdV
5	1	3	0	0	1	304.90	55.00	21.38	10.25	100	Siraya
3	1	4	0	0	0	370.559990	55.003489	38.164857	21.407632	-1	###FLOW###
4	1	4	0	0	0	370.598654	55.003489	37.688929	10.247634	-1	###LINE###
5	1	4	0	0	0	370.60	55.00	11.31	10.25	100	My
5	1	4	0	0	1	383.70	55.00	24.58	10.25	100	English
4	1	4	0	1	0	370.559990	66.163486	38.164857	10.247634	-1	###LINE###
5	1	4	0	1	0	370.56	66.16	38.16	10.25	100	translation
3	1	5	0	0	0	453.599991	55.003489	36.295891	10.247634	-1	###FLOW###
4	1	5	0	0	0	453.599991	55.003489	36.295891	10.247634	-1	###LINE###
5	1	5	0	0	0	453.60	55.00	36.30	10.25	100	Murakami
3	1	6	0	0	0	514.800018	54.883486	131.116845	21.527635	-1	###FLOW###
4	1	6	0	0	0	514.800993	54.883486	131.115870	10.367637	-1	###LINE###
5	1	6	0	0	0	514.80	55.00	63.70	10.25	100	Gospel/Formulary
5	1	6	0	0	1	585.24	55.00	32.30	10.25	100	Variation
5	1	6	0	0	2	623.88	54.88	22.04	10.25	100	etyma
4	1	6	0	1	0	514.800018	66.163486	37.204142	10.247634	-1	###LINE###
5	1	6	0	1	0	514.80	66.16	37.20	10.25	100	equivalent
3	1	7	0	0	0	453.480011	77.168928	51.945251	39.609240	-1	###FLOW###
4	1	7	0	0	0	453.480011	77.168928	51.945251	9.369234	-1	###LINE###
5	1	7	0	0	0	453.48	77.17	39.45	9.37	100	y=Murakami
5	1	7	0	0	1	494.62	77.17	10.80	9.37	100	has
4	1	7	0	1	0	453.480011	87.248930	43.867496	9.369234	-1	###LINE###
5	1	7	0	1	0	453.48	87.25	16.63	9.37	100	same
5	1	7	0	1	1	471.81	87.25	18.61	9.37	100	Dutch
5	1	7	0	1	2	492.11	87.25	5.24	9.37	100	&
4	1	7	0	2	0	453.480011	97.328932	47.128489	9.369234	-1	###LINE###
5	1	7	0	2	0	453.48	97.33	18.83	9.37	100	Siraya
5	1	7	0	2	1	474.00	97.33	18.24	9.37	100	forms
5	1	7	0	2	2	493.93	97.33	6.68	9.37	100	as
4	1	7	0	3	0	453.480011	107.408934	11.485771	9.369234	-1	###LINE###
5	1	7	0	3	0	453.48	107.41	11.49	9.37	100	UM
3	1	8	0	0	0	514.679993	77.168928	64.054248	39.609240	-1	###FLOW###
4	1	8	0	0	0	514.679993	77.168928	52.094855	9.369234	-1	###LINE###
5	1	8	0	0	0	514.68	77.17	35.06	9.37	100	normalized
5	1	8	0	0	1	551.54	77.17	15.23	9.37	100	form
4	1	8	0	1	0	514.679993	87.248930	64.054248	9.369234	-1	###LINE###
5	1	8	0	1	0	514.68	87.25	26.53	9.37	100	(Adelaar
5	1	8	0	1	1	542.91	87.25	17.69	9.37	100	2011)
5	1	8	0	1	2	563.87	87.25	14.86	9.37	100	SMG
4	1	8	0	2	0	514.679993	97.328932	46.663207	9.369234	-1	###LINE###
5	1	8	0	2	0	514.68	97.33	3.82	9.37	100	=
5	1	8	0	2	1	520.19	97.33	6.02	9.37	100	St
5	1	8	0	2	2	527.91	97.33	33.43	9.37	100	Matthew's
4	1	8	0	3	0	514.679993	107.408934	21.512880	9.369234	-1	###LINE###
5	1	8	0	3	0	514.68	107.41	21.51	9.37	100	Gospel
3	1	9	0	0	0	623.759995	77.168928	108.211456	39.609240	-1	###FLOW###
4	1	9	0	0	0	623.759995	77.168928	37.626960	9.369234	-1	###LINE###
5	1	9	0	0	0	623.76	77.17	12.44	9.37	100	PAn
5	1	9	0	0	1	637.90	77.17	23.49	9.37	100	=Proto-
4	1	9	0	1	0	673.919999	77.168928	53.616396	9.369234	-1	###LINE###
5	1	9	0	1	0	673.92	77.17	4.99	9.37	100	Li
5	1	9	0	1	1	680.60	77.17	3.82	9.37	100	=
5	1	9	0	1	2	686.17	77.17	4.99	9.37	100	Li
5	1	9	0	1	3	692.85	77.17	17.41	9.37	100	2010;
5	1	9	0	1	4	711.95	77.17	10.01	9.37	100	SM
5	1	9	0	1	5	723.71	77.17	3.82	9.37	100	=
4	1	9	0	2	0	623.759995	87.248930	108.211456	9.369234	-1	###LINE###
5	1	9	0	2	0	623.76	87.25	43.16	9.37	100	Austronesian,
5	1	9	0	2	1	673.92	87.25	20.58	9.37	100	Sinkan
5	1	9	0	2	2	696.24	87.25	35.74	9.37	100	Manuscript
4	1	9	0	3	0	623.759995	97.328932	31.857316	9.369234	-1	###LINE###
5	1	9	0	3	0	623.76	97.33	7.49	9.37	100	PF
5	1	9	0	3	1	632.87	97.33	3.82	9.37	100	=
5	1	9	0	3	2	638.39	97.33	17.23	9.37	100	Proto
4	1	9	0	4	0	623.759995	107.408934	31.166233	9.369234	-1	###LINE###
5	1	9	0	4	0	623.76	107.41	31.17	9.37	100	Formosan
3	1	10	0	0	0	74.760000	120.008925	206.561131	9.369234	-1	###FLOW###
