source_row,output_id,mapping_status,predecessor_index,predecessor_id,predecessor_form,id_reason
1,W1,retained_exact,1,W1,Deus,
2,W2,retained_exact,2,W2,Deus samma,
3,W3,retained_exact,3,W3,Deus allack,
4,W4,retained_exact,4,W4,Deus spiritus S:,
5,W5,retained_exact,5,W5,Jehova oft meisisang,
6,W6,retained_exact,6,W6,Anglos,
7,W7,retained_exact,7,W7,Vullum,
8,W8,retained_exact,8,W8,Attatillingagey,
9,W9,retained_exact,9,W9,Magmoudo,
10,W10,retained_exact,10,W10,Massitavach,
11,Utrecht_Manuscript-S-r0011,repaired_predecessor_id,12,W2,Natagouamal,The predecessor reuses W2 for this distinct lexical record.
12,W12,retained_exact,13,W12,wagi,
13,W13,retained_exact,14,W13,vourel,
14,W14,retained_exact,15,W14,litto,
15,W15,retained_exact,16,W15,apoy,
16,W16,retained_exact,17,W16,salom,
17,W17,retained_exact,18,W17,Pourarey,
18,W18,retained_exact,19,W18,singding,
19,W19,retained_exact,20,W19,giltag,
20,W20,retained_exact,21,W20,rickat,
21,W21,retained_exact,22,W21,varonginga,
22,W22,retained_exact,23,W22,oudal,
23,Utrecht_Manuscript-S-r0023,new_source,,,,Source row is absent from the public predecessor.
24,W23,retained_exact,24,W23,ougla,
25,W24,retained_exact,25,W24,maougla,
26,W25,retained_exact,26,W25,lamog,
27,W26,retained_exact,27,W26,vare,
28,W27,retained_exact,28,W27,rmeia maccasera tavare,
29,W28,retained_exact,29,W28,Tmimog maccatimog tavare,
30,W29,retained_exact,30,W29,rmaos maccaraos tavare,
31,W30,retained_exact,31,W30,hanglout,
32,Utrecht_Manuscript-S-r0032,new_source,,,,Source row is absent from the public predecessor.
33,W31,retained_exact,32,W31,vagiog,
34,W32,retained_exact,33,W32,lureh,
35,W33,retained_exact,34,W33,tou imdey nay,
36,W34,retained_exact,35,W34,nay,
37,W35,retained_exact,36,W35,tagaseia,
38,W37,retained_exact,38,W37,tagaraos,
39,W36,retained_exact,37,W36,tagatimog,
40,W38,retained_exact,39,W38,tagamig,
41,W39,retained_exact,40,W39,vaong,
42,W40,retained_exact,41,W40,rongwal,
43,W41,retained_exact,42,W41,karivil,
44,W42,retained_exact,43,W42,sat kapousochang,
45,W43,retained_exact,44,W43,agouang,
46,W44,retained_exact,45,W44,zaroch karot kot,
47,W45,retained_exact,46,W45,ligig,
48,W46,retained_exact,47,W46,"rouckat, gisack",
49,W47,retained_exact,48,W47,doulang,
50,W48,retained_exact,49,W48,apouack of vouvoun,
51,W49,retained_exact,50,W49,valanga,
52,W50,retained_exact,51,W50,vouchong,
53,W51,retained_exact,52,W51,voucking,
54,W52,retained_exact,53,W52,laoeg,
55,W53,retained_exact,54,W53,poulag,
56,W54,retained_exact,55,W54,ouma,
57,W55,retained_exact,56,W55,mouma,
58,W56,retained_exact,57,W56,gouma,
59,W57,retained_exact,58,W57,darang,
60,W58,retained_exact,59,W58,dmadarang,
61,W59,retained_exact,60,W59,demarang,
62,W60,retained_exact,61,W60,couva,
63,W61,retained_exact,62,W61,tatikogang,
64,W62,retained_exact,63,W62,Tagley,
65,W63,retained_source_corrected,64,W63,sackig,
66,W64,retained_exact,65,W64,tmikog,
67,W65,retained_exact,66,W65,tagleij,
68,W66,retained_exact,67,W66,kilikili,
69,W67,retained_exact,68,W67,onini,
70,W68,retained_exact,69,W68,oni,
71,W69,retained_exact,70,W69,poni,
72,W70,retained_exact,71,W70,tallach,
73,W71,retained_exact,72,W71,attatallach,
74,W72,retained_exact,73,W72,nimaccatallach ole,
75,W73,retained_exact,74,W73,attatallachang,
76,Utrecht_Manuscript-S-r0076,new_source,,,,Source row is absent from the public predecessor.
77,W74,retained_exact,75,W74,taltal,
78,W75,retained_exact,76,W75,pesasarauang,
79,W76,retained_exact,77,W76,apang,
80,W77,retained_exact,78,W77,vadig,
81,W78,retained_exact,79,W78,vagag,
82,W79,retained_exact,80,W79,saeig,
83,W80,retained_exact,81,W80,caiou,
84,W81,retained_exact,82,W81,tpal,
85,W82,retained_exact,83,W82,apouch,
86,W83,retained_exact,84,W83,vourig,
87,W84,retained_exact,85,W84,tatavag,
88,W85,retained_exact,86,W85,paho,
89,W86,retained_exact,87,W86,alilip,
90,W87,retained_exact,88,W87,gnataf,
91,W88,retained_exact,89,W88,magoulif,
92,W89,retained_exact,90,W89,"agoulifey, agoulbey",
93,W90,retained_exact,91,W90,illifey,
94,W91,retained_exact,92,W91,illilif,
95,W93,retained_exact,94,W93,glaf,
96,W94,retained_exact,95,W94,kada,
97,W95,retained_exact,96,W95,poukong,
98,W96,retained_exact,97,W96,agoualilif,
99,W97,retained_exact,98,W97,tatgoang,
100,W98,retained_exact,99,W98,vagilock,
101,W100,retained_exact,101,W100,loudock,
102,W99,retained_exact,100,W99,mala,
103,W101,retained_exact,102,W101,raoul,
104,W102,retained_exact,103,W102,ratta,
105,W103,retained_exact,104,W103,ratta kivadoch i.e. ki vadoch,
106,W104,retained_exact,105,W104,ratta ki taucka,
107,W105,retained_exact,106,W105,ittataingang,
108,W106,retained_exact,107,W106,daouck,
109,W107,retained_exact,108,W107,avo,
110,W108,retained_exact,109,W108,vaga,
111,W109,retained_exact,110,W109,rattang tackag,
112,W110,retained_exact,111,W110,halhal,
113,W111,retained_exact,112,W111,vanta,
114,W113,retained_exact,114,W113,tatagof,
115,W114,retained_exact,115,W114,tmagof,
116,W115,retained_exact,116,W115,tmapach,
117,W116,retained_exact,117,W116,corago,
118,W117,retained_exact,118,W117,tiril,
119,W118,retained_exact,119,W118,tigpapahoang,
120,W119,retained_exact,120,W119,tatoch,
121,W120,retained_exact,121,W120,taoul,
122,W121,retained_source_corrected,122,W121,pasagoualalingauang,
123,W122,retained_exact,123,W122,pourot katikaguang,
124,W123,retained_exact,124,W123,ivavongoang,
125,W124,retained_exact,125,W124,irarongang,
126,W125,retained_exact,126,W125,miraong,
127,W126,retained_exact,127,W126,avouckang,
128,W127,retained_exact,128,W127,mavock,
129,W128,retained_exact,129,W128,harong kong kasato kapattasasoang,
130,W129,retained_exact,130,W129,talo,
131,W130,retained_exact,131,W130,pingang,
132,W131,retained_exact,132,W131,tangia kamarockol,
133,W132,retained_exact,133,W132,Tangia,
134,W133,retained_source_corrected,134,W133,ourot tioul,
135,Utrecht_Manuscript-S-r0135,new_source,,,,Source row is absent from the public predecessor.
136,W134,retained_exact,135,W134,kising,
137,W135,retained_source_corrected,136,W135, roukol,
138,W136,retained_exact,137,W136,ouging,
139,W137,retained_exact,138,W137,patougingang,
140,W138,retained_exact,139,W138,pasiougingang,
141,W139,retained_exact,140,W139,auwap,
142,W140,retained_exact,141,W140,mouap,
143,W141,retained_exact,142,W141,tagousong,
144,W142,retained_exact,143,W142,houkas,
145,W143,retained_exact,144,W143,uwey,
146,W144,retained_exact,145,W144,talip,
147,W145,retained_source_corrected,146,W145,sangia,
148,W146,retained_exact,147,W146,salipe,
149,W147,retained_exact,148,W147,Jaboang,
150,W148,retained_exact,149,W148,agouvong,
151,W149,retained_exact,150,W149,tarinis,
152,W150,retained_exact,151,W150,vangara,
153,W151,retained_exact,152,W151,haiero,
154,W152,retained_exact,153,W152,varako,
155,W153,retained_exact,154,W153,satto,
156,W154,retained_exact,155,W154,lagi,
157,W155,retained_exact,156,W155,alipout,
158,W156,retained_exact,157,W156,gagava,
159,W157,retained_exact,158,W157,tatkong,
160,W158,retained_exact,159,W158,gagitgit,
161,W159,retained_exact,160,W159,chouto,
162,W160,retained_exact,161,W160,tatingtingang,
163,W161,retained_exact,162,W161,tatoutou,
164,W162,retained_source_corrected,163,W162,tmatoutou,
165,W163,retained_source_corrected,164,W163,vavarigbig,
166,W164,retained_exact,165,W164,varigbig,
167,W165,retained_exact,166,W165,tagley,
168,W166,retained_exact,167,W166,nangaoul,
169,W167,retained_exact,168,W167,vading,
170,W168,retained_exact,169,W168,stricke,
171,W169,retained_exact,170,W169,stricke stellen,
172,W170,retained_exact,171,W170,paringit,
173,W171,retained_exact,172,W171,magipaparingit,
174,W172,retained_exact,173,W172,lakim,
175,W173,retained_exact,174,W173,tagtougot,
176,W174,retained_exact,175,W174,kakato,
177,W175,retained_exact,176,W175,kmakato,
178,W176,retained_exact,177,W176,potij,
179,W177,retained_exact,178,W177,soulat,
180,W178,retained_exact,179,W178,smoulat,
181,W179,retained_exact,180,W179,vino,
182,W180,retained_source_corrected,181,W180,valangavong,
183,W181,retained_exact,182,W181,paliape,
184,W182,retained_exact,183,W182,kidi,
185,W183,retained_exact,184,W183,ikaquang,
186,W184,retained_exact,185,W184,sat kagatougang ki tauwil,
187,W185,retained_exact,186,W185,tauwil,
188,W186,retained_exact,187,W186,vourel,
189,W187,retained_exact,188,W187,wagi,
190,W188,retained_exact,189,W188,wagi ki kagagangalang,
191,W189,retained_exact,190,W189,kipat,
192,W190,retained_exact,191,W190,kadiriang,
193,W191,retained_exact,192,W191,dagoulang,
194,W192,retained_exact,193,W192,goutim,
195,W193,retained_exact,194,W193,kaiamang,
196,W194,retained_exact,195,W194,masingil,
197,W195,retained_exact,196,W195,amigang,
198,W196,retained_exact,197,W196,madama,
199,W197,retained_exact,198,W197,bavarach,
200,W198,retained_exact,199,W198,midama,
201,W199,retained_exact,200,W199,sangasanga,
202,W200,retained_exact,201,W200,maccapapouring,
203,W201,retained_exact,202,W201,madong,
204,W203,retained_exact,203,W203,midodong,
205,W204,retained_exact,204,W204,madongato,
206,W205,retained_exact,205,W205,samdam,
207,W206,retained_exact,206,W206,mapapitere,
208,W207,retained_source_corrected,207,W207,"vignanang, euvanang",
209,Utrecht_Manuscript-S-r0209,new_source,,,,Source row is absent from the public predecessor.
210,W208,retained_exact,208,W208,kmakilip tadong,
211,W209,retained_exact,209,W209,pouchtouckat tavignang,
212,W210,retained_exact,210,W210,piadadamaing,
213,W211,retained_exact,211,W211,somone tatauchka,
214,W212,retained_exact,212,W212,cagoulong,
215,W213,retained_exact,213,W213,ama,
216,W214,retained_exact,214,W214,ina,
217,W215,retained_exact,215,W215,gagapang,
218,W216,retained_exact,216,W216,kagouma,
219,W217,retained_exact,217,W217,taroul,
220,W218,retained_source_corrected,218,W218,mokoqua tbong,
221,Utrecht_Manuscript-S-r0221,new_source,,,,Source row is absent from the public predecessor.
222,W219,retained_exact,219,W219,kegaing,
223,W220,retained_exact,220,W220,ama ka vacho,
224,W221,retained_exact,221,W221,ina ka vacho,
225,W222,retained_exact,222,W222,allack,
226,W223,retained_exact,223,W223,tabung,
227,W224,retained_exact,224,W224,topey,
228,W225,retained_exact,225,W225,tagallack,
229,W226,retained_exact,226,W226,merauwey,
230,W227,retained_exact,227,W227,rauwey,
231,W228,retained_exact,228,W228,sama,
232,W229,retained_exact,229,W229,sena,
233,W230,retained_source_corrected,230,W230,kinikapateijang kitbong,
234,W231,retained_exact,231,W231,tagiapara,
235,W232,retained_exact,232,W232,nigaha,
236,W233,retained_exact,233,W233,tagasoa,
237,W234,retained_exact,234,W234,sacka,
238,W235,retained_exact,235,W235,viil,
239,W236,retained_exact,236,W236,doulong,
240,W237,retained_exact,237,W237,magtatao,
241,W238,retained_exact,238,W238,sieou,
242,W239,retained_exact,239,W239,mackdiou,
243,W240,retained_exact,240,W240,varig,
244,W241,retained_exact,241,W241,machbavarig,
245,W242,retained_exact,242,W242,vougog,
246,W243,retained_source_corrected,243,W243,mavavongog,
247,W244,retained_exact,244,W244,mascyt,
248,W245,retained_exact,245,W245,mousasoupock,
249,W246,retained_exact,246,W246,kahalouang,
250,W247,retained_exact,247,W247,nanang,
251,W248,retained_exact,248,W248,honte,
252,W249,retained_exact,249,W249,ong,
253,W250,retained_exact,250,W250,padre,
254,W251,retained_exact,251,W251,padadingiang,
255,W252,retained_exact,252,W252,capitang,
256,W253,retained_exact,253,W253,meisisang,
257,W254,retained_exact,254,W254,congsia,
258,W255,retained_exact,255,W255,congsia kamelalto,
259,W256,retained_exact,256,W256,maparach,
260,W257,retained_exact,257,W257,rapach,
261,W258,retained_exact,258,W258,saihoe,
262,W259,retained_exact,259,W259,marinchauw,
263,W261,retained_source_corrected,261,W261,"mattalliauw, tamahausong",
264,Utrecht_Manuscript-S-r0264,new_source,,,,Source row is absent from the public predecessor.
265,W262,retained_exact,262,W262,tamalpoch,
266,W263,retained_exact,263,W263,tamalamach,
267,W264,retained_exact,264,W264,lamag,
268,W265,retained_exact,265,W265,millamag,
269,W266,retained_exact,266,W266,schat,
270,W267,retained_exact,267,W267,tamararbourbo,
271,W268,retained_exact,268,W268,maveiong,
272,W269,retained_exact,269,W269,maoura,
273,W270,retained_exact,270,W270,tamakagingog,
274,W271,retained_exact,271,W271,vate,
275,W272,retained_exact,272,W272,ruch,
276,W273,retained_exact,273,W273,hiklaing,
277,W274,retained_exact,274,W274,mikla,
278,W275,retained_exact,275,W275,hinaua,
279,W276,retained_exact,276,W276,voel,
280,W277,retained_exact,277,W277,voil,
281,W278,retained_exact,278,W278,voiling,
282,W279,retained_source_corrected,279,W279,kavavoelang,
283,W280,retained_exact,280,W280,vaat,
284,W281,retained_exact,281,W281,validt,
285,W282,retained_exact,282,W282,ougat,
286,W283,retained_exact,283,W283,gamach,
287,W284,retained_exact,284,W284,sapaga,
288,W285,retained_exact,285,W285,toural,
289,W286,retained_exact,286,W286,vongo,
290,W287,retained_exact,287,W287,toucktouck,
291,W288,retained_exact,288,W288,hoele,
292,W289,retained_exact,289,W289,voukig,
293,W290,retained_exact,290,W290,vlung,
