詞條,英文解釋,中文解釋,阿美語例句,英文例句,中文例句,參見
'a'adopen,animal to be hunted,受獵物,,,,
,generic for any animal,動物的總稱,,,,
'a'am,soft watery rice,稀飯、粥、米乳、米湯,,,,miki'a'am
'a'iloc,the back of the head * neck,脖子，頸，頸項,,,,
'a'isedan,chief witch doctor,巫師之首領，領袖,,,,
,leader of the town,部落或村莊的領袖，領導人物,,,,'a'isidan
'a'isidan,Refer to 'a'isedan,詳見 'a'isedan,,,,'a'isedan
'a'olec,large sea shell necklace,大塊貝板項鍊,,,,
'a'orongen,something to be carried,荷物，包袱，即將運走的東西,,,,'orong
'aca,price,價錢、價格、代價,,,,"pi'acaan, kalali'acaan, pa'aca, mi'aca"
'acam,dry stalks useable for firewood,乾燥的蘆葦幹用來助燃柴火,,,,
'acaw,to dip out water,汲水、 搖水,,,,
'acefel,smoke,煙、蒸氣,,,,ci'acefelay
'acicim,sour * as of unripe fruit,酸,,,,
'acis,dry,乾燥、枯萎,,,,ma'acisay
'aciyos,round spot in hair where hair parts * the crown of the head,旋宮、 頭旋、髮旋,,,,
'acocol,something made with wood and with twisted string * a top to spin,陀螺,,,,'inger
'ad'ad,to dig around and stir up while looking for something,翻(石 頭、東西等)翻箱倒櫃,,,,
'ada,enemy,敵人、仇人、仇敵,,,,misa'ada
'adadongac,black beetle (Cerambyx cerdo),甲蟲,,,,'ararongac
'adapaw,to lie in wait to kill (with misa-),埋伏,,,,
'adawang,gateway,門檻、門口,,,,
'adcaw,marble,大理石,,,,'adicaw
'adepet,to be tight * not share material things,吝嗇,,,,
,to keep one's own counsel * deliberately not share,密守、自己的計劃、不樂意分享,,,,idepet
'adi,Refer to 'ong'ong,詳見 'ong'ong,,,,'ong'ong
'adicaw,Refer to 'adcaw,詳見 'adcaw,,,,'adcaw
'adidem,mulberry tree * mulberries (the fruit),桑樹、桑葚,,,,
,White Mulberry (Morus alba),桑樹,,,,
,Aino Mulberry (Morus australis),小葉桑,,,,
'adif,temporary fence,暫用圍牆、臨時籬笆,,,,
,wall in a building,圍牆,,,,
'adimaceng,a species of tree * Soap Nut Tree,無患子,,,,rao'
'ading,to protect * shield,防護、保護物、遮蓋物,,,,"pa'ading, miki'ading, piki'adingan"
'adingal,shiny * as polished wood,光亮、光澤,,,,
,clean hair,洗髮,,,,
'adingo,shadow,影子,,,,
,human soul or spirit,人類的靈魂,Fangcalay 'Adingo,Holy Spirit * coined expression for,聖靈,
'adipangpang,tropical fish * generic term,熱帶魚的總稱(鰈鶼),,,,
,butterfly,蝴蝶,,,,
'adipel,fence,圍牆、籬笆,,,,mi'adipel
'adiping,comb of a rooster or hen,雞冠,,,,
'adit,a scab over a healing wound,傷口上所結的硬皮(少許樹脂、油脂或分泌物凝結成硬塊皮),,,,
'adiyam,ginger root,生薑 (中部阿美語),,,,
,pepper * hot seasoning of,小辣椒 (南部阿笑語),,,,
'adiyoc,whirl wind,旋風、龍捲風,,,,
'adop,to hunt for game,狩獵,,,,'a'adopen
'adteng,tree sap,樹汁,,,,
,tobacco juice,遺留在煙斗吸管內的菸鹼(尼古丁) (Kwangfu 光復語),,,,cica'
'adtom,a kind of grass,草植類之一,,,,
'afala,shoulder,肩膀,paki'afala a mi'orong,to carry on the shoulders,扛在肩上,
'afalang,to put arms around something and lift it up to the level of one's head and carry,以兩手臂的力量支撐置於肩上之未經捆綁的東西,,,,
'afang,to put arms on the shoulder of,手臂搭置他人肩上(表示扶持行動不便的病人),,,,
,the spirit a medium receives when possessed,受靈的媒介物,,,,"salo'afang, misalo'afang"
'afar,river or ocean shrimp,蝦，草蝦，蝦的總稱,,,,
'afas,to grab * take away from,搶奪，掠奪,,,,
'afdo'ay,ceremonial clothing worn by the headman while reciting the genealogies of the clans,首長穿儀式典禮的長服全面性的在氏族之前吟誦古代的程序,,,,
'afel,hot coals,燒煤,,,,
,coal,煤炭,,,,
,charcoal,木炭,,,,
'afetoy,calf of the leg,小腿肚,,,,
'afinong,coconut,椰子果,,,,
,Cocos Palm,可可椰子,,,,
,Royal Palm tree,大王椰子,,,,
,Alexandria Palm,椰子,,,,
'afo,ashes,灰，灰燼,,,,
,fertilizer,肥料(化學),,,,
'afofo,to hold in arms,抱起來，抱在懷裡,,,,
'afsaw,to taste burnt,品嘗如煙燻味,,,,
,lukewarm,微溫的，溫熱的，不冷不熱(不熱心的),,,,
'ahac,to fade * to have color gone,褪色，失去光澤,,,,"'omac, 'onac"
'ahnang,Refer to 'anengang,詳見 'anengang,,,,'anengang
'akawang,tall,高大(身材，體格),,,,
,high,高,,,,takaraw
'akaway,stem of a plant,植物的莖,,,,
'akik,wound that was weeping but dried,將癒的傷口,,,,
,dried sap from a cut vegetation,乾脂(草木汁),,,,
,dried up grass or vegetation,草木枯萎,,,,
'akonal,bald of the head,禿頭,,,,'anal
'akong,crooked,彎曲,,,,
,perverse,心理不正的,ma'akong ko sowal,false words * lies,謊言，假話,li'akong
'alangad,a lump (of rice) held in the hand,飯槽，端在掌上的食物,,,,
'alapit,tweezers * thongs,夾子，鉗具,,,,
,chopsticks,筷子,,,,
'alcam,Refer to 'acam,詳見 'acam,,,,'acam
'alem,ant-eater with long tongue * Manis tricupis,穿山甲,,,,
'alet,to stop * hinder,阻止，遏止，妨礙，妨害，阻礙,,,,sa'et
'ali,brother or sister-in-law,對兄弟姊妹之配偶之稱謂,,,,
'alic,a sparrow,華南麻雀,,,,cirep
,a species of fish,魚的一種,,,,
'alilis,eagle * Serpent eagle,大冠鷹,,,,
'alimdas,"Pytas korros, a snake",花草蛇,,,,'alongdas
'alip,sexual intercourse * of humans,人類的性交，做愛,,,,
'alipaonay,Refer to 'alopaynay,詳見 'alopaynay,,,,'alopaynay
'alitad,lump of something like dough or mud or cooked nce or clods of soil,泥土或飯糰的塊狀，凝固狀,,,,
'aliwac,the pointed sharp end of bamboo,竹竿的尖端,pa'aliwac,to take time off to do something,暫時…短暫性的,
'aliwates,boils,沸騰,,,,
,festering sores with a core,疔瘡，瘡癤,,,,"'itkiw, kaliwates"
'alo,river * stream * creek,河，溪澗，小溪,'alo no coco,woman's breast,乳溝,
,,,kasa'alo'alo,the humps of a mountain range,峰巒相連狀,
'alofo,a bag carried on the back,背袋,,,,
,pocket,口袋,,,,sapa'alofo
'alol,to be carried away by water so that it is no longer seen,流失，被水沖走,,,,
'alolil,a bird * House Martin,毛腳燕,,,,
,Barn swallow,家燕,,,,
,Red-Rumped swallow,赤腰燕,,,,'aroril
'alolong,deep,深的，深遠的,,,,talolong
'aloman,many * of people and animals only,許多…，很多…，眾多,,,,
'alongdas,large harmless edible snake * Mock Viper (Achalinus niger Maki),無毒可食之蟒蛇,,,,
,(Calamaria pavimentata formosana),南蛇，標蛇,,,,'alimdas
'alopal,persimmon * tree and fruit,柿子，柿子樹 (Diospyros kaki),,,,
'alopaynay,long bright orange / green beetle-like insect that is pliable like wood,螢火蟲,,,,'alipaonay
'alotoc,edible snails from river or sea,河中或海中的尖形螺,,,,
'alpad,a smaller group belonging to a larger delegation of travelers walking,成群結隊,,,,tapakad
'amis,name of the Amis race,阿美族之族名,,,,
,north,北，北方,,,,
'amitir,perverse * as the way a woman acts that makes her appear mannish,風騷的，不矜持的，任性的，縱情的(指女性),,,,
'amlas,flirting * using speech and manners that are sexually suggestive,輕浮，不莊重，風流,,,,
,of the way one does an activity causing spoil * not careful,輕慢，輕薄，粗魯,,,,
'anal,Refer to 'akonal,詳見 'akonal,,,,'akonal
'anapar,Refer to 'arapar,詳見 'arapar,,,,'arapar
'anengang,chair * stool,椅子，凳子,,,,'ahnang
'anganget,to curl hair,使毛髮捲曲,,,,
,curly,捲曲的，捲縮的，有捲毛的,,,,
'angcep,the smell of burnt rice,飯燒焦味,,,,
'angdis,Refer to 'anglis,詳見 'anglis,,,,'anglis
'angdisay,seaweed used for food,可食海草,,,,
'angi,fear arising in the heart when anticipating trouble,忍懼感,,,,
'anglis,strong smell of fish,魚腥味的,,,,'angdis
'angrer,bitter with literal and figurative meanings,苦，苦味，字面上及象徵意義上的苦,'angrer ko sowal,words that hurt,話語傷人，話中帶刺,
'angsaw,the smell of smoke * burnt smell,煙燻味的,,,,
'angsit,the stink of a skunk,鼬鼠之臭味,,,,
,the smell of certain kinds of plants,某種植物的臭味,'angsitay a koyo',a skunk,臭鼬鼠,
'angtol,stink of something dead,動物死屍的臭味，腐肉或傷口的臭味,,,,"'antol, 'angtox"
'angtox,Refer to 'angtol,詳見 'angtol,,,,'angtol
'anikak,Refer to 'ankak,詳見 'ankak,,,,'ankak
'anin,to play as dogs play,扮演狗戲，裝扮成狗要寶,,,,mala'anin
'aninil,to watch * pay special attention * be interested in,看守，守衛，對某些事物特別注意，對某事有興趣,,,,
'anip,rice seedlings freshly planted,稻株,,,,"'onip, mi'anip"
'ankak,a crow * large black bird,鴉,,,,'anikak
'anof,greed * desire * lust * usually related to one's livelihood,貪婪，貪慾，熱望，貪圖,,,,ka'anofan
'anongnongan,the center cross beam of a house,房屋的脊樑,,,,
'antipal,Chinese Bulbul,白頭翁,,,,
,a bird,一種鳥,,,,'atipal
'antol,Refer to 'angtol,詳見 'angtol,,,,'angtol
'aol,the generic word for bamboo,竹的總稱,,,,
'aolecen,Banded Krait * a poisonous snake,毒蛇名,,,,
'ap'ap,the name of a large frog,俗稱田雞,,,,opopay
'apac,a trowel * a tool used by a carpenter to shave wood smooth,鋤頭形削木刀,,,,
'apalo,Refer to 'apaloay,詳見 'apaloay,,,,'apaloay
'apaloay,name of a tree,波羅蜜,,,,"'apalo, facidol"
,name of a village where many facidol grew,花蓮縣壽豐鄉月眉部落之地名,,,,
'api,twin,孿生,,,,ma'apiay
'apilis,a sheer drop off as a ledge on a mountainside,山坡地，傾斜的坡地,,,,
'aplad,a loaf (bread),一塊(如麵包土司),,,,
'apocok,the very top of a mountain,山的尖頂，土堆尖形狀(如金字塔的尖端部份),,,,
'apol,white,lime paste made from burnt white stone soaked in water that becomes powder,,,,
'aporaw,hill-shaped ground,山丘,,,,
,to fill heaping full,堆積成山丘狀,,,,
'apsak,not enough water used in mixture as rice cooked without enough water,飯水分不足時，缺乏黏性,,,,
,something breaks apart from not being mixed right,東西因混合不當而互不相黏,,,,
'aramisit,a vegetable that looks like parsley,香菜,,,,
'arapar,sparks from fire,散發火星,,,,'anapar
'ararongac,Refer to 'adadongac,詳見 'adadongac,,,,'adadongac
'araw,seen * visible,看，視，窺,Pa'arawen kami toya nitatoyan iso.,Show us what you are holding.,請你把手上的東西顯示給我們看,"arawhani, pi'arawan, paka'araw"
,,,Pa'araw cingra to demak nira.,He revealed what he was doing.,他顯露他的作為(行為),
,,,saso'araw kita anini.,We get to see each other today.,今天我們彼此相遇,
'arawhani,instead * contrary to expectation,事實上，看起來，其實,,,,
,a grammatical connective indicating a reversal in the flow of events,然而，基於此，相形之下，卻見…,Tayra kami a milood cangraan.  'Arawhani papatapatay  cangra o Taroko.,We went to fight them.  Instead they the Taroko were killing themselves.,我們要去和他們打戰，卻見他們太魯閣族互相殘殺,'araw
'arawi,a word expressing warning or need to be careful,注意，小心，當心,,,,
,an expression suggesting that something bad may happen,勸告小心可能有不幸事件發生,,,,
'arawraw,round in one dimension (flat) * circle-shaped,圓的，圓形的,,,,
'ardet,a good kind of taste * delicious,香味十足的,,,,ka'so
'aredo,swamp grass * used in making things,蓆草(生長在水邊植物),,,,
'ari,break * referring to glass only,破碎,,,,kina'ari
'arikaya,a tall demon whose origin is in the trees * When he reveals himself to a person they become sick and die.,高如樹般的鬼魂之鬼名,,,,
'ariray,corn,玉米，玉蜀黍,,,,padaka
'ariri,granary * storeroom for grain of all kinds,穀倉,,,,
'arisaysay,Refer to 'arosaysay,詳見 'arosaysay,,,,'arosaysay
'arnim,the taste of something sour that is like liquor,酸，有一點酸,,,,
'aroril,Refer to 'alolil,詳見 'alolil,,,,'alolil
'arosaysay,a festival cape draped over the shoulders and covered with spangles,台東地區披肩形女舞裝,,,,'arisaysay
'arsak,to be dry from not having enough water in the mixture,水分不足(乾燥),Ma'arsak ko hemay.,The rice is hard and under-cooked.,白飯半生不熟,
,,,Ma'arsak ko amoto.,The cement doesn't have enough water in the mixture.,水泥無足夠的水，攪拌面乾裂,
'arsing,dew,露水，露珠,,,,'o'ol
'asad,a kernel of grain,舂米或碾米時未脫殼之穀粒,,,,safak
'asic,Refer to 'acis,詳見 'acis,,,,'acis
'asilo,lemon,檸檬樹(果),,,,
,mami'- an orange tree and fruit,柑橘,,,,
,the name of an Amis village * Asiloay,台東市豐年部落地名,,,,'asiro
'asiro,Lemon tree and its fruit,檸檬,,,,
,mami'- orange tree and fruit,柑橘,,,,'asilo
'asisiw,straw,稻草,,,,
'asolo,a wood or stone pestle used to mill rice,杵(阿美族固有的碾米用具)，石杵：製懦米糕舂擊用,,,,
'at'at,birth pains * to be in labor to deliver a baby,臨盆時的陣痛，分娩，生產,,,,
'atal,to scoop * method used to fill * to use hands or a paddle to fill,盛，裝，斟，舀,,,,
'atang,remnant of burnt wood * charcoal,木炭，燼炭,,,,
'atapa,a species of fish,一種特別的魚,,,,
'atay,liver,肝臟,,,,
'atem,pinched * caught between * referring to something large,捏住，挾住,,,,
'atikak,a large earthworm,蚯蚓,,,,
'atim,pinched * referring to something small,捏住，挾住,,,,
'atimela,fleas,跳蚤,,,,
'atip,a weaver's bar,織布棒，梭,,,,
'atipal,a bird * Chinese Bulbul,白頭翁,,,,"'anipal, 'antipal"
'atipil,straight up and down * perpendicular,扁平,,,,
,flat on one side up and down as the back of the head of a baby,嬰孩的頭扁平不正,,,,
'atipnoc,carpenter ants (Mycmellon formicarius),螞蟻之一(黑色刺人蟻),,,,
'atkak,hard with literal and figurative meanings,硬的(有知識，思想上的硬),'atkak ko faloco',stubborn * resistant,心硬，頑固，固執,
,,,'atkak ko 'aca,expensive,價錢昂貴,
'atol,a dam made of rocks piled up,用石頭築成的牆,'atol a kakoreng,edible plant * Climbing Fig,可食植物蔓榕(越橘葉蔓榕),ma'atolay
'atomo,a large earthen jar used by the Amis with a narrow neck and large round body,陶瓷甕，陶製水壺(婦女頂於頭頂，搬運食水之器皿),'atomo no riyar,Olaunpi fig,鵝巒榕(鵝巒鼻之無花果樹),
'atomoay,a plant called Slenderleaf anneslea,台灣安納土樹,,,,
'atoray,earthquake,地震,,,,lonen
'atoto,Caffre Lily * a shade flower (Clivia Miniata) Spider Lily,君子蘭，水仙,,,,wising
,a grass with roots shaped like sweet potatoes,喇叭花,,,,
'aw'aw,to bark * the noise of a dog,狗叫，狗吠,,,,pa'aw'aw
'awa,groin area,兩腿分叉的部位,,,,
'awas,to step over,跨步,,,,
'awming,flexible * easily bends,易彎曲的,,,,dawmi'
'ayam,bird * birds,飛禽之總稱,,,,
,chicken,雞,,,,
'ayaw,in front of ...,之前,,,,
,before,之前,,,,"i'ayaw, ka'ayaw, ki'ayaw, pa'ayaw, paki'ayaw, pasi'ayaw, pasasi'ayaw, patala'ayaw, si'ayawen, sa'ayaw, li'ayawen, sapa'ayaw"
'ca,negative particle,不是，不,aka ka 'ca,do by all means,不得不，不得不,caay
,,,caay ka 'ca,definitely,一定,
,,,O nika'caan pidemak ko nga'ay.,It is best not to do it.,最好不去做，不如不做。,
'cak,ripe * edible,成熟，可吃的,,,,
,cooked done,煮熟,,,,
'ced,black bumblebee,寄生於竹竿內的黑蜂,,,,
'ceng,to be blinded by light,目眩，光線刺眼,,,,
'cic,to singe * burn hair or feathers,毛髮被火燻焦,,,,
'co,an elephant (with light glottal sound),象(引自日語),,,,
,to advance taking for oneself with the advance,擠，推擠,Ma'co no 'aol ko nipalomaan a losay.,The bamboo crowds out fruit trees that were planted.,果樹被竹林擠掉,
'def,to spread out over the whole area,撒佈整個區域,,,,
,to close (heavy glottal stop),關閉,mi'def to loma',to close the house up,關閉門戶,"ledef, sa'edef"
,,,Mi'def ko simal to riyar.,The ocean has a large oil slick.,浮油佈滿海面,
'des,cruel,嚴厲，殘酷，兇悍,,,,
'did,Refer to emi,詳見 emi,,,,emi
'dong,a pair of arm coverings attached together,套袖(手臂套)筒袖,,,,
'dox,a plant called Rose Mallow * (Urena lobata) with berries,種子,,,,'dok
'eciw,a swishing sound,颼(鞭，翅膀等的聲音),,,,"sapa'eciw, rocwi"
'edaw,to fortune tell,卜卦，算命，祭祀用之木具,,,,"pa'edaw, mi'edaw"
'edil,glory * radiance,光亮，閃耀,,,,"ma'edilay, ci'edilay"
'edo,rat,老鼠,,,,
'ekak,to curse,咒詛 ，休克,,,,ma'ekak
'em'em,to keep to oneself worry or trouble,忍受痛苦或困難,,,,
'emamosa,the pupil of the eye,瞳孔,,,,
'emic,pinch * grab hold of,捏，捏住,,,,sa'emic
'enor,anchor of a ship or boat,錨,,,,"'enor, tnol, pa'enor"
