file,id,reason,retained,source_reading,ruling
Amis/Haba (1).xml,Wiki_Amis_Haba_,duplicate download of the same article,Amis/Haba.xml,byte-identical entire XML,2026-08-12
Amis/Mafana’ay_kiso_tono_mita_o_Pangcah’Amis_to_masamaanay_kopi_saroma’_to_kalo’aol_haw (1).xml,Wiki_Amis_Mafana’ay_kiso_tono_mita_o_Pangcah’Amis_to_masamaanay_kopi_saroma’_to_kalo’aol_haw_,duplicate download of the same article,Amis/Mafana’ay_kiso_tono_mita_o_Pangcah’Amis_to_masamaanay_kopi_saroma’_to_kalo’aol_haw.xml,byte-identical entire XML,2026-08-12
Amis/Oro’raw (1).xml,Wiki_Amis_Oro’raw_,duplicate download of the same article,Amis/Oro’raw.xml,byte-identical entire XML,2026-08-12
Amis/Saasik_ni_mamo (1).xml,Wiki_Amis_Saasik_ni_mamo_,duplicate download of the same article,Amis/Saasik_ni_mamo.xml,byte-identical entire XML,2026-08-12
Amis/Samaanen_milekakawa_“Misatatad_to_Taywan” (1).xml,Wiki_Amis_Samaanen_milekakawa_“Misatatad_to_Taywan”_,duplicate download of the same article,Amis/Samaanen_milekakawa_“Misatatad_to_Taywan”.xml,byte-identical entire XML,2026-08-12
Atayal/msin (2).xml,Wiki_Atayal_msin_,duplicate download of the same article,Atayal/msin (1).xml,byte-identical entire XML,2026-08-12
Atayal/ulah_nqu_kay'_mqumah (1).xml,Wiki_Atayal_ulah_nqu_kay'_mqumah_,duplicate download of the same article,Atayal/ulah_nqu_kay'_mqumah.xml,byte-identical entire XML,2026-08-12
Sakizaya/Oro’raw (2).xml,Wiki_Sakizaya_Oro’raw_,duplicate download of the same article,Sakizaya/Oro’raw (1).xml,byte-identical entire XML,2026-08-12
"Sakizaya/anu_caay_kalacawaw_,_mahica_mala_misitekeday_a_cabay (1).xml","Wiki_Sakizaya_anu_caay_kalacawaw_,_mahica_mala_misitekeday_a_cabay_",duplicate download of the same article,"Sakizaya/anu_caay_kalacawaw_,_mahica_mala_misitekeday_a_cabay.xml",byte-identical entire XML,2026-08-12
Sakizaya/anu_maydih_kisu_tu_adipapang_kanca_pinanami_a_paluma_tu_balu (1).xml,Wiki_Sakizaya_anu_maydih_kisu_tu_adipapang_kanca_pinanami_a_paluma_tu_balu_,duplicate download of the same article,Sakizaya/anu_maydih_kisu_tu_adipapang_kanca_pinanami_a_paluma_tu_balu.xml,byte-identical entire XML,2026-08-12
Sakizaya/anu_sigang_samengmeng_han_henay_saka_tinusa (1).xml,Wiki_Sakizaya_anu_sigang_samengmeng_han_henay_saka_tinusa_,duplicate download of the same article,Sakizaya/anu_sigang_samengmeng_han_henay_saka_tinusa.xml,byte-identical entire XML,2026-08-12
"Sakizaya/caay_kaku_kabalaki,_eiyda_sa_balaki_ku_mihca_aku (1).xml","Wiki_Sakizaya_caay_kaku_kabalaki,_eiyda_sa_balaki_ku_mihca_aku_",duplicate download of the same article,"Sakizaya/caay_kaku_kabalaki,_eiyda_sa_balaki_ku_mihca_aku.xml",byte-identical entire XML,2026-08-12
Sakizaya/haba (1).xml,Wiki_Sakizaya_haba_,duplicate download of the same article,Sakizaya/haba.xml,byte-identical entire XML,2026-08-12
Sakizaya/i_cuwa_tu_ci_Wyli (1).xml,Wiki_Sakizaya_i_cuwa_tu_ci_Wyli_,duplicate download of the same article,Sakizaya/i_cuwa_tu_ci_Wyli.xml,byte-identical entire XML,2026-08-12
Sakizaya/idaw_kisu_itebun_haw (1).xml,Wiki_Sakizaya_idaw_kisu_itebun_haw_,duplicate download of the same article,Sakizaya/idaw_kisu_itebun_haw.xml,byte-identical entire XML,2026-08-12
Sakizaya/kinapina_muisi` (1).xml,Wiki_Sakizaya_kinapina_muisi`_,duplicate download of the same article,Sakizaya/kinapina_muisi`.xml,byte-identical entire XML,2026-08-12
Sakizaya/masasudih_madayum_maladay_tu_utiih (1).xml,Wiki_Sakizaya_masasudih_madayum_maladay_tu_utiih_,duplicate download of the same article,Sakizaya/masasudih_madayum_maladay_tu_utiih.xml,byte-identical entire XML,2026-08-12
Sakizaya/mipitulikan_ni_Yu_Ku_Tipus_Sayun-matinengay_mi_sangaay_tu_luma'mahamintu_nizaamuliays_i (1).xml,Wiki_Sakizaya_mipitulikan_ni_Yu_Ku_Tipus_Sayun-matinengay_mi_sangaay_tu_luma'mahamintu_nizaamuliays_i_,duplicate download of the same article,Sakizaya/mipitulikan_ni_Yu_Ku_Tipus_Sayun-matinengay_mi_sangaay_tu_luma'mahamintu_nizaamuliays_i.xml,byte-identical entire XML,2026-08-12
Sakizaya/mipitulikan_ni_Yuku_Tipus_Sayun-mizizaw_ci_bakian (1).xml,Wiki_Sakizaya_mipitulikan_ni_Yuku_Tipus_Sayun-mizizaw_ci_bakian_,duplicate download of the same article,Sakizaya/mipitulikan_ni_Yuku_Tipus_Sayun-mizizaw_ci_bakian.xml,byte-identical entire XML,2026-08-12
