rule_id,file,s_id,character,position
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Kenya.xml,0,ˈ,644
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Kenya.xml,0,ˈ,665
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Ghana.xml,0,ˈ,605
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Angola.xml,0,*,12654
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Angola.xml,0,*,12660
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Ukraine.xml,0,ˈ,657
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Estonia.xml,0,ˈ,707
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Kanada.xml,0,ˈ,608
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/New_Zealand.xml,0,*,8786
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/New_Zealand.xml,0,*,8836
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/New_Zealand.xml,0,*,8905
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/New_Zealand.xml,0,*,9048
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/New_Zealand.xml,0,*,9063
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/New_Zealand.xml,0,*,9095
c022,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/New_Zealand.xml,0,*,9209
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patis_hengak_skklangan.xml,0,ㄩ,1305
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Alexander_Van_der_Bellen.xml,0,ˈ,120
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Alexander_Van_der_Bellen.xml,0,ˈ,137
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Miloš_Zeman.xml,0,ˈ,283
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Miloš_Zeman.xml,0,ˈ,290
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Honduras.xml,0,ˈ,1113
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Knklaan_hengak.xml,0,ˈ,49
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Moldova.xml,0,ˈ,681
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Greece.xml,0,ˈ,649
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Greece.xml,0,ˈ,660
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Greece.xml,0,ˈ,717
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Greece.xml,0,ˈ,757
