finding	rule	output_path	s_id	resolution	source_evidence
1	non_formosan_script_in_source	XML/Atayal/20181228_yutasWilang_01_kinhulan_zuyuzimuwancheng.xml	Atayal_9	accepted source-authentic code-switch	Pinned raw caption at 26.68 seconds contains the Mandarin character 來 inside the spoken line.
2	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_31	accepted source-authentic Japanese annotation	Pinned raw caption at 109.06 seconds includes 日: ちょっと.
3	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_33	accepted source-authentic Japanese annotation	Pinned raw caption at 116.78 seconds includes きゅうじ and 学校のきゅうじ.
4	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_34	accepted source-authentic Japanese annotation	Pinned raw caption at 121.82 seconds includes 日:先生.
5	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_45	accepted source-authentic Japanese annotation	Pinned raw caption at 141.02 seconds includes two きゅうじ annotations.
6	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_48	accepted source-authentic Japanese lyric	Pinned raw caption at 161.5 seconds is a Japanese song line.
7	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_49	accepted source-authentic Japanese lyric	Pinned raw caption at 174.48 seconds is a Japanese song line.
8	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_50	accepted source-authentic Japanese lyric	Pinned raw caption at 186.56 seconds is a Japanese song line.
9	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_51	accepted source-authentic Japanese lyric	Pinned raw caption at 199.44 seconds is a Japanese song line.
10	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_61	accepted source-authentic Japanese annotation	Pinned raw caption at 228.54 seconds includes 日: あれ.
11	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_62	accepted source-authentic Japanese annotation	Pinned raw caption at 235.2 seconds includes two おとめ annotations.
12	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_66	accepted source-authentic Japanese annotation	Pinned raw caption at 246.92 seconds includes 日: ちょっと.
13	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_68	accepted source-authentic Japanese annotation	Pinned raw caption at 253.4 seconds includes 日: 渡る.
14	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_72	accepted source-authentic Japanese annotation	Pinned raw caption at 266.68 seconds includes 日: おとめ.
15	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_80	accepted source-authentic Japanese speech	Pinned raw caption at 287.4 seconds is Japanese speech.
16	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_81	accepted source-authentic Japanese speech	Pinned raw caption at 289.52 seconds is Japanese speech.
17	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_82	accepted source-authentic Japanese code-switch	Pinned raw caption at 290.78 seconds includes そうですか and 日: 中国.
18	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_83	accepted source-authentic Japanese annotation	Pinned raw caption at 297.4 seconds includes 日: 中国.
19	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_85	accepted source-authentic Japanese annotations	Pinned raw caption at 298.64 seconds includes 日: だから and 日: 3回.
20	non_formosan_script_in_source	XML/Atayal/20190209_YutasWilang_ki_Yagu_04_disiduan_Sayun.xml	Atayal_86	accepted source-authentic Japanese annotation	Pinned raw caption at 302.62 seconds includes the empty 日: annotation marker.
21	obvious_alignment_mismatch	XML/Atayal/muqianxianzuozhepian_20160525_binkafeifangtan_Yutas_Wilang_muqianxianzuozhepian.xml	Atayal_110	fixed editorial placeholder typing	Pinned raw line after the 492.32-second caption is the editorial marker (再確認), not a free translation; it is preserved in FORM notes and omitted from TRANSL.
