source_s_id	output_s_ids	status	reason
S668_1	S668_1	included	source_record_preserved
S667_1	S667_1	included	source_record_preserved
S666_1	S666_1	included	source_record_preserved
S664665_1	S664665_1	included	source_record_preserved
S664665_2	S664665_2	included	source_record_preserved
S660661662663_1	S660661662663_1	included	source_record_preserved
S660661662663_2	S660661662663_2	included	source_record_preserved
S660661662663_3	S660661662663_3	included	source_record_preserved
S660661662663_4	S660661662663_4	included	source_record_preserved
S659_1	S659_1	included	source_record_preserved
S657658_1	S657658_1	included	source_record_preserved
S657658_2	S657658_2	included	source_record_preserved
S656_1	S656_1	included	source_record_preserved
S655_1	S655_1	included	source_record_preserved
S652653654_1	S652653654_1	included	source_record_preserved
S652653654_2	S652653654_2	included	source_record_preserved
S652653654_3	S652653654_3	included	source_record_preserved
S650651_1	S650651_1	included	source_record_preserved
S650651_2	S650651_2	included	source_record_preserved
S649_1	S649_1	included	source_record_preserved
S648_1	S648_1	included	source_record_preserved
S646647_1	S646647_1	included	source_record_preserved
S646647_2	S646647_2	included	source_record_preserved
S644645_1	S644645_1	included	source_record_preserved
S644645_2	S644645_2	included	source_record_preserved
S643_1	S643_1	included	source_record_preserved
S641642_1	S641642_1	included	source_record_preserved
S641642_2	S641642_2	included	source_record_preserved
S640_1	S640_1	included	source_record_preserved
S639_1	S639_1	included	source_record_preserved
S638_1	S638_1	included	source_record_preserved
S636637_1	S636637_1	included	source_record_preserved
S636637_2	S636637_2	included	source_record_preserved
S634635_1	S634635_1	included	source_record_preserved
S634635_2	S634635_2	included	source_record_preserved
S632633_1	S632633_1	included	source_record_preserved
S632633_2	S632633_2	included	source_record_preserved
S631_1	S631_1	included	source_record_preserved
S629630_1	S629630_1	included	source_record_preserved
S629630_2	S629630_2	included	source_record_preserved
S628_1	S628_1	included	source_record_preserved
S627_1	S627_1	included	source_record_preserved
S626_1	S626_1	included	source_record_preserved
S624625_1	S624625_1	included	source_record_preserved
S624625_2	S624625_2	included	source_record_preserved
S623_1	S623_1	included	source_record_preserved
S622_1	S622_1	included	source_record_preserved
S621_1	S621_1	included	source_record_preserved
S620_1	S620_1	included	source_record_preserved
S618619_1	S618619_1	included	source_record_preserved
S618619_2	S618619_2	included	source_record_preserved
S617_1	S617_1	included	source_record_preserved
S615616_1	S615616_1	included	source_record_preserved
S615616_2	S615616_2	included	source_record_preserved
S614_1	S614_1	included	source_record_preserved
S613_1	S613_1	included	source_record_preserved
S612_1	S612_1	included	source_record_preserved
S611_1	S611_1	included	source_record_preserved
S610_1	S610_1	included	source_record_preserved
S609_1	S609_1	included	source_record_preserved
S608_1	S608_1	included	source_record_preserved
S607_1	S607_1	included	source_record_preserved
S606_1	S606_1	included	source_record_preserved
S604605_1	S604605_1	included	source_record_preserved
S604605_2	S604605_2	included	source_record_preserved
S603_1	S603_1	included	source_record_preserved
S602_1	S602_1	included	source_record_preserved
S601_1	S601_1	included	source_record_preserved
S600_1	S600_1	included	source_record_preserved
S598599_1	S598599_1	included	source_record_preserved
S598599_2	S598599_2	included	source_record_preserved
S597_1	S597_1	included	source_record_preserved
S596_1	S596_1	included	source_record_preserved
S595_1	S595_1	included	source_record_preserved
S594_1	S594_1	included	source_record_preserved
S593_1	S593_1	included	source_record_preserved
S592_1	S592_1	included	source_record_preserved
S591_1	S591_1	included	source_record_preserved
S590_1	S590_1	included	source_record_preserved
S589_1	S589_1	included	source_record_preserved
S588_1	S588_1	included	source_record_preserved
S587_1	S587_1	included	source_record_preserved
S586_1	S586_1	included	source_record_preserved
S585_1	S585_1	included	source_record_preserved
S584_1	S584_1	included	source_record_preserved
S583_1	S583_1	included	source_record_preserved
S582_1	S582_1	included	source_record_preserved
S581_1	S581_1	included	source_record_preserved
S580_1	S580_1	included	source_record_preserved
S579_1	S579_1	included	source_record_preserved
S578_1	S578_1	included	source_record_preserved
S577_1	S577_1	included	source_record_preserved
S576_1	S576_1	included	source_record_preserved
S575_1	S575_1	included	source_record_preserved
S574_1	S574_1	included	source_record_preserved
S573_1	S573_1	included	source_record_preserved
S572_1	S572_1	included	source_record_preserved
S571_1	S571_1	included	source_record_preserved
S570_1	S570_1	included	source_record_preserved
S569_1	S569_1	included	source_record_preserved
S568_1	S568_1	included	source_record_preserved
S567_1	S567_1	included	source_record_preserved
S566_1	S566_1	included	source_record_preserved
S565_1	S565_1	included	source_record_preserved
S564_1	S564_1	included	source_record_preserved
S563_1	S563_1	included	source_record_preserved
S562_1	S562_1	included	source_record_preserved
S561_1	S561_1	included	source_record_preserved
S560_1	S560_1	included	source_record_preserved
S559_1	S559_1	included	source_record_preserved
S558_1	S558_1	included	source_record_preserved
S557_1	S557_1	included	source_record_preserved
S556_1	S556_1	included	source_record_preserved
S555_1	S555_1	included	source_record_preserved
S554_1	S554_1	included	source_record_preserved
S551552553_1	S551552553_1	included	source_record_preserved
S550_1	S550_1	included	source_record_preserved
S549_1	S549_1	included	source_record_preserved
S548_1	S548_1	included	source_record_preserved
S547_1	S547_1	included	source_record_preserved
S546_1	S546_1	included	source_record_preserved
S545_1	S545_1	included	source_record_preserved
S545_2	S545_2	included	source_record_preserved
S545_3	S545_3	included	source_record_preserved
S545_4	S545_4	included	source_record_preserved
S545_5	S545_5	included	source_record_preserved
S545_6	S545_6	included	source_record_preserved
S545_7	S545_7	included	source_record_preserved
S545_8	S545_8	included	source_record_preserved
S544_1	S544_1	included	source_record_preserved
S542_1	S542_1	included	source_record_preserved
S541_1	S541_1	included	source_record_preserved
S540_1	S540_1	included	source_record_preserved
S539_1	S539_1	included	source_record_preserved
S538_1	S538_1	included	source_record_preserved
S537_1	S537_1	included	source_record_preserved
S536_1	S536_1	included	source_record_preserved
S535_1	S535_1;S535_1b	expanded_source_alternatives	split_tjangtjang_siyak
S534_1	S534_1	included	source_record_preserved
S533_1	S533_1	included	source_record_preserved
S532_1	S532_1	included	source_record_preserved
S531_1	S531_1	included	source_record_preserved
S530_1	S530_1	included	source_record_preserved
S529_1	S529_1	included	source_record_preserved
S528_1	S528_1	included	source_record_preserved
S527_1	S527_1	included	source_record_preserved
S526_1	S526_1	included	source_record_preserved
