s_id	resolution	source_url	frozen_translation	translation	evidence
S664665_1	restored_omitted_source_translation	https://yeddapalemeq.blogspot.com/2022/01/paiwan-every-day-664665-pai.html		thus, hence, thereupon, consequently, accordingly, as a result	The live source defines the standalone pai entry with this English gloss.
S545_1	restored_omitted_source_translation	https://yeddapalemeq.blogspot.com/2021/09/paiwan-every-day-545-maya.html		like this, as follows	The live source gives this definition beside the maya tucu example.
S545_2	restored_omitted_source_translation	https://yeddapalemeq.blogspot.com/2021/09/paiwan-every-day-545-maya.html		like that, that is the way	The live source gives this definition beside the maya tuazua example.
S545_3	restored_omitted_source_translation	https://yeddapalemeq.blogspot.com/2021/09/paiwan-every-day-545-maya.html		the same as	The live source gives this definition beside the namaya example.
S545_4	restored_omitted_source_translation	https://yeddapalemeq.blogspot.com/2021/09/paiwan-every-day-545-maya.html		alright then, if it is this way	The live source gives this definition beside the ui, nu maya example.
S545_5	restored_omitted_source_translation	https://yeddapalemeq.blogspot.com/2021/09/paiwan-every-day-545-maya.html		don't leave!	The live source gives this definition beside the maya vaik example.
S545_6	restored_omitted_source_translation	https://yeddapalemeq.blogspot.com/2021/09/paiwan-every-day-545-maya.html		there is no restriction on it.	The live source gives this definition beside the inika pumaya example.
S545_7	restored_omitted_source_translation	https://yeddapalemeq.blogspot.com/2021/09/paiwan-every-day-545-maya.html		I don't care; it doesn't matter	The live source gives this definition beside the pumayan example.
S545_8	restored_omitted_source_translation	https://yeddapalemeq.blogspot.com/2021/09/paiwan-every-day-545-maya.html		not yet! wait a bit!	The live source gives this definition beside the mayanan example.
S538_1	separated_free_translation_from_word_gloss	https://yeddapalemeq.blogspot.com/2021/08/paiwan-every-day-538-au-qau.html	Clouded-leopard roars, then the little girl got scared, and look, she runs to hide in the hut. qau: bamboo There is a lot of bamboos here.	Clouded-leopard roars, then the little girl got scared, and look, she runs to hide in the hut. There is a lot of bamboos here.	The live source gives two free translations and labels qau: bamboo separately before the second example.
S168_1	restored_omitted_translation_lines	https://yeddapalemeq.blogspot.com/2020/08/paiwan-every-day-168-mapida.html	How many are you as a family?	How many are you as a family? How many siblings do you have? How many friends do you have?	The live source prints three Paiwan questions and three English lines.
S170_1	restored_omitted_translation_lines	https://yeddapalemeq.blogspot.com/2020/08/paiwan-every-day-170-anema-kudakudain.html	What are you doing?	What are you doing? I am studying the Paiwan language.	The live source prints two Paiwan sentences and two English lines.
S85_1	restored_omitted_translation_lines	https://yeddapalemeq.blogspot.com/2020/05/paiwan-every-day-85-nakuya.html	Do not hurt others.	Do not hurt others. Do not abuse our own.	The live source prints two Paiwan clauses and two English lines.
S78_1	restored_omitted_translation_lines	https://yeddapalemeq.blogspot.com/2020/05/paiwan-every-day-78-paiwan-tjen-mapuljat.html	Let us all sing,	Let us all sing, Hope we will have fun. Let us dance together, We are all Paiwan.	The live source prints four Paiwan lines and four English lines.
S71_1	restored_omitted_translation_lines	https://yeddapalemeq.blogspot.com/2020/05/paiwan-every-day-71-kudraw-kuzulj-siva.html	Do you know what's happening with COVID-19 in the United States now?	Do you know what's happening with COVID-19 in the United States now? How are the people, those who are infected? Those who have died of COVID-19 in the United States amount to 85,905.	The live source prints three questions or statements and three English lines.
S39_1	restored_truncated_source_translation	https://yeddapalemeq.blogspot.com/2020/04/paiwan-every-day-39.html	The custom that we take	The custom that we take naming people seriously has a very long history.	The frozen scrape stopped at a source line break inside the English sentence.
S38_1	restored_truncated_source_translation	https://yeddapalemeq.blogspot.com/2020/04/paiwan-every-day-38.html	There are many different indigenous peoples	There are many different indigenous peoples here in Taiwan.	The frozen scrape stopped at a source line break inside the English sentence.
S37_1	restored_omitted_translation_lines	https://yeddapalemeq.blogspot.com/2020/04/paiwan-every-day-37.html	Where are you from? (polite)	Where are you from? (polite) Who are you? (unexpected and annoyed)	The live source prints two Paiwan questions and two English lines.
S35_1	restored_omitted_translation_lines	https://yeddapalemeq.blogspot.com/2020/04/paiwan-every-day-35.html	I am a child of Paiwan in Taiwan.	I am a child of Paiwan in Taiwan. My skin is dark too, but I didn't accuse Director-General Tedros (of being a nigger). Please do not mislead the world, DG Tedros. Come to visit our village in Taiwan. Thank you.	The live source prints five Paiwan lines and five English lines; the source bracketed aside is normalized to parentheses.
S34_1	restored_omitted_translation_lines	https://yeddapalemeq.blogspot.com/2020/04/paiwan-every-day-34.html	What is this? This is a book.	What is this? This is a book. What is this? This is pineapple. What is this? This is a telephone. What is this? This is a river.	The live source prints four Paiwan pairs and four English pairs.
