idx,dialect,glottocode
01,Southern_Amis,sout2929
02,Xiuguluan_Amis,nat1254
03,Coastal_Amis,cent2104
04,Malan_Amis,sout2929
05,Hengchun_Amis,sout2929
06,Sekolik_Atayal,
07,Zeaol_Atayal,
08,Wenshui_Atayal,
09,Wanda_Atayal,
10,FourSeasons_Atayal,
11,YilanZeaol_Atayal,
13,Saisiyat,
14,Thao,
15,Duda_Seediq,teud1237
16,Tegudaya_Seediq,teke1282
17,DeluValley_Seediq,teru1237
18,Zhuoqun_Bunun,taki1252
19,Kaqun_Bunun,taki1251
20,Tanqun_Bunun,tako1237
21,Luanqun_Bunun,
22,Junqun_Bunun,sout2930
23,Eastern_Paiwan,
24,Northern_Paiwan,
25,Central_Paiwan,
26,Southern_Paiwan,
27,Eastern_Rukai,tana1287
28,Wutai_Rukai,buda1252
29,Dawu_Rukai,labu1252
30,Dona_Rukai,dona1238
31,Maolin_Rukai,maga1265
32,Wanshan_Rukai,mant1271
33,Truku,
34,Kavalan,
35,Tsou,
36,Kanakanavu,
37,Saaroa,
38,Nanwang_Puyuma,nanw1237
39,Zhiben_Puyuma,
40,Xiqun_Puyuma,
41,Jianhe_Puyuma,
42,Yami,
43,Sakizaya,
