"cacay","one","一","https://ilrdc.tw/tow/2022/audio/word/1/01_01.wav"
"tusa","two","二","https://ilrdc.tw/tow/2022/audio/word/1/01_02.wav"
"tulu","three","三","https://ilrdc.tw/tow/2022/audio/word/1/01_03.wav"
"sepat","four","四","https://ilrdc.tw/tow/2022/audio/word/1/01_04.wav"
"lima","five","五","https://ilrdc.tw/tow/2022/audio/word/1/01_05.wav"
"enem","six","六","https://ilrdc.tw/tow/2022/audio/word/1/01_06.wav"
"pitu","seven","七","https://ilrdc.tw/tow/2022/audio/word/1/01_07.wav"
"walu","eight","八","https://ilrdc.tw/tow/2022/audio/word/1/01_08.wav"
"siwa","nine","九","https://ilrdc.tw/tow/2022/audio/word/1/01_09.wav"
"muketep","ten","十","https://ilrdc.tw/tow/2022/audio/word/1/01_10.wav"
"savaw tu cacay","eleven","十一","https://ilrdc.tw/tow/2022/audio/word/1/01_11.wav"
"savaw tu tusa","twelve","十二","https://ilrdc.tw/tow/2022/audio/word/1/01_12.wav"
"savaw tu tulu ","thirteen","十三","https://ilrdc.tw/tow/2022/audio/word/1/01_13.wav"
"savaw tu sepat","fourteen","十四","https://ilrdc.tw/tow/2022/audio/word/1/01_14.wav"
"savaw tu lima","fifteen","十五","https://ilrdc.tw/tow/2022/audio/word/1/01_15.wav"
"savaw tu enem","sixteen","十六","https://ilrdc.tw/tow/2022/audio/word/1/01_16.wav"
"savaw tu pitu","seventeen","十七","https://ilrdc.tw/tow/2022/audio/word/1/01_17.wav"
"savaw tu walu","eighteen","十八","https://ilrdc.tw/tow/2022/audio/word/1/01_18.wav"
"savaw tu siwa","nineteen","十九","https://ilrdc.tw/tow/2022/audio/word/1/01_19.wav"
"tusa a pulu’","twenty","二十  ","https://ilrdc.tw/tow/2022/audio/word/1/01_20.wav"
"tusa a pulu’ ira ku cacay","twenty one","二十一","https://ilrdc.tw/tow/2022/audio/word/1/01_21.wav"
"tusa a pulu’ ira ku tusa","twenty two","二十二","https://ilrdc.tw/tow/2022/audio/word/1/01_22.wav"
"tusa a pulu’ ira ku tulu ","twenty three","二十三","https://ilrdc.tw/tow/2022/audio/word/1/01_23.wav"
"tusa a pulu’ ira ku sepat","twenty four","二十四","https://ilrdc.tw/tow/2022/audio/word/1/01_24.wav"
"tusa a pulu’ ira ku lima","twenty five","二十五","https://ilrdc.tw/tow/2022/audio/word/1/01_25.wav"
"tulu a pulu’","thirty","三十","https://ilrdc.tw/tow/2022/audio/word/1/01_26.wav"
"tulu a pulu’ ira ku cacay","thirty one","三十一","https://ilrdc.tw/tow/2022/audio/word/1/01_27.wav"
"sepat a pulu’","forty","四十","https://ilrdc.tw/tow/2022/audio/word/1/01_28.wav"
"lima a pulu’","fifty","五十","https://ilrdc.tw/tow/2022/audio/word/1/01_29.wav"
"enem a pulu’","sixty","六十","https://ilrdc.tw/tow/2022/audio/word/1/01_30.wav"
"pitu a pulu’","seventy","七十","https://ilrdc.tw/tow/2022/audio/word/1/01_31.wav"
"walu a pulu’","eighty","八十","https://ilrdc.tw/tow/2022/audio/word/1/01_32.wav"
"siwa a pulu’","ninety","九十","https://ilrdc.tw/tow/2022/audio/word/1/01_33.wav"
"patekenan","hundred","百","https://ilrdc.tw/tow/2022/audio/word/1/01_34.wav"
"cacay a patekenan","one hundred","一百","https://ilrdc.tw/tow/2022/audio/word/1/01_35.wav"
"tusa a patekenan","two hundred","兩百","https://ilrdc.tw/tow/2022/audio/word/1/01_36.wav"
"cacay a malevut","one thousand","一千","https://ilrdc.tw/tow/2022/audio/word/1/01_37.wav"
"hatini","some","一些","https://ilrdc.tw/tow/2022/audio/word/1/01_38.wav"
"kinacacay ","once","一次","https://ilrdc.tw/tow/2022/audio/word/1/01_39.wav"
"vulilan ","bunch","一串","https://ilrdc.tw/tow/2022/audio/word/1/01_40.wav"
"kalumaanay ","kind","種類","https://ilrdc.tw/tow/2022/audio/word/1/01_41.wav"
"maramud","pair","一對","https://ilrdc.tw/tow/2022/audio/word/1/01_42.wav"
"amin","entire","全部","https://ilrdc.tw/tow/2022/audio/word/1/01_43.wav"
"adidik","a little bit","一點點","https://ilrdc.tw/tow/2022/audio/word/1/01_44.wav"
"latusa","half","一半","https://ilrdc.tw/tow/2022/audio/word/1/01_45.wav"
"kisu ","you","你 ","https://ilrdc.tw/tow/2022/audio/word/1/02_01.wav"
"kaku ","I","我","https://ilrdc.tw/tow/2022/audio/word/1/02_02.wav"
"cira","he","他","https://ilrdc.tw/tow/2022/audio/word/1/02_03.wav"
"kamu ","you guys","你們","https://ilrdc.tw/tow/2022/audio/word/1/02_04.wav"
"kami ","us","我們","https://ilrdc.tw/tow/2022/audio/word/1/02_05.wav"
"heni","they","他們","https://ilrdc.tw/tow/2022/audio/word/1/02_06.wav"
"nu namu","yours","你們的","https://ilrdc.tw/tow/2022/audio/word/1/02_07.wav"
"nu mita","our","我們的","https://ilrdc.tw/tow/2022/audio/word/1/02_08.wav"
"nu heni","their","他們的","https://ilrdc.tw/tow/2022/audio/word/1/02_09.wav"
"nu misu","your","你的","https://ilrdc.tw/tow/2022/audio/word/1/02_10.wav"
"nu maku","mine","我的","https://ilrdc.tw/tow/2022/audio/word/1/02_11.wav"
"nu nira","his","他的","https://ilrdc.tw/tow/2022/audio/word/1/02_12.wav"
"kita ","we (excluded)","我們(排除式)","https://ilrdc.tw/tow/2022/audio/word/1/02_13.wav"
"kami ","let’s (inclusive)","咱們(包含式)","https://ilrdc.tw/tow/2022/audio/word/1/02_14.wav"
" nu niyam","ours","咱們的","https://ilrdc.tw/tow/2022/audio/word/1/02_15.wav"
"iraan","that","那個","https://ilrdc.tw/tow/2022/audio/word/1/02_16.wav"
"kiniyan","this one","這個","https://ilrdc.tw/tow/2022/audio/word/1/02_17.wav"
"itini","here","這裡","https://ilrdc.tw/tow/2022/audio/word/1/02_18.wav"
"itila","there","那裡","https://ilrdc.tw/tow/2022/audio/word/1/02_19.wav"
"mahaen","(like) this","(像)這樣","https://ilrdc.tw/tow/2022/audio/word/1/02_20.wav"
"pina ","how much","多少","https://ilrdc.tw/tow/2022/audio/word/1/03_01.wav"
"maan ","what","什麼","https://ilrdc.tw/tow/2022/audio/word/1/03_02.wav"
"mamaan","how","如何","https://ilrdc.tw/tow/2022/audio/word/1/03_03.wav"
"a hacuwa","when (not happening)","何時(未發生)","https://ilrdc.tw/tow/2022/audio/word/1/03_04.wav"
"cima","who","誰","https://ilrdc.tw/tow/2022/audio/word/1/03_05.wav"
"icuwaan","which one","哪一個","https://ilrdc.tw/tow/2022/audio/word/1/03_06.wav"
"icuwa","where","哪裡","https://ilrdc.tw/tow/2022/audio/word/1/03_07.wav"
"nu nima","Whose is it?","是誰的","https://ilrdc.tw/tow/2022/audio/word/1/03_08.wav"
"mamaan","what","怎麼","https://ilrdc.tw/tow/2022/audio/word/1/03_09.wav"
"pina","how much","多少(歲；物)","https://ilrdc.tw/tow/2022/audio/word/1/03_10.wav"
"papina","how much (degree size)"," 多少(程度大小)","https://ilrdc.tw/tow/2022/audio/word/1/03_11.wav"
"icuwa","where","什麼地方","https://ilrdc.tw/tow/2022/audio/word/1/03_12.wav"
"nahacuwa ","when (has happened)","何時(已發生)","https://ilrdc.tw/tow/2022/audio/word/1/03_13.wav"
"kiya","why","為什麼","https://ilrdc.tw/tow/2022/audio/word/1/03_14.wav"
"ama ","dad","爸爸","https://ilrdc.tw/tow/2022/audio/word/1/04_01.wav"
"ina ","mom","媽媽","https://ilrdc.tw/tow/2022/audio/word/1/04_02.wav"
" pusadak nu malekakaay","cousins","堂、表兄弟姐妹","https://ilrdc.tw/tow/2022/audio/word/1/04_03.wav"
"vaki","male elder (grandfather; father-in-law)","男性長輩(祖父；外公；岳父)","https://ilrdc.tw/tow/2022/audio/word/1/04_04.wav"
"vayi","female elder (grandmother; mother-in-law)","女性長輩(祖母；外婆；岳母)","https://ilrdc.tw/tow/2022/audio/word/1/04_05.wav"
"laluma’an","relative","親戚","https://ilrdc.tw/tow/2022/audio/word/1/04_06.wav"
