"qutux","one","一","https://ilrdc.tw/tow/2022/audio/word/6/01_01.wav"
"sazing","two","二","https://ilrdc.tw/tow/2022/audio/word/6/01_02.wav"
"cyugal","three","三","https://ilrdc.tw/tow/2022/audio/word/6/01_03.wav"
"payat","four","四","https://ilrdc.tw/tow/2022/audio/word/6/01_04.wav"
"zmagal","five","五","https://ilrdc.tw/tow/2022/audio/word/6/01_05.wav"
"mtzyu’","six","六","https://ilrdc.tw/tow/2022/audio/word/6/01_06.wav"
"mpitu’","seven","七","https://ilrdc.tw/tow/2022/audio/word/6/01_07.wav"
"mspat","eight","八","https://ilrdc.tw/tow/2022/audio/word/6/01_08.wav"
"mqeru’","nine","九","https://ilrdc.tw/tow/2022/audio/word/6/01_09.wav"
"mopuw","ten","十","https://ilrdc.tw/tow/2022/audio/word/6/01_10.wav"
"mopuw qutux","eleven","十一","https://ilrdc.tw/tow/2022/audio/word/6/01_11.wav"
"mopuw sazing","twelve","十二","https://ilrdc.tw/tow/2022/audio/word/6/01_12.wav"
"mopuw cyugal","thirteen","十三","https://ilrdc.tw/tow/2022/audio/word/6/01_13.wav"
"mopuw payat","fourteen","十四","https://ilrdc.tw/tow/2022/audio/word/6/01_14.wav"
"mopuw zmagal","fifteen","十五","https://ilrdc.tw/tow/2022/audio/word/6/01_15.wav"
"mopuw tzyu’","sixteen","十六","https://ilrdc.tw/tow/2022/audio/word/6/01_16.wav"
"mopuw pitu’","seventeen","十七","https://ilrdc.tw/tow/2022/audio/word/6/01_17.wav"
"mopuw spat","eighteen","十八","https://ilrdc.tw/tow/2022/audio/word/6/01_18.wav"
"mopuw qeru’","nineteen","十九","https://ilrdc.tw/tow/2022/audio/word/6/01_19.wav"
"mpusal","twenty","二十  ","https://ilrdc.tw/tow/2022/audio/word/6/01_20.wav"
"mpusal qutux","twenty one","二十一","https://ilrdc.tw/tow/2022/audio/word/6/01_21.wav"
"mpusal sazing","twenty two","二十二","https://ilrdc.tw/tow/2022/audio/word/6/01_22.wav"
"mpusal cyugal","twenty three","二十三","https://ilrdc.tw/tow/2022/audio/word/6/01_23.wav"
"mpusal payat","twenty four","二十四","https://ilrdc.tw/tow/2022/audio/word/6/01_24.wav"
"mpusal zmagal","twenty five","二十五","https://ilrdc.tw/tow/2022/audio/word/6/01_25.wav"
"mtzyul","thirty","三十","https://ilrdc.tw/tow/2022/audio/word/6/01_26.wav"
"mtzyul qutux","thirty one","三十一","https://ilrdc.tw/tow/2022/audio/word/6/01_27.wav"
"mpatul","forty","四十","https://ilrdc.tw/tow/2022/audio/word/6/01_28.wav"
"mzimal","fifty","五十","https://ilrdc.tw/tow/2022/audio/word/6/01_29.wav"
"mtzyu’ pgan","sixty","六十","https://ilrdc.tw/tow/2022/audio/word/6/01_30.wav"
"mpitu’ pgan","seventy","七十","https://ilrdc.tw/tow/2022/audio/word/6/01_31.wav"
"mspat pgan","eighty","八十","https://ilrdc.tw/tow/2022/audio/word/6/01_32.wav"
"mqeru’ pgan","ninety","九十","https://ilrdc.tw/tow/2022/audio/word/6/01_33.wav"
"kbhul","hundred","百","https://ilrdc.tw/tow/2022/audio/word/6/01_34.wav"
"qutux kbhul","one hundred","一百","https://ilrdc.tw/tow/2022/audio/word/6/01_35.wav"
"sazing kbhul","two hundred","兩百","https://ilrdc.tw/tow/2022/audio/word/6/01_36.wav"
"qutux seng","one thousand","一千","https://ilrdc.tw/tow/2022/audio/word/6/01_37.wav"
"cikay","some","一些","https://ilrdc.tw/tow/2022/audio/word/6/01_38.wav"
"minqutux","once","一次","https://ilrdc.tw/tow/2022/audio/word/6/01_39.wav"
"qutux qnapan","bunch","一串","https://ilrdc.tw/tow/2022/audio/word/6/01_40.wav"
"llamu’","kind","種類","https://ilrdc.tw/tow/2022/audio/word/6/01_41.wav"
"rrusa’","pair","一雙","https://ilrdc.tw/tow/2022/audio/word/6/01_42.wav"
"kwara’","entire","全部","https://ilrdc.tw/tow/2022/audio/word/6/01_43.wav"
"cipoq","a little bit","一點點","https://ilrdc.tw/tow/2022/audio/word/6/01_44.wav"
"smka’","half","一半","https://ilrdc.tw/tow/2022/audio/word/6/01_45.wav"
"su’","you","你","https://ilrdc.tw/tow/2022/audio/word/6/02_01.wav"
"kun","I","我","https://ilrdc.tw/tow/2022/audio/word/6/02_02.wav"
"hiya’","he","他","https://ilrdc.tw/tow/2022/audio/word/6/02_03.wav"
"simu","you guys","你們","https://ilrdc.tw/tow/2022/audio/word/6/02_04.wav"
"ta’","us","我們","https://ilrdc.tw/tow/2022/audio/word/6/02_05.wav"
"lha’","they","他們","https://ilrdc.tw/tow/2022/audio/word/6/02_06.wav"
"mamu","yours","你們的","https://ilrdc.tw/tow/2022/audio/word/6/02_07.wav"
"myan","our","我們的","https://ilrdc.tw/tow/2022/audio/word/6/02_08.wav"
"nha’","their","他們的","https://ilrdc.tw/tow/2022/audio/word/6/02_09.wav"
"su’","your","你的","https://ilrdc.tw/tow/2022/audio/word/6/02_10.wav"
"maku’","mine","我的","https://ilrdc.tw/tow/2022/audio/word/6/02_11.wav"
"nya’","his","他的","https://ilrdc.tw/tow/2022/audio/word/6/02_12.wav"
"sami","we (excluded)","我們(排除式)","https://ilrdc.tw/tow/2022/audio/word/6/02_13.wav"
"ita’","let’s (inclusive)","咱們(包含式)","https://ilrdc.tw/tow/2022/audio/word/6/02_14.wav"
"ta’","ours","咱們的","https://ilrdc.tw/tow/2022/audio/word/6/02_15.wav"
"qasa ","that","那個","https://ilrdc.tw/tow/2022/audio/word/6/02_16.wav"
"qani","this one","這個","https://ilrdc.tw/tow/2022/audio/word/6/02_17.wav"
"sqani","here","這裡","https://ilrdc.tw/tow/2022/audio/word/6/02_18.wav"
"thasa","there","那裡","https://ilrdc.tw/tow/2022/audio/word/6/02_19.wav"
"miyan qani","(like) this","(像)這樣","https://ilrdc.tw/tow/2022/audio/word/6/02_20.wav"
"pira’","how much","多少","https://ilrdc.tw/tow/2022/audio/word/6/03_01.wav"
"nanu’","what","什麼","https://ilrdc.tw/tow/2022/audio/word/6/03_02.wav"
"son nanu","how","如何","https://ilrdc.tw/tow/2022/audio/word/6/03_03.wav"
"knwan","when (not happening)","何時(未發生)","https://ilrdc.tw/tow/2022/audio/word/6/03_04.wav"
"ima’","who","誰","https://ilrdc.tw/tow/2022/audio/word/6/03_05.wav"
"qenu’","which one","哪一個","https://ilrdc.tw/tow/2022/audio/word/6/03_06.wav"
"inu’","where","哪裡","https://ilrdc.tw/tow/2022/audio/word/6/03_07.wav"
"ima’","Whose is it?","是誰的","https://ilrdc.tw/tow/2022/audio/word/6/03_08.wav"
"hmswa’","what","怎麼","https://ilrdc.tw/tow/2022/audio/word/6/03_09.wav"
"pira’","how much","多少(歲；物)","https://ilrdc.tw/tow/2022/audio/word/6/03_10.wav"
"pira’","how much (degree size)","多少(程度大小)","https://ilrdc.tw/tow/2022/audio/word/6/03_11.wav"
"inu’","where","什麼地方","https://ilrdc.tw/tow/2022/audio/word/6/03_12.wav"
"knwan","when (has happened)","何時(已發生)","https://ilrdc.tw/tow/2022/audio/word/6/03_13.wav"
"swa’","why","為什麼","https://ilrdc.tw/tow/2022/audio/word/6/03_14.wav"
"yaba’","dad","爸爸","https://ilrdc.tw/tow/2022/audio/word/6/04_01.wav"
"yaya’","mom","媽媽","https://ilrdc.tw/tow/2022/audio/word/6/04_02.wav"
"rawin","cousins","堂、表兄弟姐妹；同儕","https://ilrdc.tw/tow/2022/audio/word/6/04_03.wav"
"yutas","male elder (grandfather; father-in-law)","男性長輩(祖父；外公；岳父)","https://ilrdc.tw/tow/2022/audio/word/6/04_04.wav"
"yaki’","female elder (grandmother; mother-in-law)","女性長輩(祖母；外婆；岳母)","https://ilrdc.tw/tow/2022/audio/word/6/04_05.wav"
"lpyung","relative","親戚","https://ilrdc.tw/tow/2022/audio/word/6/04_06.wav"
"bes","spouse","配偶","https://ilrdc.tw/tow/2022/audio/word/6/04_07.wav"
"yama’","daughter’s husband","女婿","https://ilrdc.tw/tow/2022/audio/word/6/04_08.wav"
"yanay","wife’s brother","舅子","https://ilrdc.tw/tow/2022/audio/word/6/04_09.wav"
"swagi’","sister-in-law","弟媳","https://ilrdc.tw/tow/2022/audio/word/6/04_10.wav"
"irah","older brother’s wife","嫂嫂","https://ilrdc.tw/tow/2022/audio/word/6/04_11.wav"
"ina’","daughter-in-law","媳婦","https://ilrdc.tw/tow/2022/audio/word/6/04_12.wav"
"kinbahan","grandchild","孫子/孫女","https://ilrdc.tw/tow/2022/audio/word/6/04_13.wav"
"qutux tnuxan","husband and wife","夫妻","https://ilrdc.tw/tow/2022/audio/word/6/04_14.wav"
"mlikuy","husband","丈夫","https://ilrdc.tw/tow/2022/audio/word/6/04_15.wav"
"lpyung","in-law","姻親","https://ilrdc.tw/tow/2022/audio/word/6/04_16.wav"
"mtswe’","sibling","兄弟姊妹","https://ilrdc.tw/tow/2022/audio/word/6/04_17.wav"
"qbsuyan","brother","兄長","https://ilrdc.tw/tow/2022/audio/word/6/04_18.wav"
"qbsuyan","brother and sister","(哥哥；姊姊)通稱","https://ilrdc.tw/tow/2022/audio/word/6/04_19.wav"
"qbsuyan kneril","older sister","姊姊","https://ilrdc.tw/tow/2022/audio/word/6/04_20.wav"
"qbsuyan mlikuy","older brother","哥哥","https://ilrdc.tw/tow/2022/audio/word/6/04_21.wav"
"sswe’","brother and sister","(弟弟；妹妹)通稱","https://ilrdc.tw/tow/2022/audio/word/6/04_22.wav"
"sswe’ mlikuy","younger brother","弟弟","https://ilrdc.tw/tow/2022/audio/word/6/04_23.wav"
"sswe’ kneril","younger sister","妹妹","https://ilrdc.tw/tow/2022/audio/word/6/04_24.wav"
"mama’","uncle","(伯父；叔叔；舅舅)通稱","https://ilrdc.tw/tow/2022/audio/word/6/04_25.wav"
"yata’","aunt","(伯母；嬸嬸；舅母)通稱","https://ilrdc.tw/tow/2022/audio/word/6/04_26.wav"
"lalu’","name","名字","https://ilrdc.tw/tow/2022/audio/word/6/05_01.wav"
"mlikuy","boy","男孩","https://ilrdc.tw/tow/2022/audio/word/6/05_02.wav"
"kneril","girl","女孩","https://ilrdc.tw/tow/2022/audio/word/6/05_03.wav"
"rangi’","friend","朋友","https://ilrdc.tw/tow/2022/audio/word/6/05_04.wav"
"’laqi’","child","孩童","https://ilrdc.tw/tow/2022/audio/word/6/05_05.wav"
"bnkis","elderly people","老人家","https://ilrdc.tw/tow/2022/audio/word/6/05_06.wav"
"kneril","female","女性","https://ilrdc.tw/tow/2022/audio/word/6/05_07.wav"
"mlikuy","male","男性","https://ilrdc.tw/tow/2022/audio/word/6/05_08.wav"
"’Tayal","people","人","https://ilrdc.tw/tow/2022/audio/word/6/05_09.wav"
"sinsiy pbetaq’","doctor","醫生","https://ilrdc.tw/tow/2022/audio/word/6/05_10.wav"
"sinsiy pcbaq biru’","teacher","老師","https://ilrdc.tw/tow/2022/audio/word/6/05_11.wav"
"paris","enemy","敵人","https://ilrdc.tw/tow/2022/audio/word/6/05_12.wav"
"mrhuw","sir","長官","https://ilrdc.tw/tow/2022/audio/word/6/05_13.wav"
"loman","hooliganism","流氓","https://ilrdc.tw/tow/2022/audio/word/6/05_14.wav"
"kinsat","police","警察","https://ilrdc.tw/tow/2022/audio/word/6/05_15.wav"
"Kbzyan","ethnic group (Taiwan), "plain tribes","平埔族","https://ilrdc.tw/tow/2022/audio/word/6/05_16.wav"
"khelang","Hakka people","客家人","https://ilrdc.tw/tow/2022/audio/word/6/05_17.wav"
"kocyo","principal","校長","https://ilrdc.tw/tow/2022/audio/word/6/05_18.wav"
"kmukan","Min Nan (Taiwanese)","閩南人","https://ilrdc.tw/tow/2022/audio/word/6/05_19.wav"
"mrkyas","young people","青年","https://ilrdc.tw/tow/2022/audio/word/6/05_20.wav"
"sinxu’","(spiritual) father","神父","https://ilrdc.tw/tow/2022/audio/word/6/05_21.wav"
"syuni’","sister","修女","https://ilrdc.tw/tow/2022/audio/word/6/05_22.wav"
"theluw","mainlander","外省人","https://ilrdc.tw/tow/2022/audio/word/6/05_23.wav"
"mkrakis","miss","小姐","https://ilrdc.tw/tow/2022/audio/word/6/05_24.wav"
"seto’","student","學生","https://ilrdc.tw/tow/2022/audio/word/6/05_25.wav"
"papak","ear","耳朵","https://ilrdc.tw/tow/2022/audio/word/6/06_01.wav"
"gaya’","thigh","大腿","https://ilrdc.tw/tow/2022/audio/word/6/06_02.wav"
"roziq","eye","眼睛","https://ilrdc.tw/tow/2022/audio/word/6/06_03.wav"
"rqyas","face","臉","https://ilrdc.tw/tow/2022/audio/word/6/06_04.wav"
"nqwaq","mouth","嘴巴","https://ilrdc.tw/tow/2022/audio/word/6/06_05.wav"
"tunux","head","頭","https://ilrdc.tw/tow/2022/audio/word/6/06_06.wav"
"kamit","fingernail","指甲","https://ilrdc.tw/tow/2022/audio/word/6/06_07.wav"
"qba’","hand","手","https://ilrdc.tw/tow/2022/audio/word/6/06_08.wav"
"hi’","body","身體","https://ilrdc.tw/tow/2022/audio/word/6/06_09.wav"
"nguhuw","nose","鼻子","https://ilrdc.tw/tow/2022/audio/word/6/06_10.wav"
"kakay","foot","腳","https://ilrdc.tw/tow/2022/audio/word/6/06_11.wav"
"g’nux","teeth","牙齒","https://ilrdc.tw/tow/2022/audio/word/6/06_12.wav"
"snonux","hair","頭髮","https://ilrdc.tw/tow/2022/audio/word/6/06_13.wav"
"ramu’","blood","血","https://ilrdc.tw/tow/2022/audio/word/6/06_14.wav"
"hi’","meat","肉","https://ilrdc.tw/tow/2022/audio/word/6/06_15.wav"
"lihuy","forehead","額頭","https://ilrdc.tw/tow/2022/audio/word/6/06_16.wav"
"ktu’","belly","肚子","https://ilrdc.tw/tow/2022/audio/word/6/06_17.wav"
"bubu’","breast","乳房","https://ilrdc.tw/tow/2022/audio/word/6/06_18.wav"
"mryuw","calf","小腿肚","https://ilrdc.tw/tow/2022/audio/word/6/06_19.wav"
