"utux","one","一","https://ilrdc.tw/tow/2022/audio/word/11/01_01.wav"
"sa’ing","two","二","https://ilrdc.tw/tow/2022/audio/word/11/01_02.wav"
"tugan","three","三","https://ilrdc.tw/tow/2022/audio/word/11/01_03.wav"
"payat","four","四","https://ilrdc.tw/tow/2022/audio/word/11/01_04.wav"
"magan","five","五","https://ilrdc.tw/tow/2022/audio/word/11/01_05.wav"
"mtiyu","six","六","https://ilrdc.tw/tow/2022/audio/word/11/01_06.wav"
"mpitu","seven","七","https://ilrdc.tw/tow/2022/audio/word/11/01_07.wav"
"mspat","eight","八","https://ilrdc.tw/tow/2022/audio/word/11/01_08.wav"
"m’esu","nine","九","https://ilrdc.tw/tow/2022/audio/word/11/01_09.wav"
"mpu","ten","十","https://ilrdc.tw/tow/2022/audio/word/11/01_10.wav"
"mpu utux","eleven","十一","https://ilrdc.tw/tow/2022/audio/word/11/01_11.wav"
"mpu sa’ing","twelve","十二","https://ilrdc.tw/tow/2022/audio/word/11/01_12.wav"
"mpu tugan","thirteen","十三","https://ilrdc.tw/tow/2022/audio/word/11/01_13.wav"
"mpu payat","fourteen","十四","https://ilrdc.tw/tow/2022/audio/word/11/01_14.wav"
"mpu magan","fifteen","十五","https://ilrdc.tw/tow/2022/audio/word/11/01_15.wav"
"mpu tiyu","sixteen","十六","https://ilrdc.tw/tow/2022/audio/word/11/01_16.wav"
"mpu pitu","seventeen","十七","https://ilrdc.tw/tow/2022/audio/word/11/01_17.wav"
"mpu spat","eighteen","十八","https://ilrdc.tw/tow/2022/audio/word/11/01_18.wav"
"mpu m’esu","nineteen","十九","https://ilrdc.tw/tow/2022/audio/word/11/01_19.wav"
"mpusan","twenty","二十","https://ilrdc.tw/tow/2022/audio/word/11/01_20.wav"
"pusan utux","twenty one","二十一","https://ilrdc.tw/tow/2022/audio/word/11/01_21.wav"
"pusan sa’ing","twenty two","二十二","https://ilrdc.tw/tow/2022/audio/word/11/01_22.wav"
"pusan tugan","twenty three","二十三","https://ilrdc.tw/tow/2022/audio/word/11/01_23.wav"
"pusan payat","twenty four","二十四","https://ilrdc.tw/tow/2022/audio/word/11/01_24.wav"
"pusan magan","twenty five","二十五","https://ilrdc.tw/tow/2022/audio/word/11/01_25.wav"
"mtiyun","thirty","三十","https://ilrdc.tw/tow/2022/audio/word/11/01_26.wav"
"mtiyun utux","thirty one","三十一","https://ilrdc.tw/tow/2022/audio/word/11/01_27.wav"
"mspatun","forty","四十","https://ilrdc.tw/tow/2022/audio/word/11/01_28.wav"
"myiman","fifty","五十","https://ilrdc.tw/tow/2022/audio/word/11/01_29.wav"
"mtiyu pgan","sixty","六十","https://ilrdc.tw/tow/2022/audio/word/11/01_30.wav"
"mpitu pgan","seventy","七十","https://ilrdc.tw/tow/2022/audio/word/11/01_31.wav"
"mspat pgan","eighty","八十","https://ilrdc.tw/tow/2022/audio/word/11/01_32.wav"
"m’esu pgan","ninety","九十","https://ilrdc.tw/tow/2022/audio/word/11/01_33.wav"
"kbhun","hundred","百","https://ilrdc.tw/tow/2022/audio/word/11/01_34.wav"
"utux kbhun","one hundred","一百","https://ilrdc.tw/tow/2022/audio/word/11/01_35.wav"
"sa’ing kbhun","two hundred","兩百","https://ilrdc.tw/tow/2022/audio/word/11/01_36.wav"
"utux seng","one thousand","一千","https://ilrdc.tw/tow/2022/audio/word/11/01_37.wav"
"cikah","some","一些","https://ilrdc.tw/tow/2022/audio/word/11/01_38.wav"
"mn’utux","once","一次","https://ilrdc.tw/tow/2022/audio/word/11/01_39.wav"
"lhogun","bunch","一串","https://ilrdc.tw/tow/2022/audio/word/11/01_40.wav"
"ubuy","kind","種類","https://ilrdc.tw/tow/2022/audio/word/11/01_41.wav"
"mnsa’ing","pair","一雙","https://ilrdc.tw/tow/2022/audio/word/11/01_42.wav"
"kwara","entire","全部","https://ilrdc.tw/tow/2022/audio/word/11/01_43.wav"
"cikuy","a little bit","一點點","https://ilrdc.tw/tow/2022/audio/word/11/01_44.wav"
"cmka","half","一半","https://ilrdc.tw/tow/2022/audio/word/11/01_45.wav"
"su","you","你","https://ilrdc.tw/tow/2022/audio/word/11/02_01.wav"
"kinang","I","我","https://ilrdc.tw/tow/2022/audio/word/11/02_02.wav"
"heya","he","他","https://ilrdc.tw/tow/2022/audio/word/11/02_03.wav"
"cimu","you guys","你們","https://ilrdc.tw/tow/2022/audio/word/11/02_04.wav"
"cami","us","我們","https://ilrdc.tw/tow/2022/audio/word/11/02_05.wav"
"naha","they","他們","https://ilrdc.tw/tow/2022/audio/word/11/02_06.wav"
"mamu","yours","你們的","https://ilrdc.tw/tow/2022/audio/word/11/02_07.wav"
"ta","our","我們的","https://ilrdc.tw/tow/2022/audio/word/11/02_08.wav"
"naha","their","他們的","https://ilrdc.tw/tow/2022/audio/word/11/02_09.wav"
"su","your","你的","https://ilrdc.tw/tow/2022/audio/word/11/02_10.wav"
"mu","mine","我的","https://ilrdc.tw/tow/2022/audio/word/11/02_11.wav"
"nya","his","他的","https://ilrdc.tw/tow/2022/audio/word/11/02_12.wav"
"cami","we (excluded)","我們(排除式)","https://ilrdc.tw/tow/2022/audio/word/11/02_13.wav"
"ita","let’s (inclusive)","咱們(包含式)","https://ilrdc.tw/tow/2022/audio/word/11/02_14.wav"
"ta","ours","咱們的","https://ilrdc.tw/tow/2022/audio/word/11/02_15.wav"
"kwaca","that","那個","https://ilrdc.tw/tow/2022/audio/word/11/02_16.wav"
"kwani","this one","這個","https://ilrdc.tw/tow/2022/audio/word/11/02_17.wav"
"cahay","here","這裡","https://ilrdc.tw/tow/2022/audio/word/11/02_18.wav"
"haca","there","那裡","https://ilrdc.tw/tow/2022/audio/word/11/02_19.wav"
"yani kwe","(like) this","(像)這樣","https://ilrdc.tw/tow/2022/audio/word/11/02_20.wav"
"pisa","how much","多少","https://ilrdc.tw/tow/2022/audio/word/11/03_01.wav"
"lalu","what","什麼","https://ilrdc.tw/tow/2022/audio/word/11/03_02.wav"
"san kenu","how","如何","https://ilrdc.tw/tow/2022/audio/word/11/03_03.wav"
"knwan","when (not happening)","何時(未發生)","https://ilrdc.tw/tow/2022/audio/word/11/03_04.wav"
"ima","who","誰","https://ilrdc.tw/tow/2022/audio/word/11/03_05.wav"
"kenu kyaca","which one","哪一個","https://ilrdc.tw/tow/2022/audio/word/11/03_06.wav"
"inu","where","哪裡","https://ilrdc.tw/tow/2022/audio/word/11/03_07.wav"
"’ra ima","Whose is it?","是誰的","https://ilrdc.tw/tow/2022/audio/word/11/03_08.wav"
"mhcwa","what","怎麼","https://ilrdc.tw/tow/2022/audio/word/11/03_09.wav"
"pisa","how much","多少(歲；物)","https://ilrdc.tw/tow/2022/audio/word/11/03_10.wav"
"yani kenu","how much (degree size)"," 多少(程度大小)","https://ilrdc.tw/tow/2022/audio/word/11/03_11.wav"
"beh inu","where","什麼地方","https://ilrdc.tw/tow/2022/audio/word/11/03_12.wav"
"knwan","when (has happened)","何時(已發生)","https://ilrdc.tw/tow/2022/audio/word/11/03_13.wav"
"ca lux","why","為什麼","https://ilrdc.tw/tow/2022/audio/word/11/03_14.wav"
"yaba","dad","爸爸","https://ilrdc.tw/tow/2022/audio/word/11/04_01.wav"
"yaya","mom","媽媽","https://ilrdc.tw/tow/2022/audio/word/11/04_02.wav"
"mrawin","cousins","堂、表兄弟姐妹","https://ilrdc.tw/tow/2022/audio/word/11/04_03.wav"
"uba","male elder (grandfather; father-in-law)","男性長輩(祖父；外公；岳父)","https://ilrdc.tw/tow/2022/audio/word/11/04_04.wav"
"uya","female elder (grandmother; mother-in-law)","女性長輩(祖母；外婆；岳母)","https://ilrdc.tw/tow/2022/audio/word/11/04_05.wav"
"gluw utux bkis","relative","親戚","https://ilrdc.tw/tow/2022/audio/word/11/04_06.wav"
"bes utux tnuxan","spouse","配偶","https://ilrdc.tw/tow/2022/audio/word/11/04_07.wav"
"yama","daughter’s husband","女婿","https://ilrdc.tw/tow/2022/audio/word/11/04_08.wav"
"yanay","wife’s brother","舅子","https://ilrdc.tw/tow/2022/audio/word/11/04_09.wav"
"swagi","sister-in-law","弟媳","https://ilrdc.tw/tow/2022/audio/word/11/04_10.wav"
"isah","older brother’s wife","嫂嫂","https://ilrdc.tw/tow/2022/audio/word/11/04_11.wav"
"ina","daughter-in-law","媳婦","https://ilrdc.tw/tow/2022/audio/word/11/04_12.wav"
"lmago","grandchild","孫子/孫女","https://ilrdc.tw/tow/2022/audio/word/11/04_13.wav"
"msbes utux tnuxan","husband and wife","夫妻","https://ilrdc.tw/tow/2022/audio/word/11/04_14.wav"
"likuy","husband","丈夫","https://ilrdc.tw/tow/2022/audio/word/11/04_15.wav"
"gluw pnsapat","in-law","姻親","https://ilrdc.tw/tow/2022/audio/word/11/04_16.wav"
"mtswe","sibling","兄弟姊妹","https://ilrdc.tw/tow/2022/audio/word/11/04_17.wav"
"ksuyan","brother","兄長","https://ilrdc.tw/tow/2022/audio/word/11/04_18.wav"
"suyan","brother and sister","(哥哥；姊姊)通稱","https://ilrdc.tw/tow/2022/audio/word/11/04_19.wav"
"suyan nerin","older sister","姊姊","https://ilrdc.tw/tow/2022/audio/word/11/04_20.wav"
"suyan likuy","older brother","哥哥","https://ilrdc.tw/tow/2022/audio/word/11/04_21.wav"
"sswe","brother and sister","(弟弟；妹妹)通稱","https://ilrdc.tw/tow/2022/audio/word/11/04_22.wav"
"sswe likuy","younger brother","弟弟","https://ilrdc.tw/tow/2022/audio/word/11/04_23.wav"
"sswe nerin","younger sister","妹妹","https://ilrdc.tw/tow/2022/audio/word/11/04_24.wav"
"mama","uncle","(伯父；叔叔；舅舅)通稱","https://ilrdc.tw/tow/2022/audio/word/11/04_25.wav"
"yata","aunt","(伯母；嬸嬸；舅母)通稱  ","https://ilrdc.tw/tow/2022/audio/word/11/04_26.wav"
"lalu","name","名字","https://ilrdc.tw/tow/2022/audio/word/11/05_01.wav"
