"kingal","one","一","https://ilrdc.tw/tow/2022/audio/word/15/01_01.wav"
"dha","two","二","https://ilrdc.tw/tow/2022/audio/word/15/01_02.wav"
"turu","three","三","https://ilrdc.tw/tow/2022/audio/word/15/01_03.wav"
"spac","four","四","https://ilrdc.tw/tow/2022/audio/word/15/01_04.wav"
"rima","five","五","https://ilrdc.tw/tow/2022/audio/word/15/01_05.wav"
"muturu","six","六","https://ilrdc.tw/tow/2022/audio/word/15/01_06.wav"
"mupitu","seven","七","https://ilrdc.tw/tow/2022/audio/word/15/01_07.wav"
"muspac","eight","八","https://ilrdc.tw/tow/2022/audio/word/15/01_08.wav"
"mngari","nine","九","https://ilrdc.tw/tow/2022/audio/word/15/01_09.wav"
"maxal","ten","十","https://ilrdc.tw/tow/2022/audio/word/15/01_10.wav"
"maxal kingal","eleven","十一","https://ilrdc.tw/tow/2022/audio/word/15/01_11.wav"
"maxal dha","twelve","十二","https://ilrdc.tw/tow/2022/audio/word/15/01_12.wav"
"maxal turu","thirteen","十三","https://ilrdc.tw/tow/2022/audio/word/15/01_13.wav"
"maxal spac","fourteen","十四","https://ilrdc.tw/tow/2022/audio/word/15/01_14.wav"
"maxal rima","fifteen","十五","https://ilrdc.tw/tow/2022/audio/word/15/01_15.wav"
"maxal mturu","sixteen","十六","https://ilrdc.tw/tow/2022/audio/word/15/01_16.wav"
"maxal mpitu","seventeen","十七","https://ilrdc.tw/tow/2022/audio/word/15/01_17.wav"
"maxal mspac","eighteen","十八","https://ilrdc.tw/tow/2022/audio/word/15/01_18.wav"
"maxal mngari","nineteen","十九","https://ilrdc.tw/tow/2022/audio/word/15/01_19.wav"
"mpusal","twenty","二十  ","https://ilrdc.tw/tow/2022/audio/word/15/01_20.wav"
"mpusal kingal","twenty one","二十一","https://ilrdc.tw/tow/2022/audio/word/15/01_21.wav"
"mpusal dha","twenty two","二十二","https://ilrdc.tw/tow/2022/audio/word/15/01_22.wav"
"mpusal turu","twenty three","二十三","https://ilrdc.tw/tow/2022/audio/word/15/01_23.wav"
"mpusal spac","twenty four","二十四","https://ilrdc.tw/tow/2022/audio/word/15/01_24.wav"
"mpusal rima","twenty five","二十五","https://ilrdc.tw/tow/2022/audio/word/15/01_25.wav"
"mturul","thirty","三十","https://ilrdc.tw/tow/2022/audio/word/15/01_26.wav"
"mturul kingal","thirty one","三十一","https://ilrdc.tw/tow/2022/audio/word/15/01_27.wav"
"spatul","forty","四十","https://ilrdc.tw/tow/2022/audio/word/15/01_28.wav"
"mrimal","fifty","五十","https://ilrdc.tw/tow/2022/audio/word/15/01_29.wav"
"mturul kmxalan","sixty","六十","https://ilrdc.tw/tow/2022/audio/word/15/01_30.wav"
"mpitu kmxalan","seventy","七十","https://ilrdc.tw/tow/2022/audio/word/15/01_31.wav"
"mspac kmxalan","eighty","八十","https://ilrdc.tw/tow/2022/audio/word/15/01_32.wav"
"mngari kmxalan","ninety","九十","https://ilrdc.tw/tow/2022/audio/word/15/01_33.wav"
"kbkuy","hundred","百","https://ilrdc.tw/tow/2022/audio/word/15/01_34.wav"
"kingal kbkuy","one hundred","一百","https://ilrdc.tw/tow/2022/audio/word/15/01_35.wav"
"dha kbkuy","two hundred","兩百","https://ilrdc.tw/tow/2022/audio/word/15/01_36.wav"
"maxal kbkuy","one thousand","一千","https://ilrdc.tw/tow/2022/audio/word/15/01_37.wav"
"duma","some","一些","https://ilrdc.tw/tow/2022/audio/word/15/01_38.wav"
"ntxan","once","一次","https://ilrdc.tw/tow/2022/audio/word/15/01_39.wav"
"lnhuwan","bunch","一串","https://ilrdc.tw/tow/2022/audio/word/15/01_40.wav"
"kluwanan","kind","種類","https://ilrdc.tw/tow/2022/audio/word/15/01_41.wav"
"mnddha","pair","一雙","https://ilrdc.tw/tow/2022/audio/word/15/01_42.wav"
"kana","entire","全部","https://ilrdc.tw/tow/2022/audio/word/15/01_43.wav"
"tipiq","a little bit","一點點","https://ilrdc.tw/tow/2022/audio/word/15/01_44.wav"
"dmka","half","一半","https://ilrdc.tw/tow/2022/audio/word/15/01_45.wav"
"isu","you","你 ","https://ilrdc.tw/tow/2022/audio/word/15/02_01.wav"
"yaku","I","我","https://ilrdc.tw/tow/2022/audio/word/15/02_02.wav"
"hiya","he","他","https://ilrdc.tw/tow/2022/audio/word/15/02_03.wav"
"yamu","you guys","你們","https://ilrdc.tw/tow/2022/audio/word/15/02_04.wav"
"yami","us","我們","https://ilrdc.tw/tow/2022/audio/word/15/02_05.wav"
"dhiya","they","他們","https://ilrdc.tw/tow/2022/audio/word/15/02_06.wav"
"namu","yours","你們的","https://ilrdc.tw/tow/2022/audio/word/15/02_07.wav"
