"kingal","one","一","https://ilrdc.tw/tow/2022/audio/word/16/01_01.wav"
"daha","two","二","https://ilrdc.tw/tow/2022/audio/word/16/01_02.wav"
"teru","three","三","https://ilrdc.tw/tow/2022/audio/word/16/01_03.wav"
"sepac","four","四","https://ilrdc.tw/tow/2022/audio/word/16/01_04.wav"
"rima","five","五","https://ilrdc.tw/tow/2022/audio/word/16/01_05.wav"
"mmteru","six","六","https://ilrdc.tw/tow/2022/audio/word/16/01_06.wav"
"mpitu","seven","七","https://ilrdc.tw/tow/2022/audio/word/16/01_07.wav"
"mmsepac","eight","八","https://ilrdc.tw/tow/2022/audio/word/16/01_08.wav"
"mngari","nine","九","https://ilrdc.tw/tow/2022/audio/word/16/01_09.wav"
"maxal","ten","十","https://ilrdc.tw/tow/2022/audio/word/16/01_10.wav"
"maxal kingal","eleven","十一","https://ilrdc.tw/tow/2022/audio/word/16/01_11.wav"
"maxal daha","twelve","十二","https://ilrdc.tw/tow/2022/audio/word/16/01_12.wav"
"maxal teru","thirteen","十三","https://ilrdc.tw/tow/2022/audio/word/16/01_13.wav"
"maxal sepac","fourteen","十四","https://ilrdc.tw/tow/2022/audio/word/16/01_14.wav"
"maxal rima","fifteen","十五","https://ilrdc.tw/tow/2022/audio/word/16/01_15.wav"
"maxal mmteru","sixteen","十六","https://ilrdc.tw/tow/2022/audio/word/16/01_16.wav"
"maxal mpitu","seventeen","十七","https://ilrdc.tw/tow/2022/audio/word/16/01_17.wav"
"maxal mmsepac","eighteen","十八","https://ilrdc.tw/tow/2022/audio/word/16/01_18.wav"
"maxal mngari","nineteen","十九","https://ilrdc.tw/tow/2022/audio/word/16/01_19.wav"
"mpusal","twenty","二十  ","https://ilrdc.tw/tow/2022/audio/word/16/01_20.wav"
"mpusal kingal","twenty one","二十一","https://ilrdc.tw/tow/2022/audio/word/16/01_21.wav"
"mpusal daha","twenty two","二十二","https://ilrdc.tw/tow/2022/audio/word/16/01_22.wav"
"mpusal teru","twenty three","二十三","https://ilrdc.tw/tow/2022/audio/word/16/01_23.wav"
"mpusal sepac","twenty four","二十四","https://ilrdc.tw/tow/2022/audio/word/16/01_24.wav"
"mpusal rima","twenty five","二十五","https://ilrdc.tw/tow/2022/audio/word/16/01_25.wav"
"mterun","thirty","三十","https://ilrdc.tw/tow/2022/audio/word/16/01_26.wav"
"mterun kingal","thirty one","三十一","https://ilrdc.tw/tow/2022/audio/word/16/01_27.wav"
"mspatun","forty","四十","https://ilrdc.tw/tow/2022/audio/word/16/01_28.wav"
"mriman","fifty","五十","https://ilrdc.tw/tow/2022/audio/word/16/01_29.wav"
"mmteru kmxalan","sixty","六十","https://ilrdc.tw/tow/2022/audio/word/16/01_30.wav"
"mpitu kmxalan","seventy","七十","https://ilrdc.tw/tow/2022/audio/word/16/01_31.wav"
"mmsepac kmxalan","eighty","八十","https://ilrdc.tw/tow/2022/audio/word/16/01_32.wav"
"mngari kmxalan","ninety","九十","https://ilrdc.tw/tow/2022/audio/word/16/01_33.wav"
"kbekuy","hundred","百","https://ilrdc.tw/tow/2022/audio/word/16/01_34.wav"
"kingal kbekuy","one hundred","一百","https://ilrdc.tw/tow/2022/audio/word/16/01_35.wav"
"daha kbekuy","two hundred","兩百","https://ilrdc.tw/tow/2022/audio/word/16/01_36.wav"
"maxal kbekuy","one thousand","一千","https://ilrdc.tw/tow/2022/audio/word/16/01_37.wav"
"tikuh","some","一些","https://ilrdc.tw/tow/2022/audio/word/16/01_38.wav"
"texal","once","一次","https://ilrdc.tw/tow/2022/audio/word/16/01_39.wav"
"bnkeyan","bunch","一捆","https://ilrdc.tw/tow/2022/audio/word/16/01_40.wav"
"klegan ","kind","種類","https://ilrdc.tw/tow/2022/audio/word/16/01_41.wav"
"mtlulun","pair","一雙","https://ilrdc.tw/tow/2022/audio/word/16/01_42.wav"
"kana","entire","全部","https://ilrdc.tw/tow/2022/audio/word/16/01_43.wav"
"tikuh ","a little bit","一點點","https://ilrdc.tw/tow/2022/audio/word/16/01_44.wav"
