"ita","one","一","https://ilrdc.tw/tow/2022/audio/word/23/01_01.wav"
"drusa","two","二","https://ilrdc.tw/tow/2022/audio/word/23/01_02.wav"
"tjelu","three","三","https://ilrdc.tw/tow/2022/audio/word/23/01_03.wav"
"sepatj","four","四","https://ilrdc.tw/tow/2022/audio/word/23/01_04.wav"
"lima","five","五","https://ilrdc.tw/tow/2022/audio/word/23/01_05.wav"
"unem","six","六","https://ilrdc.tw/tow/2022/audio/word/23/01_06.wav"
"pitju","seven","七","https://ilrdc.tw/tow/2022/audio/word/23/01_07.wav"
"alu","eight","八","https://ilrdc.tw/tow/2022/audio/word/23/01_08.wav"
"siva","nine","九","https://ilrdc.tw/tow/2022/audio/word/23/01_09.wav"
"tapuluq","ten","十","https://ilrdc.tw/tow/2022/audio/word/23/01_10.wav"
"tapuluq saka ita","eleven","十一","https://ilrdc.tw/tow/2022/audio/word/23/01_11.wav"
"tapuluq saka drusa","twelve","十二","https://ilrdc.tw/tow/2022/audio/word/23/01_12.wav"
"tapuluq saka tjelu","thirteen","十三","https://ilrdc.tw/tow/2022/audio/word/23/01_13.wav"
"tapuluq saka sepatj","fourteen","十四","https://ilrdc.tw/tow/2022/audio/word/23/01_14.wav"
"tapuluq saka lima","fifteen","十五","https://ilrdc.tw/tow/2022/audio/word/23/01_15.wav"
"tapuluq saka unem","sixteen","十六","https://ilrdc.tw/tow/2022/audio/word/23/01_16.wav"
"tapuluq saka pitju","seventeen","十七","https://ilrdc.tw/tow/2022/audio/word/23/01_17.wav"
"tapuluq saka alu","eighteen","十八","https://ilrdc.tw/tow/2022/audio/word/23/01_18.wav"
"tapuluq saka siva","nineteen","十九","https://ilrdc.tw/tow/2022/audio/word/23/01_19.wav"
"drusapuluq","twenty","二十  ","https://ilrdc.tw/tow/2022/audio/word/23/01_20.wav"
"drusapuluq saka ita","twenty one","二十一","https://ilrdc.tw/tow/2022/audio/word/23/01_21.wav"
"drusapuluq saka drusa","twenty two","二十二","https://ilrdc.tw/tow/2022/audio/word/23/01_22.wav"
"drusapuluq saka tjelu","twenty three","二十三","https://ilrdc.tw/tow/2022/audio/word/23/01_23.wav"
"drusapuluq saka sepatj","twenty four","二十四","https://ilrdc.tw/tow/2022/audio/word/23/01_24.wav"
"drusapuluq saka lima","twenty five","二十五","https://ilrdc.tw/tow/2022/audio/word/23/01_25.wav"
"tjelu a puluq","thirty","三十","https://ilrdc.tw/tow/2022/audio/word/23/01_26.wav"
"tjelu a puluq saka ita","thirty one","三十一","https://ilrdc.tw/tow/2022/audio/word/23/01_27.wav"
"sepatj a puluq","forty","四十","https://ilrdc.tw/tow/2022/audio/word/23/01_28.wav"
"lima puluq","fifty","五十","https://ilrdc.tw/tow/2022/audio/word/23/01_29.wav"
"unem a puluq","sixty","六十","https://ilrdc.tw/tow/2022/audio/word/23/01_30.wav"
"pitju a puluq","seventy","七十","https://ilrdc.tw/tow/2022/audio/word/23/01_31.wav"
"alu a puluq","eighty","八十","https://ilrdc.tw/tow/2022/audio/word/23/01_32.wav"
"siva puluq","ninety","九十","https://ilrdc.tw/tow/2022/audio/word/23/01_33.wav"
"iday","hundred","百","https://ilrdc.tw/tow/2022/audio/word/23/01_34.wav"
"tayday","one hundred","一百","https://ilrdc.tw/tow/2022/audio/word/23/01_35.wav"
"drusayday","two hundred","兩百","https://ilrdc.tw/tow/2022/audio/word/23/01_36.wav"
"kuzulj","one thousand","一千","https://ilrdc.tw/tow/2022/audio/word/23/01_37.wav"
