"eea","one","一","https://ilrdc.tw/tow/2022/audio/word/27/01_01.wav"
"drosa","two","二","https://ilrdc.tw/tow/2022/audio/word/27/01_02.wav"
"tolro","three","三","https://ilrdc.tw/tow/2022/audio/word/27/01_03.wav"
"so’ate","four","四","https://ilrdc.tw/tow/2022/audio/word/27/01_04.wav"
"lrima","five","五","https://ilrdc.tw/tow/2022/audio/word/27/01_05.wav"
"eneme","six","六","https://ilrdc.tw/tow/2022/audio/word/27/01_06.wav"
"’ito","seven","七","https://ilrdc.tw/tow/2022/audio/word/27/01_07.wav"
"valro","eight","八","https://ilrdc.tw/tow/2022/audio/word/27/01_08.wav"
"bangate","nine","九","https://ilrdc.tw/tow/2022/audio/word/27/01_09.wav"
"poloko ； mangeale","ten","十","https://ilrdc.tw/tow/2022/audio/word/27/01_10.wav"
"mangeale si eea","eleven","十一","https://ilrdc.tw/tow/2022/audio/word/27/01_11.wav"
"mangeale si drosa","twelve","十二","https://ilrdc.tw/tow/2022/audio/word/27/01_12.wav"
"mangeale si tolro","thirteen","十三","https://ilrdc.tw/tow/2022/audio/word/27/01_13.wav"
"mangeale si so’ate","fourteen","十四","https://ilrdc.tw/tow/2022/audio/word/27/01_14.wav"
"mangeale si lrima","fifteen","十五","https://ilrdc.tw/tow/2022/audio/word/27/01_15.wav"
"mangeale si eneme","sixteen","十六","https://ilrdc.tw/tow/2022/audio/word/27/01_16.wav"
"mangeale si ’ito","seventeen","十七","https://ilrdc.tw/tow/2022/audio/word/27/01_17.wav"
"mangeale si valro","eighteen","十八","https://ilrdc.tw/tow/2022/audio/word/27/01_18.wav"
"mangeale si bangate","nineteen","十九","https://ilrdc.tw/tow/2022/audio/word/27/01_19.wav"
"ma’osale","twenty","二十  ","https://ilrdc.tw/tow/2022/audio/word/27/01_20.wav"
"ma’osale si eea","twenty one","二十一","https://ilrdc.tw/tow/2022/audio/word/27/01_21.wav"
"ma’osale si drosa","twenty two","二十二","https://ilrdc.tw/tow/2022/audio/word/27/01_22.wav"
"ma’osale si tolro","twenty three","二十三","https://ilrdc.tw/tow/2022/audio/word/27/01_23.wav"
"ma’osale si so’ate","twenty four","二十四","https://ilrdc.tw/tow/2022/audio/word/27/01_24.wav"
"ma’osale si lrima","twenty five","二十五","https://ilrdc.tw/tow/2022/audio/word/27/01_25.wav"
"matolrolo","thirty","三十","https://ilrdc.tw/tow/2022/audio/word/27/01_26.wav"
"matolrolo si eea","thirty one","三十一","https://ilrdc.tw/tow/2022/audio/word/27/01_27.wav"
"maso’atele","forty","四十","https://ilrdc.tw/tow/2022/audio/word/27/01_28.wav"
"malimale","fifty","五十","https://ilrdc.tw/tow/2022/audio/word/27/01_29.wav"
"manemele","sixty","六十","https://ilrdc.tw/tow/2022/audio/word/27/01_30.wav"
"ma’itolo","seventy","七十","https://ilrdc.tw/tow/2022/audio/word/27/01_31.wav"
"mavalrolo","eighty","八十","https://ilrdc.tw/tow/2022/audio/word/27/01_32.wav"
"mabangate","ninety","九十","https://ilrdc.tw/tow/2022/audio/word/27/01_33.wav"
"iday","hundred","百","https://ilrdc.tw/tow/2022/audio/word/27/01_34.wav"
"eea ka iday","one hundred","一百","https://ilrdc.tw/tow/2022/audio/word/27/01_35.wav"
