"itha","one","一","https://ilrdc.tw/tow/2022/audio/word/28/01_01.wav"
"drusa","two","二","https://ilrdc.tw/tow/2022/audio/word/28/01_02.wav"
"tulru","three","三","https://ilrdc.tw/tow/2022/audio/word/28/01_03.wav"
"supate","four","四","https://ilrdc.tw/tow/2022/audio/word/28/01_04.wav"
"lrima","five","五","https://ilrdc.tw/tow/2022/audio/word/28/01_05.wav"
"eneme","six","六","https://ilrdc.tw/tow/2022/audio/word/28/01_06.wav"
"pitu","seven","七","https://ilrdc.tw/tow/2022/audio/word/28/01_07.wav"
"valru","eight","八","https://ilrdc.tw/tow/2022/audio/word/28/01_08.wav"
"bangate","nine","九","https://ilrdc.tw/tow/2022/audio/word/28/01_09.wav"
"pulruku/mangeale","ten","十","https://ilrdc.tw/tow/2022/audio/word/28/01_10.wav"
"mangeale si vaeva","eleven","十一","https://ilrdc.tw/tow/2022/audio/word/28/01_11.wav"
"mangeale si drusa","twelve","十二","https://ilrdc.tw/tow/2022/audio/word/28/01_12.wav"
"mangeale si tulru","thirteen","十三","https://ilrdc.tw/tow/2022/audio/word/28/01_13.wav"
"mangeale si supate","fourteen","十四","https://ilrdc.tw/tow/2022/audio/word/28/01_14.wav"
"mangeale si lrima","fifteen","十五","https://ilrdc.tw/tow/2022/audio/word/28/01_15.wav"
"mangeale si eneme","sixteen","十六","https://ilrdc.tw/tow/2022/audio/word/28/01_16.wav"
"mangeale si pitu","seventeen","十七","https://ilrdc.tw/tow/2022/audio/word/28/01_17.wav"
"mangeale si valru","eighteen","十八","https://ilrdc.tw/tow/2022/audio/word/28/01_18.wav"
"mangeale si bangate","nineteen","十九","https://ilrdc.tw/tow/2022/audio/word/28/01_19.wav"
"mapusale","twenty","二十  ","https://ilrdc.tw/tow/2022/audio/word/28/01_20.wav"
"mapusale si vaeva","twenty one","二十一","https://ilrdc.tw/tow/2022/audio/word/28/01_21.wav"
"mapusale si drusa","twenty two","二十二","https://ilrdc.tw/tow/2022/audio/word/28/01_22.wav"
"mapusale si tulru","twenty three","二十三","https://ilrdc.tw/tow/2022/audio/word/28/01_23.wav"
"mapusale si supate","twenty four","二十四","https://ilrdc.tw/tow/2022/audio/word/28/01_24.wav"
"mapusale si lrima","twenty five","二十五","https://ilrdc.tw/tow/2022/audio/word/28/01_25.wav"
"matulrulu","thirty","三十","https://ilrdc.tw/tow/2022/audio/word/28/01_26.wav"
"matulrulu si vaeva","thirty one","三十一","https://ilrdc.tw/tow/2022/audio/word/28/01_27.wav"
"masupatele","forty","四十","https://ilrdc.tw/tow/2022/audio/word/28/01_28.wav"
"malrimale","fifty","五十","https://ilrdc.tw/tow/2022/audio/word/28/01_29.wav"
"manemele","sixty","六十","https://ilrdc.tw/tow/2022/audio/word/28/01_30.wav"
"mapitulu","seventy","七十","https://ilrdc.tw/tow/2022/audio/word/28/01_31.wav"
"mavalrulu","eighty","八十","https://ilrdc.tw/tow/2022/audio/word/28/01_32.wav"
"mabangate","ninety","九十","https://ilrdc.tw/tow/2022/audio/word/28/01_33.wav"
"iday","hundred","百","https://ilrdc.tw/tow/2022/audio/word/28/01_34.wav"
"iday","one hundred","一百","https://ilrdc.tw/tow/2022/audio/word/28/01_35.wav"
"drusa ka iday","two hundred","兩百","https://ilrdc.tw/tow/2022/audio/word/28/01_36.wav"
"kudrulu","one thousand","一千","https://ilrdc.tw/tow/2022/audio/word/28/01_37.wav"
"bekelane","some","一些","https://ilrdc.tw/tow/2022/audio/word/28/01_38.wav"
"kingivaale","once","一次","https://ilrdc.tw/tow/2022/audio/word/28/01_39.wav"
"ererece","bunch","一串","https://ilrdc.tw/tow/2022/audio/word/28/01_40.wav"
"takamanemanane","kind","種類","https://ilrdc.tw/tow/2022/audio/word/28/01_41.wav"
"maecebe","pair","一雙","https://ilrdc.tw/tow/2022/audio/word/28/01_42.wav"
"patuelre","entire","全部","https://ilrdc.tw/tow/2022/audio/word/28/01_43.wav"
"bebebekeelane","a little bit","一點點","https://ilrdc.tw/tow/2022/audio/word/28/01_44.wav"
"pararamaw","half","一半","https://ilrdc.tw/tow/2022/audio/word/28/01_45.wav"
"kusu","you","你 ","https://ilrdc.tw/tow/2022/audio/word/28/02_01.wav"
"kwaku","I","我","https://ilrdc.tw/tow/2022/audio/word/28/02_02.wav"
"lasu","he","他","https://ilrdc.tw/tow/2022/audio/word/28/02_03.wav"
"kunumi","you guys","你們","https://ilrdc.tw/tow/2022/audio/word/28/02_04.wav"
"kuta","us","我們","https://ilrdc.tw/tow/2022/audio/word/28/02_05.wav"
"lalasu","they","他們","https://ilrdc.tw/tow/2022/audio/word/28/02_06.wav"
"numiane","yours","你們的","https://ilrdc.tw/tow/2022/audio/word/28/02_07.wav"
"naiyane","our","我們的","https://ilrdc.tw/tow/2022/audio/word/28/02_08.wav"
"liniane","their","他們的","https://ilrdc.tw/tow/2022/audio/word/28/02_09.wav"
"muswane","your","你的","https://ilrdc.tw/tow/2022/audio/word/28/02_10.wav"
"nakwane","mine","我的","https://ilrdc.tw/tow/2022/audio/word/28/02_11.wav"
"iniane","his","他的","https://ilrdc.tw/tow/2022/audio/word/28/02_12.wav"
"kunay","we (excluded)","我們(排除式)","https://ilrdc.tw/tow/2022/audio/word/28/02_13.wav"
